date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_196,aVWAP_BoS_CHoCH_bull_481,aVWAP_BoS_CHoCH_bull_654,aVWAP_BoS_CHoCH_bull_749,aVWAP_BoS_CHoCH_bull_786,aVWAP_BoS_CHoCH_bear_144,aVWAP_BoS_CHoCH_bear_467,aVWAP_BoS_CHoCH_bear_548,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-18 18:00:00+00:00,24.57,24.57,24.54,24.54,0.0,,,,,,,,,,24.437230857308005,"rgba(239, 83, 80, 1.0)",,24.437230857308005,,0,,,0.0,0.0,0.0,0.0,55.35236240497757,1.3966817558823905,True,False,True,False,True,0.0
2025-02-18 19:00:00+00:00,24.54,24.68,24.54,24.6,256.0,,,,,,,,,,24.48394089253,"rgba(239, 83, 80, 1.0)",,24.48394089253,,0,,,0.0,0.0,0.0,0.0,57.15489710897479,3.1129969972941467,True,False,True,False,True,0.0
2025-02-18 20:00:00+00:00,24.605,24.605,24.37,24.455,782.0,,,,,,,,,,24.462021300453664,"rgba(239, 83, 80, 1.0)",,24.462021300453664,,0,,,0.0,0.0,0.0,0.0,54.4510647582348,3.1129969972941467,True,False,True,False,False,0.0
2025-02-19 15:00:00+00:00,24.455,24.52,24.235,24.345,243.0,,,,,,,,,,24.453723596074283,"rgba(239, 83, 80, 1.0)",,24.453723596074283,,0,,,0.0,0.0,0.0,0.0,50.33829467472229,4.892016088945297,True,False,False,False,False,0.0
2025-02-19 16:00:00+00:00,24.345,24.345,24.255,24.255,15.0,,,,,,,,,,24.452958301343916,"rgba(239, 83, 80, 1.0)",,24.452958301343916,,0,,,0.0,0.0,0.0,0.0,45.980674742519156,1.0106868075573345,True,False,False,True,False,0.0
2025-02-19 17:00:00+00:00,24.255,24.255,24.085,24.1,806.0,,,,,,,,,,24.40303464515703,"rgba(239, 83, 80, 1.0)",,24.40303464515703,,0,,,0.0,0.0,0.0,0.0,40.81051413923172,-3.5388322014811706,False,True,False,True,False,0.0
2025-02-19 18:00:00+00:00,23.98,23.99,23.86,23.86,394.0,,,,,,,,,,24.3706947318854,"rgba(239, 83, 80, 1.0)",,24.3706947318854,,0,,,0.0,0.0,0.0,0.0,34.91530283768075,-8.67333789892922,False,True,False,True,False,0.0
2025-02-19 19:00:00+00:00,23.9,24.13,23.9,24.13,68.0,,,,,,,,,,24.367519657693073,"rgba(239, 83, 80, 1.0)",,24.367519657693073,,0,,,0.0,0.0,0.0,0.0,36.9756385753723,-8.67333789892922,False,True,False,True,False,0.0
2025-02-19 20:00:00+00:00,24.13,24.16,24.06,24.07,658.0,,,,,,,,,,24.3453738044338,"rgba(239, 83, 80, 1.0)",,24.3453738044338,,0,,,0.0,0.0,0.0,0.0,37.59279717158637,-8.67333789892922,False,True,False,True,True,0.0
2025-02-20 15:00:00+00:00,22.51,22.55,22.3,22.31,620.0,,,,,,,,,,24.192402552049927,"rgba(239, 83, 80, 1.0)",,24.192402552049927,,0,,,0.0,0.0,0.0,0.0,29.647869052151325,-12.876367743983351,False,True,False,True,False,0.0
