date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_442,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_102,aVWAP_BoS_CHoCH_bear_405,aVWAP_BoS_CHoCH_bear_740,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-03-28 18:00:00+00:00,43.0,43.38,42.91,43.04,5773.0,,,,,42.8826711784373,,,43.93268883193106,"rgba(239, 83, 80, 1.0)",1.9266847383734116,43.93268883193106,-0.46332895784740896,6,0.32308208260326277,1.9384924956195766,0.0,0.0,0.0,0.0
2025-03-28 19:00:00+00:00,43.05,43.18,42.715,43.14,21935.0,,,,,42.88349202989994,,,43.89422306478228,"rgba(239, 83, 80, 1.0)",1.9324332721600743,43.89422306478228,-0.3902970807055137,6,0.32342755208105184,1.940565312486311,0.0,0.0,0.0,0.0
2025-03-31 14:00:00+00:00,42.11,42.95,41.83,41.885,6295.0,,,,,42.88228560810845,,,43.87966091819393,"rgba(239, 83, 80, 1.0)",1.9521403291937816,43.87966091819393,-1.0217815227544162,6,0.32416633283150215,1.944997996989013,0.0,0.0,0.0,0.0
2025-03-31 15:00:00+00:00,41.99,42.23,41.985,42.145,7395.0,,,,,42.880656736227884,,,43.862476972750905,"rgba(239, 83, 80, 1.0)",1.9680007164174917,43.862476972750905,-0.8727013961038396,6,0.32530332166686904,1.9518199300012142,0.0,0.0,0.0,0.0
2025-03-31 16:00:00+00:00,42.2,42.64,42.1,42.41,9916.0,,,,,42.879235835146616,,,43.84259570652499,"rgba(239, 83, 80, 1.0)",1.9759962135682287,43.84259570652499,-0.7249992164398075,6,0.3270594053042514,1.9623564318255085,0.0,0.0,0.0,0.0
2025-03-31 17:00:00+00:00,42.39,42.79,42.36,42.55,3063.0,,,,,42.87896022293876,,,43.83711760770448,"rgba(239, 83, 80, 1.0)",1.9193805964096373,43.83711760770448,-0.670590090424037,6,0.328849752712227,1.973098516273362,0.0,0.0,0.0,0.0
2025-03-31 18:00:00+00:00,42.55,43.1,42.55,42.82,8062.0,,,,,42.87883141989687,,,43.82479754393604,"rgba(239, 83, 80, 1.0)",1.852497175108163,43.82479754393604,-0.5424016605463244,6,0.33230448144886193,1.9938268886931716,0.0,0.0,0.0,0.0
2025-03-31 19:00:00+00:00,42.74,43.24,42.56,42.6,24066.0,,,,,42.87829027906807,,,43.79021665975135,"rgba(239, 83, 80, 1.0)",1.8145692909645668,43.79021665975135,-0.6559224085174885,6,0.3380623517239689,2.0283741103438135,0.0,0.0,0.0,0.0
2025-04-01 14:00:00+00:00,42.125,42.27,41.42,41.86,8021.0,,,,,42.875943032009154,,,43.648063113393626,"rgba(239, 83, 80, 1.0)",1.7816006392673351,43.648063113393626,-1.0036273416072352,6,0.3422564423260535,2.053538653956321,0.0,0.0,0.0,0.0
2025-04-01 15:00:00+00:00,41.84,43.09,41.84,42.94,7333.0,,,,,42.87541696521536,,,43.656216978049045,"rgba(239, 83, 80, 1.0)",1.7597864146609283,43.656216978049045,-0.40699085530049756,6,0.34544100087077423,2.0726460052246454,0.0,0.0,0.0,0.0
2025-04-01 16:00:00+00:00,42.94,43.035,42.085,42.51,7381.0,,,,,42.87472232093986,,,43.65095631881075,"rgba(239, 83, 80, 1.0)",1.7169174320474494,43.65095631881075,-0.664537675204418,6,0.34857219388673805,2.091433163320428,0.0,0.0,0.0,0.0
2025-04-01 17:00:00+00:00,42.535,42.64,42.19,42.42,8396.0,,,,,42.87363499857787,,,43.63980463207197,"rgba(239, 83, 80, 1.0)",1.7131528097485902,43.63980463207197,-0.7120232504250332,6,0.35241356157940923,2.1144813694764553,0.0,0.0,0.0,0.0
