date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_190,aVWAP_BoS_CHoCH_bull_270,aVWAP_BoS_CHoCH_bull_361,aVWAP_BoS_CHoCH_bull_515,aVWAP_BoS_CHoCH_bull_563,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_107,aVWAP_BoS_CHoCH_bear_232,aVWAP_BoS_CHoCH_bear_388,aVWAP_BoS_CHoCH_bear_636,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-10 19:00:00+00:00,47.63,48.05,47.07,47.595,34403.0,46.71907498861492,46.96143306372434,44.889411541502064,,,,,46.53024461983832,46.721459362193514,,,46.577466381215494,"rgba(38, 166, 154, 1.0)",1.845466610104047,46.577466381215494,0.5513692923044197,4,0.4028846917265476,1.6115387669061905,0.0,0.0,0.0,0.0,69.44635055631882,13.074174408470533,True,False,True,False,True,4.425504346869957
2025-04-11 14:00:00+00:00,47.765,48.25,47.315,47.315,8286.0,46.720984956732025,46.96378080002657,44.92871324635777,,,,,46.53231897390374,46.7263173368671,,,46.58320664999487,"rgba(38, 166, 154, 1.0)",1.83659333088819,46.58320664999487,0.398451490429417,4,0.4041791865247687,1.6167167460990748,0.0,0.0,0.0,0.0,67.1883799983079,13.074174408470533,True,False,True,False,True,3.1643397977471643
2025-04-11 15:00:00+00:00,47.36,47.49,46.975,47.295,3894.0,46.72151091740138,46.96426023954168,44.94429364367663,,,,,46.53295946647177,46.727643167556074,,,46.585114938499984,"rgba(38, 166, 154, 1.0)",1.826983712704194,46.585114938499984,0.388555769032712,4,0.4051341401447331,1.6205365605789324,0.0,0.0,0.0,0.0,65.5568029696461,13.074174408470533,True,False,True,False,False,3.07398234196528
2025-04-11 16:00:00+00:00,47.295,47.77,47.285,47.695,5443.0,46.722699469308196,46.965689748162774,44.96878794828858,,,,,46.53426208590237,46.73064163055545,,,46.588685317395594,"rgba(38, 166, 154, 1.0)",1.818348614728375,46.588685317395594,0.6084172603885792,4,0.4052399248089263,1.6209596992357052,0.0,0.0,0.0,0.0,65.97369322608183,13.074174408470533,True,False,True,False,False,4.731730328679767
2025-04-11 17:00:00+00:00,47.665,48.2,47.58,48.11,4290.0,46.72404654235295,46.96750212931979,44.99053515967975,,,,,46.53565756132301,46.7340367712661,,,46.59231352822484,"rgba(38, 166, 154, 1.0)",1.8178761665076837,46.59231352822484,0.8348679078018718,4,0.40511105483496673,1.620444219339867,0.0,0.0,0.0,0.0,67.60802763103021,13.074174408470533,True,False,True,False,False,6.405455321259431
2025-04-11 18:00:00+00:00,48.11,48.18,47.92,48.055,6222.0,46.72613396636603,46.970351174024586,45.022441496662445,,,,,46.53780157819343,46.7392792668357,,,46.59780637900283,"rgba(38, 166, 154, 1.0)",1.8168073744995508,46.59780637900283,0.8020628061346121,4,0.4049961602063364,1.6199846408253455,0.0,0.0,0.0,0.0,68.27349789138934,13.422521188307897,True,False,True,False,True,6.144076628517286
2025-04-11 19:00:00+00:00,48.055,48.37,48.055,48.235,29137.0,46.737052827825934,46.985542477650014,45.17125125848595,,,,,46.54886913288655,46.76636342254297,,,46.62518501955038,"rgba(38, 166, 154, 1.0)",1.8180709928754295,46.62518501955038,0.88545221102921,4,0.404283650952442,1.617134603809768,0.0,0.0,0.0,0.0,69.34524535295046,14.802555826959761,True,False,True,False,True,6.874558997754743
2025-04-14 14:00:00+00:00,48.795,49.07,48.705,48.895,4299.0,46.73937210998721,46.98895222892091,45.19661191415152,,,,,46.55113952767379,46.77207918897323,,,46.63055204884695,"rgba(38, 166, 154, 1.0)",1.8257057083038462,46.63055204884695,1.2403137815989056,4,0.4024060315088479,1.6096241260353916,0.0,0.0,0.0,0.0,71.99512561811636,17.566459439986772,True,False,True,False,True,9.475425123725763
2025-04-14 15:00:00+00:00,48.895,48.895,48.5,48.665,2937.0,46.74080419519135,46.991026290565415,45.21279695014149,,,,,46.552553463321956,46.77559324071088,,,46.6338982847138,"rgba(38, 166, 154, 1.0)",1.8305116697177561,46.6338982847138,1.1095814076942598,4,0.40137385982650914,1.6054954393060366,0.0,0.0,0.0,0.0,71.8567826214165,17.66440373337322,True,False,True,False,True,8.343961397341626
2025-04-14 16:00:00+00:00,48.61,48.92,48.45,48.845,3476.0,46.74254130915713,46.99354904269702,45.23204139218009,,,,,46.5542649227485,46.77984755119111,,,46.63792743152006,"rgba(38, 166, 154, 1.0)",1.8367760680943768,46.63792743152006,1.2016013311681137,4,0.40030543403853813,1.6012217361541525,0.0,0.0,0.0,0.0,72.34352884110447,18.421394352269374,True,False,True,False,True,9.049381313316694
