date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_299,aVWAP_BoS_CHoCH_bear_144,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-08-12 17:00:00+00:00,0.391,0.3924,0.391,0.3924,1200.0,,,0.428052151989142,"rgba(239, 83, 80, 1.0)",0.027011263783303097,0.42684626290207284,-1.2752555074215235,11,0.4683917837639042,5.152309621402947,0.0,0.0,0.0,0.0,32.33706471034026,-14.353950144203608,False,True,False,True,True,0.0
2024-08-13 17:00:00+00:00,0.3924,0.3924,0.3924,0.3924,0.0,,,0.428052151989142,"rgba(239, 83, 80, 1.0)",0.02728052389130008,0.42684626290207284,-1.2626686730549894,11,0.47484566561114805,5.223302321722628,0.0,0.0,0.0,0.0,34.461693113812586,-14.353950144203608,False,True,False,True,True,0.0
2024-08-14 17:00:00+00:00,0.3924,0.3949,0.3924,0.3949,100.0,,,0.4279887433859886,"rgba(239, 83, 80, 1.0)",0.027478720677828163,0.4267834174004859,-1.1602948250138811,10,0.5029860921718489,5.029860921718488,0.0,0.0,0.0,0.0,37.069006151449635,-19.382122089428435,False,True,False,True,True,0.0
2024-08-15 17:00:00+00:00,0.3949,0.4011,0.3949,0.4011,413.0,,,0.42779151142097543,"rgba(239, 83, 80, 1.0)",0.02758545608445506,0.42658771248456223,-0.9239547247843055,10,0.5070921631093199,5.070921631093199,0.0,0.0,0.0,0.0,41.49843866978611,-15.123179471374783,False,True,False,True,True,0.0
2024-08-16 17:00:00+00:00,0.4011,0.4011,0.3993,0.3993,236.0,,,0.4276867533857227,"rgba(239, 83, 80, 1.0)",0.02770345202414431,0.4264837371747617,-0.9812400689657854,10,0.5109224438085536,5.109224438085535,0.0,0.0,0.0,0.0,43.717987837727804,-12.969834030761838,False,False,False,True,True,0.0
2024-08-19 17:00:00+00:00,0.3944,0.3944,0.38,0.3882,1300.0,,,0.42670261743552806,"rgba(239, 83, 80, 1.0)",0.02787409575958342,0.42550638286057607,-1.338388989632058,10,0.5055072062657212,5.055072062657212,0.0,0.0,0.0,0.0,41.46378757164429,-12.969834030761838,False,True,False,True,True,0.0
2024-08-20 17:00:00+00:00,0.3964,0.3964,0.3777,0.38,574.0,,,0.42209897157726023,"rgba(239, 83, 80, 1.0)",0.028198516796979975,0.4213912679529665,-1.4678526622861046,10,0.49693474935730875,4.969347493573087,0.0,0.0,0.0,0.0,37.965411501467095,-12.969834030761838,False,True,False,True,False,0.0
2024-08-21 17:00:00+00:00,0.3946,0.4,0.3946,0.3992,4234.0,,,0.4217837740840952,"rgba(239, 83, 80, 1.0)",0.028153252608401128,0.4209636919032605,-0.7730436055110044,10,0.4962162811640094,4.962162811640094,0.0,0.0,0.0,0.0,42.515488751636596,-12.969834030761838,False,True,False,True,True,0.0
2024-08-22 17:00:00+00:00,0.3921,0.3932,0.3921,0.3932,0.0,,,0.4217837740840952,"rgba(239, 83, 80, 1.0)",0.02822210928070872,0.4209636919032605,-0.9837567995755169,10,0.4920223069195349,4.920223069195349,0.0,0.0,0.0,0.0,43.911863420270734,-12.969834030761838,False,False,False,True,True,0.0
2024-08-23 17:00:00+00:00,0.3981,0.406,0.3981,0.4051,300.0,,,0.42005744262246714,"rgba(38, 166, 154, 1.0)",0.028076870157441893,0.4194441756366352,-0.5108894102583303,10,0.49280105425991927,4.928010542599193,0.0,0.0,0.0,0.0,47.95377704066958,-9.195282223268208,False,False,False,False,True,0.0
2024-08-26 17:00:00+00:00,0.4051,0.4051,0.4013,0.4033,650.0,,,0.42000599638090996,"rgba(38, 166, 154, 1.0)",0.028065538613354122,0.4193857875834944,-0.573150859675305,10,0.4907336210777403,4.9073362107774035,0.0,0.0,0.0,0.0,50.1078621801959,-7.054156289789773,True,False,False,False,True,0.0
2024-08-27 17:00:00+00:00,0.3985,0.3985,0.3959,0.3963,1083.0,,,0.4193694226186484,"rgba(38, 166, 154, 1.0)",0.02798129536118912,0.41877201708948775,-0.8031085337334708,10,0.4887887457481298,4.887887457481298,0.0,0.0,0.0,0.0,49.50560793988538,-7.054156289789773,True,False,False,False,True,0.0
2024-08-28 17:00:00+00:00,0.3935,0.3947,0.3914,0.3938,28221.0,,,0.41175771993551247,"rgba(38, 166, 154, 1.0)",0.027782368509542417,0.4112016561778185,-0.6263561068179473,10,0.48628273201201927,4.862827320120193,0.0,0.0,0.0,0.0,48.40857427589429,-7.054156289789773,False,False,False,False,True,0.0
