date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_108,aVWAP_BoS_CHoCH_bull_256,aVWAP_BoS_CHoCH_bull_372,aVWAP_BoS_CHoCH_bull_408,aVWAP_BoS_CHoCH_bull_635,aVWAP_BoS_CHoCH_bear_201,aVWAP_BoS_CHoCH_bear_263,aVWAP_BoS_CHoCH_bear_347,aVWAP_BoS_CHoCH_bear_431,aVWAP_BoS_CHoCH_bear_624,aVWAP_BoS_CHoCH_bear_674,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-17 17:00:00+00:00,73.52,73.665,73.16,73.6,989.0,,,,,,,,,,,,73.82037586006984,"rgba(239, 83, 80, 1.0)",2.335497714958545,73.82037586006984,-0.09435927025677365,0,,,0.0,0.0,0.0,0.0,45.762962060315644,-9.53447541012514,False,False,False,True,True,0.0
2025-04-17 18:00:00+00:00,73.58,73.75,73.36,73.38,520.0,,,,,,,,,,,,73.82297799452104,"rgba(239, 83, 80, 1.0)",2.2774186568873866,73.82297799452104,-0.1945088107456162,0,,,0.0,0.0,0.0,0.0,46.32118973192745,-8.93197803892069,False,False,False,True,True,0.0
2025-04-17 19:00:00+00:00,73.31,73.4,73.2,73.31,318.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",2.214326560631274,73.82073468471785,-0.23065011900152738,0,,,0.0,0.0,0.0,0.0,46.22258671561937,-8.801982038286354,False,False,False,True,True,0.0
2025-04-18 14:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",2.1520785573758987,73.82073468471785,-0.23732158055633532,0,,,0.0,0.0,0.0,0.0,46.15685137141399,-8.527004795912902,False,True,False,True,True,0.0
2025-04-18 15:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",2.103919600337593,73.82073468471785,-0.24275389831241376,0,,,0.0,0.0,0.0,0.0,46.113027808610404,-8.169800412893316,False,True,False,True,True,0.0
2025-04-18 16:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",2.052928159246455,73.82073468471785,-0.24878351559331513,0,,,0.0,0.0,0.0,0.0,46.08381210007468,-7.773966678095633,False,False,False,True,True,0.0
2025-04-18 17:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",1.9867486499802165,73.82073468471785,-0.2570706086665427,0,,,0.0,0.0,0.0,0.0,46.06433496105086,-7.369048736161645,False,False,False,True,True,0.0
2025-04-18 18:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",1.9232166467328342,73.82073468471785,-0.265562741246798,0,,,0.0,0.0,0.0,0.0,46.05135020170165,-6.974383771744272,False,False,False,True,True,0.0
2025-04-18 19:00:00+00:00,73.31,73.31,73.31,73.31,0.0,,,,,,,,,,,,73.82073468471785,"rgba(239, 83, 80, 1.0)",1.8395126361998058,73.82073468471785,-0.2776467389606835,0,,,0.0,0.0,0.0,0.0,46.04269369546884,-6.601980746451922,False,False,False,True,True,0.0
2025-04-21 14:00:00+00:00,72.85,72.99,72.765,72.92,642.0,,,,,,,,,,,,73.80302629112956,"rgba(239, 83, 80, 1.0)",1.7628196802921299,73.80302629112956,-0.5009169689909637,0,,,0.0,0.0,0.0,0.0,41.82614781003936,-5.457188237349868,False,True,False,True,False,0.0
2025-04-21 15:00:00+00:00,72.92,72.92,72.175,72.175,587.0,,,,,,,,,,,,73.77557383868142,"rgba(239, 83, 80, 1.0)",1.6836830151473043,73.77557383868142,-0.9506384659593385,0,,,0.0,0.0,0.0,0.0,34.88546854101566,-11.766392850734022,False,True,False,True,False,0.0
2025-04-21 16:00:00+00:00,72.175,72.51,72.16,72.27,780.0,,,,,,,,,,,,73.7391673385287,"rgba(239, 83, 80, 1.0)",1.5788703824838533,73.7391673385287,-0.9305180177092409,0,,,0.0,0.0,0.0,0.0,31.58899040181308,-14.463004940737044,False,True,False,True,False,0.0
2025-04-21 17:00:00+00:00,72.27,72.27,71.81,71.93,924.0,,,,,,,,,,,,73.40856451550617,"rgba(239, 83, 80, 1.0)",1.5302153266602616,73.40856451550617,-0.9662460503079481,0,,,0.0,0.0,0.0,505.0,27.982689612030804,-17.482681566351374,False,True,False,True,False,0.0
2025-04-21 18:00:00+00:00,71.85,72.34,71.84,72.2,991.0,,,,,,,,,,,,73.38370496430865,"rgba(239, 83, 80, 1.0)",1.4823171445804517,73.38370496430865,-0.7985504105085935,5,0.48387418578999564,2.419370928949978,0.0,0.0,0.0,0.0,29.044005396297138,-17.482681566351374,False,True,False,True,False,0.0
2025-04-21 19:00:00+00:00,72.2,72.53,72.2,72.49,1697.0,,,,,,,,,,,,73.37028160402909,"rgba(239, 83, 80, 1.0)",1.4272631562249287,73.37028160402909,-0.6167619476406957,5,0.48359581668697177,2.417979083434859,0.0,0.0,0.0,0.0,32.891674179183376,-22.326633792865408,False,True,False,True,True,0.0
