date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bull_405,aVWAP_BoS_CHoCH_bull_578,aVWAP_BoS_CHoCH_bull_630,aVWAP_BoS_CHoCH_bull_773,aVWAP_BoS_CHoCH_bear_384,aVWAP_BoS_CHoCH_bear_804,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-04 15:00:00+00:00,241.68,246.44,241.57,242.64,3524.0,,,,,,,,267.3852024988816,"rgba(239, 83, 80, 1.0)",,267.3852024988816,,0,,,0.0,0.0,0.0,0.0,29.465047117148597,-13.012449871469173,False,True,False,True,False,0.0
2025-04-04 16:00:00+00:00,242.84,242.915,239.62,239.62,1552.0,,,,,,,,267.07892863630514,"rgba(239, 83, 80, 1.0)",,267.07892863630514,,0,,,0.0,0.0,0.0,0.0,26.204300985020172,-16.007492006719424,False,True,False,True,False,0.0
2025-04-04 17:00:00+00:00,239.62,242.28,238.49,241.77,1594.0,,,,,,,,266.77386356549323,"rgba(239, 83, 80, 1.0)",,266.77386356549323,,0,,,0.0,0.0,0.0,0.0,25.67625297453837,-16.624212938481435,False,True,False,True,False,0.0
2025-04-04 18:00:00+00:00,242.21,242.21,238.1,238.375,1843.0,,,,,,,,266.4139674139829,"rgba(239, 83, 80, 1.0)",,266.4139674139829,,0,,,0.0,0.0,0.0,0.0,24.516247369086454,-18.0329500164867,False,True,False,True,False,0.0
2025-04-04 19:00:00+00:00,238.41,241.88,238.06,238.48,10300.0,,,,,,,,264.57488369731726,"rgba(239, 83, 80, 1.0)",,264.57488369731726,,0,,,0.0,0.0,0.0,0.0,23.83144710458744,-19.10649050154703,False,True,False,True,False,0.0
2025-04-07 14:00:00+00:00,225.325,234.87,220.595,223.84,2808.0,,,,,,,,263.8841883422812,"rgba(239, 83, 80, 1.0)",,263.8841883422812,,0,,,0.0,0.0,0.0,0.0,20.76379316827787,-22.398655281139504,False,True,False,True,False,0.0
2025-04-07 15:00:00+00:00,223.76,226.5,217.6,218.38,3893.0,,,,,,,,262.83356712776316,"rgba(239, 83, 80, 1.0)",,262.83356712776316,,0,,,0.0,0.0,0.0,0.0,18.096277581597757,-25.21660831087597,False,True,False,True,False,0.0
2025-04-07 16:00:00+00:00,218.38,220.66,216.01,217.095,3145.0,,,,,,,,261.96854213502473,"rgba(239, 83, 80, 1.0)",,261.96854213502473,,0,,,0.0,0.0,0.0,0.0,16.178874383345292,-27.306035717160306,False,True,False,True,False,0.0
2025-04-07 17:00:00+00:00,218.44,222.65,218.0,222.01,1396.0,,,,,,,,261.62123591736116,"rgba(239, 83, 80, 1.0)",,261.62123591736116,,0,,,0.0,0.0,0.0,0.0,18.50391598401034,-27.306035717160306,False,True,False,True,False,0.0
2025-04-07 18:00:00+00:00,222.01,223.225,219.89,221.0,2409.0,,,,,,,,261.0436320246936,"rgba(239, 83, 80, 1.0)",,261.0436320246936,,0,,,0.0,0.0,0.0,0.0,19.840005498185263,-27.306035717160306,False,True,False,True,True,0.0
2025-04-07 19:00:00+00:00,221.0,223.52,219.32,220.41,12011.0,,,,,,,,258.3918635847413,"rgba(239, 83, 80, 1.0)",,258.3918635847413,,0,,,0.0,0.0,0.0,0.0,20.59647914969494,-27.306035717160306,False,True,False,True,True,0.0
2025-04-08 14:00:00+00:00,226.755,227.18,220.95,221.89,6021.0,,,,,,,,257.27229778590964,"rgba(239, 83, 80, 1.0)",,257.27229778590964,,0,,,0.0,0.0,0.0,0.0,22.34864197820976,-27.306035717160306,False,True,False,True,True,0.0
2025-04-08 15:00:00+00:00,221.915,222.75,217.78,218.33,1635.0,,,,,,,,256.94900828546844,"rgba(239, 83, 80, 1.0)",,256.94900828546844,,0,,,0.0,0.0,0.0,0.0,22.52494445237723,-27.306035717160306,False,True,False,True,True,0.0
2025-04-08 16:00:00+00:00,218.33,218.33,212.47,212.96,1016.0,,,,,,,,256.7240498401124,"rgba(239, 83, 80, 1.0)",,256.7240498401124,,0,,,0.0,0.0,0.0,0.0,21.3964630176792,-27.306035717160306,False,True,False,True,True,0.0
2025-04-08 17:00:00+00:00,212.96,212.96,209.03,211.425,947.0,,,,,,,,256.4994812207364,"rgba(239, 83, 80, 1.0)",,256.4994812207364,,0,,,0.0,0.0,0.0,0.0,20.32565539072896,-27.306035717160306,False,True,False,True,True,0.0
2025-04-08 18:00:00+00:00,211.425,212.875,210.09,210.695,2466.0,,,,,,,,255.92665776853036,"rgba(239, 83, 80, 1.0)",,255.92665776853036,,0,,,0.0,0.0,0.0,0.0,19.454105709152493,-27.306035717160306,False,True,False,True,False,0.0
2025-04-08 19:00:00+00:00,210.61,210.61,207.67,209.41,5676.0,,,,,,,,254.60815802488344,"rgba(239, 83, 80, 1.0)",,254.60815802488344,,0,,,0.0,0.0,0.0,0.0,18.583844116212894,-27.376141115816036,False,True,False,True,False,0.0
2025-04-09 14:00:00+00:00,208.57,209.29,196.535,198.12,8958.0,,,,,,,,252.34006665406255,"rgba(239, 83, 80, 1.0)",,252.34006665406255,,0,,,0.0,0.0,0.0,0.0,16.17192829564,-29.88209110598614,False,True,False,True,False,0.0
2025-04-09 15:00:00+00:00,196.53,201.565,196.53,197.99,3620.0,,,,,,,,238.25043571493143,"rgba(239, 83, 80, 1.0)",,238.25043571493143,,0,,,0.0,0.0,0.0,0.0,14.548064900925297,-31.561589253706543,False,True,False,True,False,0.0
2025-04-09 16:00:00+00:00,197.9,201.57,197.67,201.13,5192.0,,,,,,,,237.554463940522,"rgba(239, 83, 80, 1.0)",21.36704402212065,237.554463940522,-1.7047029950803148,0,,,0.0,0.0,0.0,0.0,16.4996795213615,-31.561589253706543,False,True,False,True,True,0.0
