date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_404,aVWAP_BoS_CHoCH_bull_451,aVWAP_BoS_CHoCH_bull_539,aVWAP_BoS_CHoCH_bull_626,aVWAP_BoS_CHoCH_bear_117,aVWAP_BoS_CHoCH_bear_764,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-05-08 14:00:00+00:00,7.465,7.465,7.445,7.445,0.0,,,,,7.2890103592006845,,7.401926866578316,"rgba(38, 166, 154, 1.0)",0.08827169360498517,7.401926866578316,0.4879608814852454,1,0.6414146219061372,0.6414146219061372,0.0,0.0,0.0,0.0,53.85820343474157,8.695674915383712,False,True,True,False,False,10.388311919283609
2025-05-08 15:00:00+00:00,7.445,7.48,7.445,7.46,100.0,,,,,7.290583394071913,,7.406998815759645,"rgba(38, 166, 154, 1.0)",0.08488996587528339,7.406998815759645,0.6243515790573131,1,0.6390258333099477,0.6390258333099477,0.0,0.0,0.0,0.0,53.74934215109654,8.49954218924821,False,True,True,False,False,11.936757722082067
2025-05-08 16:00:00+00:00,7.46,7.46,7.46,7.46,0.0,,,,,7.290583394071913,,7.406998815759645,"rgba(38, 166, 154, 1.0)",0.08113357910050628,7.406998815759645,0.6532583035033872,1,0.6370072458288056,0.6370072458288056,0.0,0.0,0.0,0.0,53.67676796199986,8.18836369434122,False,True,True,False,False,11.936757722082067
2025-05-08 17:00:00+00:00,7.46,7.46,7.46,7.46,0.0,,,,,7.290583394071913,,7.406998815759645,"rgba(38, 166, 154, 1.0)",0.07942229473454757,7.406998815759645,0.6673338313567997,1,0.636416329744911,0.636416329744911,0.0,0.0,0.0,0.0,53.62838516926874,7.81164859587097,False,True,True,False,False,11.936757722082067
2025-05-08 18:00:00+00:00,7.46,7.46,7.455,7.455,0.0,,,,,7.290583394071913,,7.406998815759645,"rgba(38, 166, 154, 1.0)",0.0777439201295995,7.406998815759645,0.6174268567926147,1,0.6362151720125622,0.6362151720125622,0.0,0.0,0.0,0.0,52.18575046179474,6.135814146407235,False,True,False,False,False,11.205082561205977
2025-05-08 19:00:00+00:00,7.455,7.455,7.45,7.45,51.0,,,,,7.291328406033673,,7.407158934506337,"rgba(38, 166, 154, 1.0)",0.07662650730407881,7.407158934506337,0.5590893673863515,1,0.6363579495208098,0.6363579495208098,0.0,0.0,0.0,0.0,49.882053311156724,3.755236328575087,False,True,False,False,False,10.47106255044579
2025-05-09 14:00:00+00:00,7.45,7.45,7.435,7.435,0.0,,,,,7.291328406033673,,7.407158934506337,"rgba(239, 83, 80, 1.0)",0.07455350578762635,7.407158934506337,0.3734373749367435,1,0.6381758688924505,0.6381758688924505,0.0,0.0,0.0,0.0,45.08565875355559,-0.7656497209669055,False,True,False,True,False,8.299791114730148
2025-05-09 15:00:00+00:00,7.435,7.45,7.435,7.45,100.0,,,,,7.292709475450105,,7.407360628162047,"rgba(239, 83, 80, 1.0)",0.07230752642967934,7.407360628162047,0.5896947931059496,1,0.6393603155890989,0.6393603155890989,0.0,0.0,0.0,0.0,46.092516306401826,-0.7656497209669055,False,True,False,True,False,9.985108808489759
2025-05-09 16:00:00+00:00,7.45,7.45,7.445,7.445,22.0,,,,,7.293013274733158,,7.407448003635582,"rgba(239, 83, 80, 1.0)",0.06979067802177541,7.407448003635582,0.5380660774308796,1,0.6412298926796454,0.6412298926796454,0.0,0.0,0.0,0.0,45.66827815150377,-0.7656497209669055,False,True,False,True,False,9.260950347963544
2025-05-09 17:00:00+00:00,7.445,7.445,7.445,7.445,0.0,,,,,7.293013274733158,,7.407448003635582,"rgba(239, 83, 80, 1.0)",0.06878940312273657,7.407448003635582,0.5458979822432323,1,0.6434553115406642,0.6434553115406642,0.0,0.0,0.0,0.0,45.385452714905064,-0.7656497209669055,False,True,False,True,False,9.260950347963544
2025-05-09 18:00:00+00:00,7.445,7.455,7.445,7.45,499.0,,,,,7.299738581730768,,7.410232100044408,"rgba(239, 83, 80, 1.0)",0.06762922232076957,7.410232100044408,0.588028349150173,1,0.6481123124436717,0.6481123124436717,0.0,0.0,0.0,0.0,46.660680636211396,-0.7656497209669055,False,True,False,True,True,9.839080772622726
2025-05-09 19:00:00+00:00,7.45,7.45,7.45,7.45,0.0,,,,,7.299738581730768,,7.410232100044408,"rgba(239, 83, 80, 1.0)",0.06648660367674694,7.410232100044408,0.5981340263512452,1,0.6503951696948362,0.6503951696948362,0.0,0.0,0.0,0.0,47.51083258374895,-0.7656497209669055,False,True,False,True,True,9.839080772622726
2025-05-12 14:00:00+00:00,7.485,7.485,7.48,7.48,0.0,,,,,7.299738581730768,,7.410232100044408,"rgba(38, 166, 154, 1.0)",0.06565079608829862,7.410232100044408,1.062712169731444,1,0.6508265406481795,0.6508265406481795,0.0,0.0,0.0,0.0,54.45472414294187,0.297414009260784,False,True,True,False,True,13.232677842060255
2025-05-12 15:00:00+00:00,7.48,7.48,7.43,7.43,0.0,,,,,7.299738581730768,,7.410232100044408,"rgba(239, 83, 80, 1.0)",0.06412284100645466,7.410232100044408,0.30828172372465285,1,0.6550311525586011,0.6550311525586011,0.0,0.0,0.0,0.0,49.65429534230268,4.407510572732534,False,True,False,False,False,6.053609198955538
2025-05-12 16:00:00+00:00,7.43,7.46,7.43,7.46,431.0,,,,,7.3051001738554495,,7.418361503737989,"rgba(239, 83, 80, 1.0)",0.06275937172039764,7.418361503737989,0.6634626051949116,1,0.6578284717213667,0.6578284717213667,0.0,0.0,0.0,0.0,50.81783210713756,4.407510572732534,False,True,False,False,False,9.325225839110594
2025-05-12 17:00:00+00:00,7.46,7.46,7.46,7.46,0.0,,,,,7.3051001738554495,,7.418361503737989,"rgba(239, 83, 80, 1.0)",0.06126504227865755,7.418361503737989,0.6796452709952047,1,0.6584560116653001,0.6584560116653001,0.0,0.0,0.0,0.0,51.593523283694154,4.407510572732534,False,True,False,False,False,9.325225839110583
