date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_494,aVWAP_BoS_CHoCH_bear_54,aVWAP_BoS_CHoCH_bear_227,aVWAP_BoS_CHoCH_bear_323,aVWAP_BoS_CHoCH_bear_556,aVWAP_BoS_CHoCH_bear_831,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-05-12 15:00:00+00:00,4.405,4.405,4.29,4.29,68.0,,5.082038909942231,4.748147659407388,4.479942045375352,,,4.350968497124488,"rgba(38, 166, 154, 1.0)",0.32393901661652724,4.350968497124488,-0.1882097987494402,6,0.23499801737986567,1.409988104279194,0.0,0.0,0.0,0.0,50.27658732252891,-6.615927745649941,True,False,False,False,True,0.0
2025-05-12 16:00:00+00:00,4.29,4.315,4.275,4.315,335.0,,5.08151089656844,4.747486311374048,4.479376284802154,,,4.350949506471553,"rgba(38, 166, 154, 1.0)",0.3242358723227538,4.350949506471553,-0.11087455010458275,7,0.2271703760223545,1.5901926321564814,0.0,0.0,0.0,0.0,51.413179757440275,-5.173721707257016,True,False,True,False,True,0.0
2025-05-12 17:00:00+00:00,4.315,4.315,4.265,4.285,100.0,,5.081350726627762,4.747283380697509,4.479195477359985,,,4.350924298654181,"rgba(38, 166, 154, 1.0)",0.32490590460446084,4.350924298654181,-0.20290274113188936,7,0.2275175579232405,1.5926229054626835,0.0,0.0,0.0,0.0,51.477899291267974,-4.6564053619959935,True,False,False,False,True,0.0
2025-05-12 18:00:00+00:00,4.285,4.32,4.27,4.32,2613.0,,5.077267027303547,4.742214908639686,4.474951357974522,,,4.350720704337087,"rgba(38, 166, 154, 1.0)",0.3248142227170408,4.350720704337087,-0.09457930776587034,7,0.2283183791067747,1.5982286537474228,0.0,0.0,0.0,0.0,52.301274998927056,-3.380333079654939,True,False,True,False,True,0.0
2025-05-12 19:00:00+00:00,4.32,4.37,4.265,4.29,1082.0,,5.075599402691896,4.740173388242386,4.4733027908848175,,,4.3506623415999455,"rgba(38, 166, 154, 1.0)",0.32449632488652463,4.3506623415999455,-0.1869430774636935,7,0.22904095307730907,1.6032866715411636,0.0,0.0,0.0,0.0,52.04883475763842,-3.1410272141326985,True,False,True,False,True,0.0
2025-05-13 14:00:00+00:00,4.255,4.255,4.255,4.255,0.0,,5.075599402691896,4.740173388242386,4.4733027908848175,,,4.3506623415999455,"rgba(38, 166, 154, 1.0)",0.3248834441030326,4.3506623415999455,-0.2944512665582537,7,0.229636387397868,1.6074547117850762,0.0,0.0,0.0,0.0,50.93115807221539,-3.1410272141326985,True,False,False,False,True,0.0
2025-05-13 15:00:00+00:00,4.255,4.27,4.255,4.27,13.0,,5.0755782814009525,4.740146526995665,4.473278031252001,,,4.350654113729424,"rgba(38, 166, 154, 1.0)",0.3250407181699925,4.350654113729424,-0.24813541572118647,7,0.23054927827444577,1.6138449479211203,0.0,0.0,0.0,0.0,50.629826234989125,-3.1410272141326985,True,False,False,False,True,0.0
2025-05-13 16:00:00+00:00,4.27,4.295,4.25,4.28,113.0,,5.075396999384808,4.739918079930921,4.473073381925797,,,4.350597383164356,"rgba(38, 166, 154, 1.0)",0.32486938470270343,4.350597383164356,-0.21731005286620383,7,0.23173616768113892,1.6221531737679724,0.0,0.0,0.0,0.0,50.74695114423857,-3.1410272141326985,True,False,False,False,True,0.0
2025-05-13 17:00:00+00:00,4.28,4.315,4.28,4.31,250.0,,5.075009577105211,4.739442406323623,4.472682869779707,,,4.350558517183691,"rgba(38, 166, 154, 1.0)",0.3241652203585173,4.350558517183691,-0.12511680660508478,7,0.23335795135352075,1.6335056594746453,0.0,0.0,0.0,0.0,51.81410861220703,-1.7799429954200576,True,False,False,False,True,0.0
2025-05-13 18:00:00+00:00,4.31,4.31,4.245,4.27,217.0,,5.074662024005435,4.739005258462769,4.472292714500966,,,4.35044899647403,"rgba(38, 166, 154, 1.0)",0.32343779774325226,4.35044899647403,-0.24873096785642582,6,0.2358109873549773,1.4148659241298638,0.0,0.0,0.0,0.0,51.02865072281794,-1.7799429954200576,True,False,False,False,True,0.0
