date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_110,aVWAP_BoS_CHoCH_bull_246,aVWAP_BoS_CHoCH_bull_366,aVWAP_BoS_CHoCH_bull_623,aVWAP_BoS_CHoCH_bull_693,aVWAP_BoS_CHoCH_bull_720,aVWAP_BoS_CHoCH_bull_821,aVWAP_BoS_CHoCH_bear_119,aVWAP_BoS_CHoCH_bear_537,aVWAP_BoS_CHoCH_bear_601,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-06-03 15:00:00+00:00,47.135,47.295,47.105,47.265,30448.0,44.44933169124631,45.27193568359808,45.50622086366525,,,,,45.004672541045615,,,45.678022352534505,"rgba(38, 166, 154, 1.0)",0.640623345086913,45.678022352534505,2.4772398003232166,5,0.4006614282192575,2.0033071410962875,0.0,0.0,0.0,0.0,86.64530186582749,30.089553288875365,True,False,True,False,True,17.998612680159233
2025-06-03 16:00:00+00:00,47.265,47.27,47.145,47.225,18902.0,44.457018350036606,45.280732924000645,45.52241565172701,,,,,45.013485386618946,,,45.69172131228832,"rgba(38, 166, 154, 1.0)",0.6556667605582707,45.69172131228832,2.338503001747658,5,0.3910433905340406,1.9552169526702028,0.0,0.0,0.0,0.0,85.68389456784448,30.089553288875365,True,False,True,False,True,17.372974746598913
2025-06-03 17:00:00+00:00,47.225,47.395,47.225,47.31,18355.0,44.46470210804242,45.289623112761305,45.53873278454057,,,,,45.02234925888939,,,45.70563534836511,"rgba(38, 166, 154, 1.0)",0.6704001628717392,45.70563534836511,2.3931447820096103,5,0.3819280777999227,1.9096403889996136,0.0,0.0,0.0,0.0,85.59586819264703,30.089553288875365,True,False,True,False,True,18.201519890160586
2025-06-03 18:00:00+00:00,47.305,47.33,47.13,47.185,26889.0,44.47551058718858,45.301901164038085,45.56085211120037,,,,,45.03467733501839,,,45.72401043028616,"rgba(38, 166, 154, 1.0)",0.6791995288573719,45.72401043028616,2.151046206070978,4,0.20393718683544873,0.8157487473417949,0.0,0.0,0.0,0.0,81.42104712837713,30.089553288875365,True,False,True,False,False,16.233145816276167
2025-06-03 19:00:00+00:00,47.185,47.275,47.075,47.075,45881.0,44.49326989873818,45.321704315834005,45.595661611173185,,,,,45.054698981818284,,,45.7521509117626,"rgba(38, 166, 154, 1.0)",0.6847659098928822,45.7521509117626,1.9318267295817013,4,0.20228587171613532,0.8091434868645413,0.0,0.0,0.0,0.0,75.58836850863634,31.225851952625604,True,False,True,False,False,14.535156954158968
2025-06-04 14:00:00+00:00,47.06,47.425,47.06,47.27,13438.0,44.498640867163886,45.32776965967829,45.60627339362131,,,,,45.06079653862139,,,45.8710439029956,"rgba(38, 166, 154, 1.0)",0.6945868562685131,45.8710439029956,2.014083745436716,4,0.20087812645389783,0.8035125058155913,0.0,0.0,0.0,0.0,74.10262097335763,29.836313976294463,True,False,True,False,False,16.50449614551738
2025-06-04 15:00:00+00:00,47.275,47.305,46.955,46.975,15189.0,44.50430591495586,45.33396605426651,45.616858919580444,,,,,45.06710593638518,,,45.874462623348094,"rgba(38, 166, 154, 1.0)",0.6954911220863828,45.874462623348094,1.5823888209391348,4,0.2020616964436563,0.8082467857746252,0.0,0.0,0.0,0.0,67.09551538529482,23.362145344646905,False,False,True,False,False,12.124063127392798
2025-06-04 16:00:00+00:00,46.975,47.25,46.825,47.235,16953.0,44.51066069768512,45.34092885747688,45.62869451171057,,,,,45.07418860378483,,,45.882397942108405,"rgba(38, 166, 154, 1.0)",0.7014843143245028,45.882397942108405,1.928200004292453,4,0.20129409069668439,0.8051763627867375,0.0,0.0,0.0,0.0,65.56805646497854,22.077846770093927,False,False,True,False,False,14.719306588864853
2025-06-04 17:00:00+00:00,47.235,47.335,47.12,47.135,9158.0,44.514203750688644,45.344865396709224,45.63540974348087,,,,,45.07816924091106,,,45.888074313207525,"rgba(38, 166, 154, 1.0)",0.7013246796644051,45.888074313207525,1.77795780320913,4,0.19976459361602894,0.7990583744641158,0.0,0.0,0.0,0.0,62.88228406176272,19.555882616283583,False,False,True,False,False,13.289091807883555
2025-06-04 18:00:00+00:00,47.135,47.195,47.01,47.025,14751.0,44.51963659594368,45.35076245580519,45.64528388332404,,,,,45.084188233824065,,,45.89470997210884,"rgba(38, 166, 154, 1.0)",0.6985227526975125,45.89470997210884,1.6181148338064457,4,0.1982853879585228,0.7931415518340912,0.0,0.0,0.0,0.0,59.364453427707794,16.22772838307283,False,True,True,False,False,11.7371090005297
