date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_175,aVWAP_BoS_CHoCH_bull_247,aVWAP_BoS_CHoCH_bear_199,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-08-12 17:00:00+00:00,52.86,53.03,52.76,52.94,527.0,,,,54.99995928763699,"rgba(239, 83, 80, 1.0)",4.3978404835691025,55.14287749115656,-0.5008998164864772,10,0.2311785108626016,2.311785108626016,0.0,0.0,0.0,0.0,37.51431818162916,-18.816162432457574,False,True,False,True,True,0.0
2024-08-13 17:00:00+00:00,54.92,55.08,54.5,55.065,1559.0,,,,55.08840644691287,"rgba(239, 83, 80, 1.0)",4.380904509838662,55.20676551532155,-0.032359873401297416,10,0.23093014852938323,2.3093014852938323,0.0,0.0,0.0,0.0,42.17727999913548,-14.400622546526648,False,True,False,True,True,0.0
2024-08-14 17:00:00+00:00,54.93,55.11,54.74,55.045,314.0,,,,55.10143493757343,"rgba(239, 83, 80, 1.0)",4.328542476743572,55.2160136070943,-0.03950835830146485,10,0.23059495907380115,2.3059495907380114,0.0,0.0,0.0,0.0,45.257998491382935,-11.523209837885702,False,True,False,True,True,0.0
2024-08-15 17:00:00+00:00,57.65,58.02,57.65,57.84,746.0,,,,55.2078000856274,"rgba(38, 166, 154, 1.0)",4.274950773648456,55.30968628111469,0.5918930656424412,10,0.23078844232914614,2.3078844232914615,0.0,0.0,0.0,0.0,50.60943179392691,-6.565787233933541,False,False,True,False,True,0.14838325475835035
2024-08-16 17:00:00+00:00,57.69,57.69,57.37,57.58,137.0,,,,55.22422230386996,"rgba(38, 166, 154, 1.0)",4.246783162021066,55.32415412975595,0.5311893224071472,11,0.26472313281378257,2.911954460951608,0.0,0.0,0.0,0.0,53.750600349378004,-3.703893620011904,False,False,True,False,True,0.0
2024-08-19 17:00:00+00:00,57.25,58.33,57.25,58.29,965.0,,,,55.34300566241363,"rgba(38, 166, 154, 1.0)",4.229581200915234,55.43030872128021,0.6761168879086613,11,0.26481979320229015,2.913017725225192,0.0,0.0,0.0,0.0,56.6472773948574,-0.9774404828837078,True,False,True,False,True,0.8018886307694579
2024-08-20 17:00:00+00:00,57.31,57.92,57.14,57.475,1222.0,,,,55.45263260985188,"rgba(38, 166, 154, 1.0)",4.215723172228614,55.52862696023283,0.46169374986219425,11,0.26503307924677055,2.915363871714476,0.0,0.0,0.0,0.0,57.076081214637014,-0.39547163131717156,True,False,True,False,True,0.0
2024-08-21 17:00:00+00:00,58.31,58.89,58.24,58.74,1997.0,,,,55.99243037367936,"rgba(38, 166, 154, 1.0)",4.190868370958833,55.98747807490617,0.6567903549936784,11,0.2651318098673261,2.916449908540587,0.0,0.0,0.0,0.0,58.93144731527477,1.6712455934385986,True,False,True,False,True,1.442293577637649
2024-08-22 17:00:00+00:00,57.77,57.92,56.73,56.88,3232.0,,,,56.022495901716326,"rgba(38, 166, 154, 1.0)",4.180094478220233,56.027893904932256,0.20384852531623868,10,0.28075736013498365,2.8075736013498362,0.0,0.0,0.0,0.0,56.906277038854924,1.6712455934385986,True,False,True,False,True,0.0
2024-08-23 17:00:00+00:00,57.98,58.38,57.96,58.37,105.0,,,,56.02978268890063,"rgba(38, 166, 154, 1.0)",4.162501548845908,56.03477525790393,0.5610147443052674,10,0.2810511190653582,2.810511190653582,0.0,0.0,0.0,0.0,57.49559591286048,1.6712455934385986,True,False,True,False,True,0.8841313629121039
2024-08-26 17:00:00+00:00,58.37,58.37,56.635,56.69,96.0,,,,56.03219334375095,"rgba(38, 166, 154, 1.0)",4.156584461717075,56.03720072528534,0.15705184887425336,10,0.2811255095835341,2.811255095835341,0.0,0.0,0.0,0.0,55.24114961164237,1.6712455934385986,True,False,True,False,False,0.0
2024-08-27 17:00:00+00:00,57.19,57.52,57.19,57.45,250.0,,,,56.04014580486469,"rgba(38, 166, 154, 1.0)",4.153185889896631,56.04503157705531,0.33828691038427355,10,0.2813342468027241,2.8133424680272414,0.0,0.0,0.0,0.0,54.796579930806594,1.6712455934385986,True,False,True,False,False,0.0
