date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_71,aVWAP_BoS_CHoCH_bull_456,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bull_683,aVWAP_BoS_CHoCH_bear_65,aVWAP_BoS_CHoCH_bear_251,aVWAP_BoS_CHoCH_bear_473,aVWAP_BoS_CHoCH_bear_702,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-06-09 19:00:00+00:00,18.265,18.275,18.055,18.11,114068.0,18.575929156367135,,,,18.42113780729518,18.119605950806964,,,18.38164813067434,"rgba(38, 166, 154, 1.0)",1.0207414413504143,18.38164813067434,-0.2661282472424714,1,1.3642083588033123,1.3642083588033123,0.0,0.0,0.0,0.0,50.12973248805673,4.51365682532559,False,False,False,False,False,0.0
2025-06-10 14:00:00+00:00,18.205,18.3,18.15,18.225,36567.0,18.574099775991993,,,,18.42023923152641,18.120705456420787,,,18.38066356297743,"rgba(38, 166, 154, 1.0)",1.013221145698273,18.38066356297743,-0.15363236706844455,1,1.3737642029482595,1.3737642029482595,0.0,0.0,0.0,0.0,50.133511284292865,4.401849428759803,False,False,False,False,False,0.0
2025-06-10 15:00:00+00:00,18.225,18.305,18.005,18.015,53650.0,18.570564493059138,,,,18.41815671730949,18.12051894345237,,,18.376993284018802,"rgba(38, 166, 154, 1.0)",1.0047652811827747,18.376993284018802,-0.3602764653578351,1,1.3813954766736676,1.3813954766736676,0.0,0.0,0.0,0.0,46.473292115708496,0.8629434878619691,False,False,False,True,False,0.0
2025-06-10 16:00:00+00:00,18.015,18.05,17.975,18.005,41405.0,18.56729990780183,,,,18.416064328973295,18.11924789836684,,,18.37298400621078,"rgba(38, 166, 154, 1.0)",0.9958116477717397,18.37298400621078,-0.3695317352776423,1,1.3900965125190194,1.3900965125190194,0.0,0.0,0.0,0.0,43.88170619382939,-1.5674294309959933,False,False,False,True,False,0.0
2025-06-10 17:00:00+00:00,18.005,18.05,17.92,17.975,35139.0,18.564419701590975,,,,18.414182612984572,18.11791805110276,,,18.369478361364905,"rgba(38, 166, 154, 1.0)",0.9869246664752714,18.369478361364905,-0.39970463274948226,1,1.3976104276017247,1.3976104276017247,0.0,0.0,0.0,0.0,41.66784218286209,-3.6387652939400112,False,True,False,True,False,0.0
2025-06-10 18:00:00+00:00,17.975,18.09,17.94,18.07,40443.0,18.561430428403014,,,,18.412293256776238,18.11698740699752,,,18.366372211919728,"rgba(38, 166, 154, 1.0)",0.9766721627616614,18.366372211919728,-0.30345106906876385,1,1.401330724277807,1.401330724277807,0.0,0.0,0.0,0.0,42.66816708751959,-3.6387652939400112,False,True,False,True,False,0.0
2025-06-10 19:00:00+00:00,18.075,18.155,18.005,18.13,137708.0,18.552690580444885,,,,18.407050311286635,18.11625361281718,,,18.359433875751236,"rgba(38, 166, 154, 1.0)",0.9642315850196863,18.359433875751236,-0.23794478351023196,1,1.405158733643302,1.405158733643302,0.0,0.0,0.0,0.0,44.76588417424246,-3.6387652939400112,False,True,False,True,True,0.0
2025-06-11 14:00:00+00:00,18.155,18.33,18.105,18.31,24032.0,18.551695030370876,,,,18.406591537351,18.117080742045204,,,18.359355614677458,"rgba(38, 166, 154, 1.0)",0.9492954618420442,18.359355614677458,-0.05199183674773727,1,1.4118829473306844,1.4118829473306844,0.0,0.0,0.0,0.0,49.694508345571904,-5.3460169304256695,False,False,False,False,True,0.0
2025-06-11 15:00:00+00:00,18.305,18.45,18.275,18.435,36791.0,18.550872749137145,,,,18.406503755453418,18.11964075585734,,,18.366993994191006,"rgba(38, 166, 154, 1.0)",0.9338776228256249,18.366993994191006,0.07282111076098784,1,1.4213766571153605,1.4213766571153605,0.0,0.0,0.0,0.0,54.86103099327206,-0.6989882937157432,True,False,True,False,True,0.0
2025-06-11 16:00:00+00:00,18.435,18.445,18.275,18.29,29841.0,18.55001053778493,,,,18.40625508841584,18.121299564312007,,,18.36642640444446,"rgba(38, 166, 154, 1.0)",0.9203865570587392,18.36642640444446,-0.08303728890684356,1,1.4302609426495756,1.4302609426495756,0.0,0.0,0.0,0.0,54.95863170970628,-0.6989882937157432,True,False,True,False,True,0.0
