date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_228,aVWAP_BoS_CHoCH_bull_306,aVWAP_BoS_CHoCH_bull_430,aVWAP_BoS_CHoCH_bull_534,aVWAP_BoS_CHoCH_bull_719,aVWAP_BoS_CHoCH_bull_786,aVWAP_BoS_CHoCH_bull_828,aVWAP_BoS_CHoCH_bear_404,aVWAP_BoS_CHoCH_bear_810,aVWAP_BoS_CHoCH_bear_853,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-07-17 14:00:00+00:00,26.265,26.6,26.19,26.6,2195.0,26.269809168928358,26.36353855187562,26.124608804256702,,,,,26.08452630094348,,,26.26460671285319,"rgba(38, 166, 154, 1.0)",0.29241156359254383,26.26460671285319,1.1469905055265168,5,0.5509629845418078,2.754814922709039,0.0,0.0,0.0,0.0,56.2178592410839,10.70024762335693,False,True,True,False,False,5.950717027202128
2025-07-17 15:00:00+00:00,26.585,26.705,26.46,26.555,2124.0,26.270441107422194,26.36410706152376,26.128340518057083,,,,,26.087537188053414,,,26.26944878155034,"rgba(38, 166, 154, 1.0)",0.2927693493042031,26.26944878155034,0.9753453328645929,5,0.54914887394165,2.74574436970825,0.0,0.0,0.0,0.0,53.899441613359556,8.468573948112692,False,True,True,False,False,5.061787970584156
2025-07-17 16:00:00+00:00,26.555,26.67,26.535,26.555,1306.0,26.270845414695266,26.364477277484333,26.130672239773435,,,,,26.089420477855136,,,26.271602595095892,"rgba(38, 166, 154, 1.0)",0.2939764346750594,26.271602595095892,0.9640140211148379,5,0.547913158433413,2.739565792167065,0.0,0.0,0.0,0.0,52.35382986154332,6.950274207675214,False,True,False,False,False,5.061787970584156
2025-07-17 17:00:00+00:00,26.56,26.595,26.49,26.545,2446.0,26.271496347869917,26.36503276563272,26.13456708662126,,,,,26.092605639324944,,,26.273880249246268,"rgba(38, 166, 154, 1.0)",0.29021601150427534,26.273880249246268,0.9341998373847112,5,0.5432398096839185,2.7161990484195924,0.0,0.0,0.0,0.0,51.036807862141174,5.5985763216504125,False,True,False,False,False,4.858877276017367
2025-07-17 18:00:00+00:00,26.545,26.775,26.53,26.77,2188.0,26.27239228666945,26.3659377027274,26.139231201907066,,,,,26.096342469580684,,,26.278463135628023,"rgba(38, 166, 154, 1.0)",0.29241304243741384,26.278463135628023,1.6809676486204679,4,0.4151354245296791,1.6605416981187164,0.0,0.0,0.0,0.0,55.42906966944193,5.5985763216504125,False,True,True,False,True,8.715843445508533
2025-07-17 19:00:00+00:00,26.77,26.895,26.74,26.81,2922.0,26.273933053329362,26.36759306380647,26.146703233496673,,,,,26.102279705727675,,,26.28615993818334,"rgba(38, 166, 154, 1.0)",0.296194527630604,26.28615993818334,1.7685676572322158,4,0.4083772715987112,1.6335090863948447,0.0,0.0,0.0,0.0,59.04609123821086,3.929790760347167,False,False,True,False,True,9.370515058210689
2025-07-18 14:00:00+00:00,26.93,27.145,26.93,27.095,3178.0,26.27634295539705,26.370344679259475,26.15751624333658,,,,,26.110778858799613,,,26.342580842238817,"rgba(38, 166, 154, 1.0)",0.30949489509555683,26.342580842238817,2.431119768643911,4,0.39516131576695923,1.580645263067837,1.0,0.0,27.145,618.0,65.01392268215216,9.3007108272052,True,False,True,False,True,13.767496044838907
2025-07-18 15:00:00+00:00,27.085,27.12,26.91,26.965,2925.0,26.278383094910563,26.372644281166853,26.16661269701542,,,,,26.117994468053954,,,26.34961250249193,"rgba(38, 166, 154, 1.0)",0.3160438446036128,26.34961250249193,1.94715862376595,4,0.38808410893420653,1.5523364357368261,0.0,0.0,0.0,0.0,65.40946967668243,9.503208315147042,True,False,True,False,True,11.083104097876877
2025-07-18 16:00:00+00:00,26.965,26.98,26.87,26.89,2423.0,26.27986588714474,26.37427944243565,26.17324526224594,,,,,26.123314849682867,,,26.35327078246835,"rgba(38, 166, 154, 1.0)",0.3163891434455554,26.35327078246835,1.6964210961429897,4,0.3847903208907709,1.5391612835630837,0.0,0.0,0.0,0.0,63.83881558555373,9.503208315147042,True,False,True,False,True,9.577405139577834
2025-07-18 17:00:00+00:00,26.89,26.94,26.75,26.83,1860.0,26.280868225422093,26.37535811814574,26.177760679310587,,,,,26.126976307799914,,,26.355046362143554,"rgba(38, 166, 154, 1.0)",0.31032821915469944,26.355046362143554,1.5304880721133474,4,0.381432943893266,1.525731775573064,0.0,0.0,0.0,0.0,61.383394209140214,9.503208315147042,True,False,True,False,False,8.386762977463924
