date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bear_152,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-21 17:00:00+00:00,5.785,5.815,5.62,5.665,5331.0,6.156478261834359,6.653000467290136,"rgba(239, 83, 80, 1.0)",0.6699258934410078,6.628018945922429,-1.4375007076916793,5,0.44342112743709156,2.217105637185458,0.0,0.0,0.0,0.0,40.297839675491176,-12.327228479380295,False,False,False,True,False,0.0
2025-02-24 17:00:00+00:00,4.97,5.015,4.87,4.96,27135.0,5.99840708988688,6.560653435964973,"rgba(239, 83, 80, 1.0)",0.6937010675868974,6.535651722374908,-2.2713698969153335,5,0.42890976569609707,2.1445488284804854,0.0,0.0,0.0,0.0,33.475022042874194,-11.633702358320853,False,True,False,True,False,0.0
2025-02-25 17:00:00+00:00,4.81,4.84,4.725,4.735,15629.0,5.912089216508311,6.511714524359672,"rgba(239, 83, 80, 1.0)",0.7227998115436929,6.486685235785169,-2.423472181106511,5,0.41202402591437154,2.0601201295718576,0.0,0.0,0.0,0.0,27.989938234480572,-16.45089090782853,False,True,False,True,False,0.0
2025-02-26 17:00:00+00:00,4.785,4.8,4.59,4.645,10977.0,5.85421341168091,6.478644737743826,"rgba(239, 83, 80, 1.0)",0.7531194466357456,6.453592170813097,-2.401467893163889,5,0.39583673776683215,1.9791836888341607,0.0,0.0,0.0,0.0,23.993168733312544,-19.84289732750039,False,True,False,True,False,0.0
2025-02-27 17:00:00+00:00,4.62,4.71,4.61,4.68,8554.0,5.8123329444165,6.454400858597153,"rgba(239, 83, 80, 1.0)",0.7813732540612031,6.429332150738878,-2.2387919494898108,5,0.38217135001142755,1.9108567500571376,0.0,0.0,0.0,0.0,22.044144229868547,-21.45652836600992,False,True,False,True,False,0.0
2025-02-28 17:00:00+00:00,4.605,4.65,4.55,4.61,13078.0,5.750481153898311,6.418019488945507,"rgba(239, 83, 80, 1.0)",0.8093232463714042,6.3929234914951785,-2.202980699601679,5,0.3692052215196484,1.846026107598242,0.0,0.0,0.0,0.0,20.41593603903893,-22.967237016363377,False,True,False,True,False,0.0
2025-03-03 17:00:00+00:00,4.36,4.375,4.14,4.245,9798.0,5.695215907521128,6.260106603663562,"rgba(239, 83, 80, 1.0)",0.8482492143997316,6.182672202158803,-2.284319477419154,5,0.35289469434954646,1.7644734717477322,0.0,0.0,0.0,0.0,17.94735350608601,-25.37843466790017,False,True,False,True,False,0.0
2025-03-04 17:00:00+00:00,4.225,4.42,4.225,4.305,7454.0,5.657559958321728,6.240484382307094,"rgba(239, 83, 80, 1.0)",0.8824377475937953,6.162676662311937,-2.105164548295213,5,0.3395288831032868,1.697644415516434,0.0,0.0,0.0,0.0,17.54280355652089,-25.972771771443007,False,True,False,True,False,0.0
2025-03-05 17:00:00+00:00,4.44,4.62,4.43,4.57,7663.0,5.627034370949133,6.227310879274153,"rgba(239, 83, 80, 1.0)",0.9070968590573691,6.149491907174591,-1.7412604744502769,5,0.3305183530700263,1.6525917653501314,0.0,0.0,0.0,0.0,22.14090383805994,-25.972771771443007,False,True,False,True,True,0.0
2025-03-06 17:00:00+00:00,4.485,4.625,4.455,4.545,9319.0,5.592140517802478,6.209354924174245,"rgba(239, 83, 80, 1.0)",0.9314425651924468,6.131391789348198,-1.7031557807543736,5,0.3220843664167334,1.610421832083667,0.0,0.0,0.0,0.0,25.015424418363693,-31.62342614518409,False,True,False,True,True,0.0
2025-03-07 17:00:00+00:00,4.565,4.71,4.54,4.655,7882.0,5.566803045976239,6.196099389397585,"rgba(239, 83, 80, 1.0)",0.9519602724695995,6.118102791274765,-1.5369368172047206,5,0.31529319416328605,1.5764659708164301,0.0,0.0,0.0,0.0,28.84614914561368,-27.95851211053957,False,True,False,True,True,0.0
2025-03-10 17:00:00+00:00,4.57,4.58,4.49,4.56,4695.0,5.550915125604934,6.18677678084784,"rgba(239, 83, 80, 1.0)",0.9731976873887304,6.108682277852397,-1.59133370118028,5,0.3083171428801976,1.5415857144009881,0.0,0.0,0.0,0.0,30.492348492328496,-26.310865091517602,False,True,False,True,True,0.0
2025-03-11 17:00:00+00:00,4.515,4.565,4.485,4.505,8673.0,5.522129779032043,6.169213175218889,"rgba(239, 83, 80, 1.0)",0.9952512155139609,6.090917288251088,-1.5934844022592822,5,0.30152354344978993,1.5076177172489498,0.0,0.0,0.0,0.0,31.068102154345578,-25.51963174207181,False,False,False,True,True,0.0
2025-03-12 17:00:00+00:00,4.565,4.685,4.54,4.685,3427.0,5.5124825063663785,6.163459245709978,"rgba(239, 83, 80, 1.0)",1.0108262074272,6.08514215530575,-1.385146274421846,5,0.2964423121271659,1.4822115606358293,0.0,0.0,0.0,0.0,34.74409744523467,-21.809819624460552,False,False,False,True,True,0.0
2025-03-13 17:00:00+00:00,4.57,4.625,4.535,4.595,3635.0,5.5018865540672195,6.156895669557177,"rgba(239, 83, 80, 1.0)",1.02730159961747,6.078532196263492,-1.4441057979622594,5,0.29120718003160107,1.4560359001580054,0.0,0.0,0.0,0.0,36.131772751449,-20.277112396977664,True,False,False,True,True,0.0
2025-03-14 17:00:00+00:00,4.755,4.795,4.755,4.775,3169.0,5.4947182796167375,6.15270842179496,"rgba(239, 83, 80, 1.0)",1.0379699434972287,6.07437934168725,-1.2518467898109407,5,0.28732143722864467,1.4366071861432235,0.0,0.0,0.0,0.0,40.02245764230133,-16.42632015966162,True,False,False,True,True,0.0
2025-03-17 17:00:00+00:00,5.14,5.165,5.09,5.13,3401.0,5.490881226879508,6.151095234677067,"rgba(38, 166, 154, 1.0)",1.0427660634404534,6.0729422264579656,-0.9042701517796488,5,0.28518661026615233,1.4259330513307615,0.0,0.0,0.0,0.0,46.865076411744255,-10.0355434533477,True,False,False,False,True,0.0
2025-03-18 17:00:00+00:00,5.105,5.2,5.085,5.17,5303.0,5.4854309939978965,6.148578613370934,"rgba(38, 166, 154, 1.0)",1.0470122141487241,6.070693945156882,-0.8602516121449391,5,0.28329115765351404,1.4164557882675701,0.0,0.0,0.0,0.0,51.821659787015065,-5.587772541402849,True,False,True,False,True,0.0
2025-03-19 17:00:00+00:00,5.33,5.34,5.24,5.24,4510.0,5.48257184290259,6.098883926153466,"rgba(38, 166, 154, 1.0)",1.051078305172189,5.967656966294156,-0.6922956764624209,5,0.2817164445928185,1.4085822229640925,0.0,0.0,0.0,0.0,55.8379612165395,-2.002363938222757,True,False,True,False,True,0.0
2025-03-20 17:00:00+00:00,5.13,5.215,5.13,5.15,4668.0,5.478201858724735,6.093419867256337,"rgba(38, 166, 154, 1.0)",1.0559739964038504,5.962227252174715,-0.7691735354665722,5,0.27992195492981686,1.3996097746490843,0.0,0.0,0.0,0.0,56.925107794764145,-0.9860904204904628,True,False,True,False,True,0.0
2025-03-21 17:00:00+00:00,5.125,5.125,4.945,5.0,5299.0,5.471205770406662,6.085025924258281,"rgba(38, 166, 154, 1.0)",1.063272053361461,5.9536500887863815,-0.8969013017613721,5,0.2776370227198989,1.3881851135994943,0.0,0.0,0.0,0.0,55.22963687893036,-0.9860904204904628,True,False,True,False,True,0.0
2025-03-24 17:00:00+00:00,4.97,4.975,4.89,4.93,5293.0,5.463042222546197,6.076368805093153,"rgba(38, 166, 154, 1.0)",1.0680659121949505,5.944806815584519,-0.9501350094574406,5,0.2753314954385047,1.3766574771925235,0.0,0.0,0.0,0.0,53.05233303588122,-0.9860904204904628,True,False,True,False,False,0.0
2025-03-25 17:00:00+00:00,4.945,4.98,4.915,4.93,3196.0,5.458322007155463,6.071993672839322,"rgba(38, 166, 154, 1.0)",1.0719983360213166,5.940420627148435,-0.9425580182321693,5,0.27308267799640545,1.3654133899820273,0.0,0.0,0.0,0.0,51.60079714051513,-0.9860904204904628,True,False,False,False,False,0.0
2025-03-26 17:00:00+00:00,5.155,5.185,5.035,5.05,8171.0,5.449989617595269,6.06631331688513,"rgba(38, 166, 154, 1.0)",1.0733164189255537,5.935300223775645,-0.8248268713357402,5,0.27178156166796047,1.3589078083398023,0.0,0.0,0.0,0.0,52.61999550963844,-0.9860904204904628,True,False,True,False,False,0.0
2025-03-27 17:00:00+00:00,5.07,5.095,5.03,5.075,3243.0,5.446578501828878,6.063719508375982,"rgba(38, 166, 154, 1.0)",1.0761519074591506,5.9328884218112465,-0.7971815278725516,5,0.27059921653241853,1.3529960826620926,0.0,0.0,0.0,0.0,53.70012193437352,-0.9860904204904628,True,False,True,False,False,0.0
2025-03-28 17:00:00+00:00,4.945,5.02,4.925,4.995,2073.0,5.443939465872132,6.061455786682215,"rgba(38, 166, 154, 1.0)",1.0789060692693997,5.93067768010865,-0.8672466554407838,5,0.2688635521875792,1.344317760937896,0.0,0.0,0.0,0.0,52.79802240509733,-0.9860904204904628,True,False,True,False,False,0.0
2025-03-31 17:00:00+00:00,4.925,4.975,4.88,4.89,3616.0,5.438771830757592,6.056833811785592,"rgba(38, 166, 154, 1.0)",1.0829993927443937,5.926079433459622,-0.956675913579348,5,0.26678558830606536,1.3339279415303267,0.0,0.0,0.0,0.0,50.25925992000101,-0.9860904204904628,True,False,False,False,False,0.0
2025-04-01 17:00:00+00:00,4.97,5.005,4.77,4.985,7650.0,5.428266484898217,6.047613992367772,"rgba(38, 166, 154, 1.0)",1.0863919746217587,5.916968243357154,-0.8578563401866348,5,0.2650819301368329,1.3254096506841644,0.0,0.0,0.0,0.0,50.466240594353714,-0.9860904204904628,True,False,False,False,False,0.0
2025-04-02 17:00:00+00:00,5.125,5.16,5.07,5.16,2959.0,5.425948377980137,6.04592657088401,"rgba(38, 166, 154, 1.0)",1.0891966086305511,5.915508700199959,-0.6936384985166835,5,0.2639218502608566,1.3196092513042832,0.0,0.0,0.0,0.0,53.50628665119794,-0.9860904204904628,True,False,True,False,True,0.0
2025-04-03 17:00:00+00:00,4.765,4.825,4.745,4.76,12610.0,5.4051331463868735,6.02701746725278,"rgba(38, 166, 154, 1.0)",1.0965996255419663,5.896415507202413,-1.0363084946712147,5,0.2616754119474284,1.308377059737142,0.0,0.0,0.0,0.0,49.314586792468525,-0.9860904204904628,True,False,False,False,False,0.0
2025-04-04 17:00:00+00:00,4.035,4.165,3.965,4.115,7594.0,5.38006560530895,6.003704438257182,"rgba(239, 83, 80, 1.0)",1.1132459114946267,5.871870763025932,-1.5781515520386542,5,0.2568304197102155,1.2841520985510773,0.0,0.0,0.0,0.0,41.578063735529966,-2.3451880775626037,True,False,False,True,False,0.0
2025-04-07 17:00:00+00:00,3.815,4.065,3.815,3.955,6703.0,5.35646797224321,5.982378573170952,"rgba(239, 83, 80, 1.0)",1.132972105920016,5.8494184729556356,-1.6720786531785763,5,0.25163320628996455,1.2581660314498229,0.0,0.0,0.0,0.0,35.621524346743826,-7.553463112376093,False,False,False,True,False,0.0
2025-04-08 17:00:00+00:00,3.695,3.82,3.66,3.72,12322.0,5.308843531178514,5.940562793390477,"rgba(239, 83, 80, 1.0)",1.150089138731025,5.805362736133102,-1.8132183549129333,5,0.2456929894381962,1.228464947190981,0.0,0.0,0.0,0.0,30.609591346120652,-11.858314128029654,False,True,False,True,False,0.0
