date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-06-05 17:00:00+00:00,2.55,2.65,2.55,2.61,669.0,3.47307131189366,"rgba(239, 83, 80, 1.0)",0.3339009806287858,3.3082036328392603,-2.0910499619511085,0,,,0.0,0.0,0.0,0.0,21.479249543789912,-23.180225300647255,False,True,False,True,False,0.0
2024-06-06 17:00:00+00:00,2.61,2.61,2.54,2.57,204.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.34823238332009376,3.287311149446906,-2.059863423981326,0,,,0.0,0.0,0.0,0.0,21.751329966025637,-23.180225300647255,False,True,False,True,False,0.0
2024-06-07 17:00:00+00:00,2.57,2.57,2.57,2.57,0.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.3624749137017112,3.287311149446906,-1.9789263265738648,0,,,0.0,0.0,0.0,0.0,21.932716914182787,-23.180225300647255,False,True,False,True,False,0.0
2024-06-10 17:00:00+00:00,2.57,2.57,2.57,2.57,0.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.3762529458745529,3.287311149446906,-1.9064598890504525,0,,,0.0,0.0,0.0,0.0,22.053641546287555,-23.299270969010013,False,True,False,True,False,0.0
2024-06-11 17:00:00+00:00,2.57,2.57,2.57,2.57,0.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.3894096363276913,3.287311149446906,-1.8420477628942982,0,,,0.0,0.0,0.0,0.0,22.134257967690733,-23.71202554967108,False,True,False,True,False,0.0
2024-06-12 17:00:00+00:00,2.57,2.57,2.57,2.57,0.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.40139669443868903,3.287311149446906,-1.7870380084967816,0,,,0.0,0.0,0.0,0.0,22.188002248626184,-24.134812941268727,False,True,False,True,False,0.0
2024-06-13 17:00:00+00:00,2.57,2.57,2.57,2.57,0.0,3.4450869036878937,"rgba(239, 83, 80, 1.0)",0.41253082876881414,3.287311149446906,-1.7388061677419346,0,,,0.0,0.0,0.0,0.0,22.223831769249813,-24.54746813140812,False,True,False,True,False,0.0
2024-06-14 17:00:00+00:00,2.055,2.055,1.98,1.98,230.0,3.3962889813898145,"rgba(239, 83, 80, 1.0)",0.44328498347742007,3.2300521047406088,-2.8199739475368077,0,,,0.0,0.0,0.0,0.0,17.830829914936103,-28.917348019152477,False,True,False,True,False,0.0
2024-06-17 17:00:00+00:00,1.98,1.98,1.88,1.885,52.0,3.3850326920042186,"rgba(239, 83, 80, 1.0)",0.4755265171033772,3.00026390661659,-2.3453243226268645,0,,,0.0,0.0,0.0,0.0,14.609127902505426,-31.932154654372155,False,True,False,True,False,0.0
2024-06-18 17:00:00+00:00,1.91,1.91,1.89,1.89,100.0,3.363602278669209,"rgba(239, 83, 80, 1.0)",0.504745828463546,2.978567332130004,-2.156664346179184,0,,,0.0,0.0,0.0,0.0,12.636484375805605,-33.71346948471185,False,True,False,True,False,0.0
