date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_110,aVWAP_BoS_CHoCH_bull_222,aVWAP_BoS_CHoCH_bull_279,aVWAP_BoS_CHoCH_bull_373,aVWAP_BoS_CHoCH_bull_474,aVWAP_BoS_CHoCH_bull_613,aVWAP_BoS_CHoCH_bull_648,aVWAP_BoS_CHoCH_bull_718,aVWAP_BoS_CHoCH_bull_791,aVWAP_BoS_CHoCH_bear_456,aVWAP_BoS_CHoCH_bear_671,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-09-29 17:00:00+00:00,142.67,148.5,142.28,148.18,186300.0,122.64952239123828,128.94958633926103,131.49320153120104,136.42549011327725,144.26107801010613,146.28485680312136,147.51972540847123,143.0223464639414,,142.64938925686843,146.36059879319671,145.4142126811829,"rgba(38, 166, 154, 1.0)",4.682433097409388,145.4142126811829,0.5906731097444422,2,0.32931435668401215,0.6586287133680243,0.0,0.0,0.0,0.0,45.14715986488815,-11.938174495901016,False,False,False,False,True,3.5292478173578736
2025-09-29 18:00:00+00:00,148.23,148.71,147.07,148.425,65672.0,122.72486311511081,129.02720247063203,131.56902812397894,136.49201969079385,144.29380770653242,146.31940430787088,147.53534357068963,143.65116781723484,,142.69213189994252,146.46119694693232,145.48006463317782,"rgba(38, 166, 154, 1.0)",4.680269157579569,145.48006463317782,0.6292235056723073,3,0.43317484781096205,1.2995245434328861,0.0,0.0,0.0,0.0,54.462162000847215,-4.299886091425805,False,False,True,False,True,3.9337279841214325
2025-09-29 19:00:00+00:00,148.52,149.675,148.4,149.03,93195.0,122.83506452463402,129.14180900728755,131.68168542971978,136.59291275877584,144.35095080589292,146.39205663234907,147.59357691029916,144.46019976157496,,142.76234377343374,146.6597562339787,145.59081285873376,"rgba(38, 166, 154, 1.0)",4.680780188299208,145.59081285873376,0.7347465599566846,3,0.4330403021767904,1.2991209065303713,0.0,0.0,0.0,0.0,61.234750657945455,1.0728288355038629,True,False,True,False,True,4.932913550896952
2025-09-30 14:00:00+00:00,151.03,151.05,145.47,146.145,47694.0,122.8879397912572,129.195628431961,131.73390991187497,136.63785356489598,144.37059236748922,146.40776417465256,147.59282523090363,144.68120429471583,,142.78934098940255,146.69375873466882,145.61794534507914,"rgba(38, 166, 154, 1.0)",4.681014088945268,145.61794534507914,0.11259411847650114,3,0.43306851311033884,1.2992055393310165,0.0,0.0,0.0,0.0,59.47395872259646,1.0728288355038629,True,False,True,False,True,0.0
2025-09-30 15:00:00+00:00,146.215,146.925,145.6,146.295,36652.0,122.92631675040339,129.23390200607707,131.77057822770692,136.6681149483141,144.37951410190095,146.4063831611677,147.5733585940919,144.76403250928163,,142.8043578057282,146.68183539981138,145.62218693257824,"rgba(38, 166, 154, 1.0)",4.6772427467168,145.62218693257824,0.14384822508817294,3,0.4330893069440071,1.2992679208320213,0.0,0.0,0.0,0.0,58.513185405691175,1.0728288355038629,True,False,True,False,True,0.06908732645332094
2025-09-30 16:00:00+00:00,146.3,147.18,145.86,146.18,31898.0,122.95980376233386,129.26733145856844,131.80263224027263,136.69466040271843,144.3877526979798,146.40638567340514,147.5585686846945,144.83518265268017,,142.8178201699342,146.6752073664513,145.62699923389553,"rgba(38, 166, 154, 1.0)",4.671209791790787,145.62699923389553,0.11838491327799533,3,0.4330057176646947,1.2990171529940842,0.0,0.0,0.0,0.0,57.63946087190924,1.0728288355038629,True,False,True,False,False,0.0
2025-09-30 17:00:00+00:00,146.205,147.9,145.76,147.49,25177.0,122.98689096127173,129.29461242357263,131.8289435641286,136.71689182719766,144.39626534836324,146.4108559916797,147.55353048226016,144.90839997137613,,142.830267203672,146.68219995390714,145.6357500719701,"rgba(38, 166, 154, 1.0)",4.639305411665193,145.6357500719701,0.39968266011707826,3,0.43298802864633673,1.2989640859390101,0.0,0.0,0.0,0.0,59.06776481372528,1.0728288355038629,True,False,True,False,False,2.1090163897079677
2025-09-30 18:00:00+00:00,147.435,148.29,147.435,147.86,23685.0,123.01317506662487,129.3213701297264,131.85492840594796,136.73935480988135,144.40665820475215,146.42027411612028,147.55637566010708,144.99747329320363,,142.84414945917598,146.70254438380462,145.6497363917205,"rgba(38, 166, 154, 1.0)",4.600295200085666,145.6497363917205,0.48046125566862735,3,0.4330606832516961,1.2991820497550883,0.0,0.0,0.0,0.0,60.54853992732056,1.0728288355038629,True,False,True,False,False,2.7295465261164793
2025-09-30 19:00:00+00:00,147.87,148.84,147.86,148.66,58600.0,123.07951028446723,129.38934429458956,131.92122105268007,136.79748000507942,144.4364634964035,146.4524113187732,147.57640898677724,145.23745020759097,,142.88218070201262,146.77420300832924,145.69329862430897,"rgba(38, 166, 154, 1.0)",4.550655112723694,145.69329862430897,0.6519284151849023,3,0.4331000124685552,1.2993000374056656,0.0,0.0,0.0,0.0,62.654554345985986,3.588903757398711,True,False,True,False,False,4.061934173150341
2025-10-01 14:00:00+00:00,148.69,151.71,148.65,150.815,25304.0,123.11022759505894,129.42151624955554,131.95302050180283,136.82654533429317,144.45534358932653,146.47911735476274,147.60330094460159,145.38750041897197,,142.90410233844594,146.83702647262024,146.10035966176878,"rgba(38, 166, 154, 1.0)",4.508188128084454,146.10035966176878,1.045794941178395,3,0.43213794464975824,1.2964138339492748,0.0,0.0,0.0,0.0,66.46614198527438,7.721572613916152,True,False,True,False,True,7.483395402725645
