date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_179,aVWAP_BoS_CHoCH_bull_278,aVWAP_BoS_CHoCH_bull_341,aVWAP_BoS_CHoCH_bull_427,aVWAP_BoS_CHoCH_bull_629,aVWAP_BoS_CHoCH_bull_712,aVWAP_BoS_CHoCH_bear_561,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-19 14:00:00+00:00,4.94,4.975,4.94,4.975,300.0,,,,,,,,4.924992344030974,"rgba(38, 166, 154, 1.0)",0.07154045034829008,4.924992344030974,0.6990123171655562,0,,,0.0,0.0,0.0,0.0,51.778545181841075,2.728693016993695,True,False,True,False,True,0.0
2025-03-19 15:00:00+00:00,4.975,4.975,4.955,4.97,623.0,,,,,,,,4.930293170629786,"rgba(38, 166, 154, 1.0)",0.07029461809650482,4.930293170629786,0.564863007231963,0,,,0.0,0.0,0.0,0.0,55.471349106415765,-2.6252221849165664,True,False,True,False,True,0.0
2025-03-19 16:00:00+00:00,4.97,4.98,4.96,4.965,3103.0,,,,,,,,4.941215424189345,"rgba(38, 166, 154, 1.0)",0.06790480883606996,4.941215424189345,0.3502634970679896,0,,,0.0,0.0,0.0,0.0,57.20996092627796,-0.9021319892883923,True,False,True,False,True,0.0
2025-03-19 17:00:00+00:00,4.965,4.965,4.94,4.94,1751.0,,,,,,,,4.941301729175818,"rgba(38, 166, 154, 1.0)",0.06521261139292646,4.941301729175818,-0.019961310366394498,0,,,0.0,0.0,0.0,0.0,55.07981690641702,-0.9021319892883923,True,False,True,False,True,0.0
2025-03-19 18:00:00+00:00,4.94,4.975,4.93,4.975,3310.0,,,,,,,,4.944157132233559,"rgba(38, 166, 154, 1.0)",0.06252293272965756,4.944157132233559,0.4933048790241812,0,,,0.0,0.0,0.0,0.0,57.00203468954055,-0.8153395275126414,True,False,True,False,True,0.0
2025-03-19 19:00:00+00:00,4.975,4.975,4.95,4.95,3142.0,,,,,,,,4.945747289669263,"rgba(38, 166, 154, 1.0)",0.05958920937446689,4.945747289669263,0.07136712125198476,0,,,0.0,0.0,0.0,0.0,55.42839626691557,-0.8153395275126414,True,False,True,False,True,0.0
2025-03-20 14:00:00+00:00,4.945,4.945,4.945,4.945,0.0,,,,,,,,4.945747289669263,"rgba(38, 166, 154, 1.0)",0.057160828898473424,4.945747289669263,-0.013073457534874293,0,,,0.0,0.0,0.0,0.0,53.844279388150106,-0.8153395275126414,True,False,True,False,False,0.0
2025-03-20 15:00:00+00:00,4.945,4.995,4.945,4.985,200.0,,,,,,,,4.949221167969487,"rgba(38, 166, 154, 1.0)",0.055550642425394835,4.949221167969487,0.6440759362695914,0,,,0.0,0.0,0.0,0.0,56.34757817924066,-0.6249583913276666,True,False,True,False,False,0.29213665411116807
2025-03-20 16:00:00+00:00,4.975,4.985,4.955,4.96,1251.0,,,,,,,,4.949293843296037,"rgba(38, 166, 154, 1.0)",0.05414153956350448,4.949293843296037,0.1977438541695874,0,,,0.0,0.0,0.0,0.0,55.31461684393978,-0.6249583913276666,True,False,True,False,False,0.0
2025-03-20 17:00:00+00:00,4.965,4.975,4.95,4.965,1150.0,,,,,,,,4.949642392945178,"rgba(38, 166, 154, 1.0)",0.05388986098624987,4.949642392945178,0.2849813819104262,0,,,0.0,0.0,0.0,0.0,55.075826843729075,-0.6249583913276666,True,False,True,False,False,0.0
