date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_59,aVWAP_BoS_CHoCH_bull_194,aVWAP_BoS_CHoCH_bull_269,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-01-23 17:00:00+00:00,41.995,42.26,41.975,42.06,40683.0,41.37474845112426,43.462121909940215,41.879988441924574,41.40575003377645,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-24 17:00:00+00:00,42.35,42.41,42.165,42.3,82099.0,41.38697318355162,43.432680453248715,42.01366813536841,41.41372786064221,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-27 17:00:00+00:00,43.16,43.285,42.95,43.105,67868.0,41.405792637090215,43.42617531259424,42.24638503705967,41.44037682241166,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-28 17:00:00+00:00,42.91,43.24,42.885,43.155,40340.0,41.41665678671769,43.422193545412014,42.3410171800461,41.45317651878369,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-29 17:00:00+00:00,43.87,43.94,43.35,43.35,48743.0,41.433098012906505,43.423967150711704,42.48442751267746,41.47493196392764,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-30 17:00:00+00:00,43.52,43.665,43.15,43.575,28738.0,41.44229554485806,43.42429510684882,42.5485791944115,41.485884231468944,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-01-31 17:00:00+00:00,43.59,43.8,42.83,43.13,90521.0,41.46777509457482,43.419923563489846,42.6691654049497,41.511158506111535,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-03 17:00:00+00:00,43.59,43.69,43.33,43.44,26578.0,41.47608048178318,43.42042091877505,42.70827052650586,41.51996578430602,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-04 17:00:00+00:00,43.91,44.38,43.81,44.265,49838.0,41.496562219874555,43.43049801695932,42.82708321978273,41.54556998160428,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-05 17:00:00+00:00,44.995,45.5,44.995,45.485,37802.0,41.51867270576071,43.45011297141471,42.97397467945777,41.57673757675448,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-06 17:00:00+00:00,45.99,46.08,45.66,45.995,57003.0,41.55658386120641,43.487920681988335,43.213109826512536,41.63034400868014,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-07 17:00:00+00:00,45.83,46.26,45.825,45.94,38484.0,41.58237061415227,43.51378762022789,43.35872331401229,41.66565844208647,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-10 17:00:00+00:00,46.37,46.68,46.12,46.4,72693.0,41.63451237294022,43.56867537026118,43.631176974896846,41.73613402901674,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-11 17:00:00+00:00,46.02,46.305,45.89,46.29,39728.0,41.66113312994442,43.595347756854245,43.74928692802547,41.77031622534582,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-12 17:00:00+00:00,45.91,46.48,45.71,45.92,41390.0,41.687775470255865,43.62123314205691,43.85535819000914,41.80348133365378,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-13 17:00:00+00:00,45.495,45.74,45.05,45.285,33129.0,41.70557771928373,43.63585146915964,43.90914755651484,41.82382493932256,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-14 17:00:00+00:00,46.61,46.65,46.29,46.555,23800.0,41.722218976911286,43.65305297642479,43.974048588745205,41.84467892152636,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-17 17:00:00+00:00,46.555,46.555,46.555,46.555,0.0,41.722218976911286,43.65305297642479,43.974048588745205,41.84467892152636,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-18 17:00:00+00:00,46.42,46.53,46.11,46.19,29234.0,41.74156089614476,43.67227685579319,44.0428269287096,41.868268941915225,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-19 17:00:00+00:00,46.31,46.65,46.245,46.65,19833.0,41.755274321274065,43.68633805500605,44.091928587332525,41.885112462629635,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
