date,Close,High,Low,Open,Volume,aVWAP_peak_37,aVWAP_valley_25,aVWAP_valley_24,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2025-06-27 00:00:00+00:00,17.82,17.99,17.55,17.88,112823,,16.956893829562095,16.85532712821693,16.906110478889513,,16.906110478889513,#000000,,16.906110478889513,
2025-06-30 00:00:00+00:00,18.39,18.5,17.615,17.92,478323,,17.17040354070221,17.066960781647662,17.118682161174938,,17.118682161174938,#000000,,17.118682161174938,
2025-07-01 00:00:00+00:00,18.43,19.0,18.14,18.39,395357,,17.34243109520843,17.238176018693547,17.290303556950988,,17.290303556950988,#000000,,17.290303556950988,
2025-07-02 00:00:00+00:00,17.85,19.17,17.745,18.57,280651,18.255000000000003,17.417981209279503,17.316497771110978,17.663159660130162,18.255000000000003,17.36723949019524,#000000,,17.663159660130162,
2025-07-03 00:00:00+00:00,17.81,18.5,17.765,18.37,27752,18.234303184469674,17.42291020473031,17.321853396501808,17.659688928567263,18.234303184469674,17.37238180061606,#000000,,17.659688928567263,
2025-07-07 00:00:00+00:00,17.53,18.48,17.29,17.81,95888,18.123391167088393,17.432291446760512,17.3331752986851,17.629619304178,18.123391167088393,17.382733372722804,#000000,,17.629619304178,
2025-07-08 00:00:00+00:00,17.78,17.99,17.4,17.52,132301,18.024753745241576,17.44285260061861,17.34641233800953,17.60467289462324,18.024753745241576,17.394632469314068,#000000,,17.60467289462324,
2025-07-09 00:00:00+00:00,17.76,17.89,17.465,17.8,278956,17.915382836652984,17.461484417600857,17.37035164524705,17.582406299833632,17.915382836652984,17.415918031423956,#000000,,17.582406299833632,
2025-07-10 00:00:00+00:00,17.24,18.02,17.2,17.93,69095,17.881897980315227,17.46192006599779,17.372243728516228,17.572020591609746,17.881897980315227,17.41708189725701,#000000,,17.572020591609746,
2025-07-11 00:00:00+00:00,17.34,17.67,17.03,17.05,31888,17.86327618123846,17.461007167785265,17.372053144031252,17.565445497684994,17.86327618123846,17.41653015590826,#000000,,17.565445497684994,
2025-07-14 00:00:00+00:00,18.07,18.07,17.28,17.28,48100,17.860453425541305,17.46508826379411,17.376883774411866,17.56747515458243,17.860453425541305,17.42098601910299,#000000,,17.56747515458243,
2025-07-15 00:00:00+00:00,17.67,18.43,17.66,18.07,172986,17.869508075506374,17.48361766388522,17.3977592884367,17.58362834260943,17.869508075506374,17.440688476160958,#000000,,17.58362834260943,
2025-07-16 00:00:00+00:00,17.73,18.19,17.65,17.75,105362,17.868419564342332,17.492648547965814,17.408256947577488,17.589775019961877,17.868419564342332,17.45045274777165,#000000,,17.589775019961877,
2025-07-17 00:00:00+00:00,17.83,17.99,17.51,17.69,99652,17.86160953257696,17.499005966622942,17.416058921433745,17.592224806877883,17.86160953257696,17.457532444028345,#000000,,17.592224806877883,
2025-07-18 00:00:00+00:00,17.66,18.0,17.51,17.82,57660,17.855915712043664,17.50187421626804,17.41977854608165,17.592522824797783,17.855915712043664,17.460826381174844,#000000,,17.592522824797783,
