date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color
2025-06-30 17:10:00+00:00,62.125,62.13,62.09,62.095,1931.0,62.1295662979788,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:15:00+00:00,62.095,62.12,62.095,62.12,3032.0,62.1254416831332,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:20:00+00:00,62.115,62.145,62.115,62.135,2815.0,62.126538742461236,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:25:00+00:00,62.135,62.145,62.105,62.115,1782.0,62.126049751243784,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:30:00+00:00,62.115,62.135,62.09,62.095,19828.0,62.11582364366868,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:35:00+00:00,62.095,62.115,62.085,62.115,9470.0,62.113645251099825,"rgba(38, 166, 154, 0.75)"
2025-06-30 17:40:00+00:00,62.115,62.115,62.075,62.075,2801.0,62.11222312485793,"rgba(38, 166, 154, 0.5)"
2025-06-30 17:45:00+00:00,62.075,62.085,62.065,62.075,1302.0,62.11127573826466,#000000
2025-06-30 17:50:00+00:00,62.075,62.075,62.045,62.065,1900.0,62.08558292181846,#000000
2025-06-30 17:55:00+00:00,62.065,62.095,62.045,62.075,7003.0,62.0820956838455,#000000
2025-06-30 18:00:00+00:00,62.075,62.085,62.055,62.085,811.0,62.08222953400044,#000000
2025-06-30 18:05:00+00:00,62.085,62.145,62.085,62.14,6276.0,62.097409406788266,"rgba(38, 166, 154, 0.5)"
2025-06-30 18:10:00+00:00,62.135,62.165,62.135,62.15,10011.0,62.11450833670258,"rgba(38, 166, 154, 0.5)"
2025-06-30 18:15:00+00:00,62.145,62.175,62.145,62.16,2471.0,62.1176532331907,"rgba(38, 166, 154, 0.5)"
2025-06-30 18:20:00+00:00,62.165,62.165,62.15,62.155,395.0,62.11807264800433,"rgba(38, 166, 154, 0.5)"
2025-06-30 18:25:00+00:00,62.155,62.175,62.15,62.175,880.0,62.11921036443025,"rgba(38, 166, 154, 0.5)"
2025-06-30 18:30:00+00:00,62.175,62.185,62.155,62.165,2619.0,62.122368834803275,"rgba(38, 166, 154, 1.0)"
2025-06-30 18:35:00+00:00,62.165,62.17,62.155,62.165,798.0,62.123141935438404,"rgba(38, 166, 154, 1.0)"
2025-06-30 18:40:00+00:00,62.165,62.18,62.165,62.175,5993.0,62.12929832340995,"rgba(38, 166, 154, 1.0)"
2025-06-30 18:45:00+00:00,62.175,62.175,62.145,62.165,202.0,62.12942668168797,"rgba(38, 166, 154, 1.0)"
2025-06-30 18:50:00+00:00,62.165,62.165,62.145,62.15,838.0,62.129802829718244,"rgba(38, 166, 154, 0.75)"
2025-06-30 18:55:00+00:00,62.145,62.17,62.145,62.17,7223.0,62.133630070267806,"rgba(38, 166, 154, 0.75)"
2025-06-30 19:00:00+00:00,62.165,62.18,62.155,62.17,10555.0,62.13873547031795,"rgba(38, 166, 154, 0.75)"
2025-06-30 19:05:00+00:00,62.165,62.21,62.165,62.21,11241.0,62.14640706038546,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:10:00+00:00,62.205,62.255,62.205,62.245,15909.0,62.16072367623343,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:15:00+00:00,62.245,62.315,62.245,62.305,7212.0,62.16943476030841,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:20:00+00:00,62.305,62.305,62.275,62.29,3104.0,62.17286269879762,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:25:00+00:00,62.285,62.315,62.285,62.305,3268.0,62.17660437199072,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:30:00+00:00,62.3,62.325,62.3,62.315,11199.0,62.18894969130498,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:35:00+00:00,62.315,62.335,62.31,62.325,4719.0,62.19386114616068,"rgba(38, 166, 154, 1.0)"
2025-06-30 19:40:00+00:00,62.325,62.325,62.29,62.29,1978.0,62.1954793659366,"rgba(38, 166, 154, 0.75)"
2025-06-30 19:45:00+00:00,62.295,62.32,62.29,62.29,4398.0,62.198849303565375,"rgba(38, 166, 154, 0.75)"
2025-06-30 19:50:00+00:00,62.295,62.335,62.295,62.335,8341.0,62.20593601003295,"rgba(38, 166, 154, 0.75)"
2025-06-30 19:55:00+00:00,62.335,62.37,62.325,62.36,9316.0,62.214766456974054,"rgba(38, 166, 154, 0.75)"
2025-07-01 13:30:00+00:00,63.15,63.15,63.07,63.09,1299.0,62.22229758976952,"rgba(38, 166, 154, 1.0)"
2025-07-01 13:35:00+00:00,63.095,63.165,63.075,63.095,5212.0,62.25152421369412,"rgba(38, 166, 154, 1.0)"
2025-07-01 13:40:00+00:00,63.095,63.12,63.085,63.095,1668.0,62.26034686114065,"rgba(38, 166, 154, 1.0)"
2025-07-01 13:45:00+00:00,63.095,63.16,63.04,63.135,10061.0,62.31052979110009,"rgba(38, 166, 154, 1.0)"
2025-07-01 13:50:00+00:00,63.135,63.165,63.075,63.145,607.0,62.31342491719701,"rgba(38, 166, 154, 1.0)"
2025-07-01 13:55:00+00:00,63.145,63.2,63.135,63.18,700.0,62.31691473173814,"rgba(38, 166, 154, 1.0)"
2025-07-01 14:00:00+00:00,63.18,63.19,63.105,63.185,2799.0,62.330398027760445,"rgba(38, 166, 154, 1.0)"
2025-07-01 14:05:00+00:00,63.185,63.23,63.145,63.145,813.0,62.54405422925226,"rgba(38, 166, 154, 1.0)"
2025-07-01 14:10:00+00:00,63.145,63.17,63.115,63.13,1722.0,62.54395497734657,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:15:00+00:00,63.13,63.155,63.105,63.125,3875.0,62.55332673002867,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:20:00+00:00,63.125,63.175,63.115,63.145,74.0,62.5535903734733,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:25:00+00:00,63.15,63.2,63.15,63.18,577.0,62.55634475463787,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:30:00+00:00,63.18,63.195,63.165,63.165,59.0,62.55661440208421,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:35:00+00:00,63.165,63.175,63.14,63.17,516.0,62.5586659338861,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:40:00+00:00,63.175,63.175,63.075,63.095,1127.0,62.561250144116364,"rgba(38, 166, 154, 0.75)"
2025-07-01 14:45:00+00:00,63.095,63.1,63.06,63.085,8457.0,62.57774194713009,"rgba(38, 166, 154, 0.5)"
2025-07-01 14:50:00+00:00,63.085,63.095,63.03,63.035,614.0,62.57880368325533,"rgba(38, 166, 154, 0.5)"
2025-07-01 14:55:00+00:00,63.035,63.065,63.03,63.06,2202.0,62.58271830056909,"rgba(38, 166, 154, 0.5)"
2025-07-01 15:00:00+00:00,63.065,63.09,63.015,63.025,7614.0,62.59643818385641,"rgba(38, 166, 154, 0.5)"
2025-07-01 15:05:00+00:00,63.025,63.085,63.015,63.075,204.0,62.59685658845047,"rgba(38, 166, 154, 0.5)"
2025-07-01 15:10:00+00:00,63.075,63.085,63.01,63.015,794.0,62.598269378913585,"rgba(38, 166, 154, 0.5)"
2025-07-01 15:15:00+00:00,63.015,63.025,62.94,63.025,2247.0,62.60123354466293,"rgba(38, 166, 154, 0.5)"
2025-07-01 15:20:00+00:00,63.02,63.02,62.975,62.995,2265.0,62.60434017946209,#000000
2025-07-01 15:25:00+00:00,62.995,62.995,62.94,62.975,1626.0,62.60615500708073,#000000
2025-07-01 15:30:00+00:00,62.975,63.015,62.96,62.985,1186.0,62.60772531779439,#000000
2025-07-01 15:35:00+00:00,62.985,62.995,62.955,62.97,710.0,62.60857590738306,"rgba(239, 83, 80, 1.0)"
2025-07-01 15:40:00+00:00,62.975,63.0,62.975,62.995,307.0,62.60899897622965,"rgba(239, 83, 80, 1.0)"
2025-07-01 15:45:00+00:00,62.995,63.005,62.955,62.985,4218.0,62.61453968066187,"rgba(239, 83, 80, 1.0)"
2025-07-01 15:50:00+00:00,62.985,62.985,62.92,62.935,1264.0,62.61580940061004,"rgba(239, 83, 80, 1.0)"
2025-07-01 15:55:00+00:00,62.93,62.97,62.905,62.965,3178.0,62.68460746749243,"rgba(239, 83, 80, 1.0)"
2025-07-01 16:00:00+00:00,62.965,63.0,62.955,62.965,208.0,62.68514919182422,"rgba(239, 83, 80, 1.0)"
2025-07-01 16:05:00+00:00,62.965,62.985,62.955,62.975,318.0,62.68587402338461,"rgba(239, 83, 80, 1.0)"
2025-07-01 16:10:00+00:00,62.975,62.985,62.955,62.985,911.0,62.6877978622288,"rgba(239, 83, 80, 1.0)"
2025-07-01 16:15:00+00:00,62.985,63.005,62.975,62.99,694.0,62.68950280397166,#000000
2025-07-01 16:20:00+00:00,62.985,62.985,62.935,62.945,3220.0,62.692068657435414,"rgba(239, 83, 80, 0.75)"
2025-07-01 16:25:00+00:00,62.945,62.945,62.925,62.935,3.0,62.6920693832934,"rgba(239, 83, 80, 1.0)"
2025-07-01 16:30:00+00:00,62.935,63.0,62.92,63.0,309.0,62.69249578463494,"rgba(239, 83, 80, 0.75)"
2025-07-01 16:35:00+00:00,62.995,63.025,62.99,63.025,200.0,62.69299698253752,#000000
2025-07-01 16:40:00+00:00,63.025,63.03,63.0,63.02,719.0,62.74842636840467,"rgba(38, 166, 154, 0.5)"
2025-07-01 16:45:00+00:00,63.025,63.025,63.005,63.015,26.0,62.74846737949406,"rgba(38, 166, 154, 0.5)"
2025-07-01 16:50:00+00:00,63.015,63.02,62.975,62.975,398.0,62.7474680950937,#000000
2025-07-01 16:55:00+00:00,62.975,63.0,62.965,62.995,899.0,62.74707367190559,#000000
