date,Close,High,Low,Open,Volume,aVWAP_peak_163,aVWAP_peak_149,aVWAP_peak_135,aVWAP_peak_105,aVWAP_peak_83,aVWAP_peak_44,aVWAP_valley_171,Peaks_avg,Valleys_avg,color
2023-02-03 00:00:00+00:00,48.57,48.71,44.77,44.77,263538,,,,,,47.74261780638275,,47.74261780638275,,#000000
2023-02-10 00:00:00+00:00,47.27,49.77,46.56,48.71,311865,,,,,,47.752668620409345,,47.752668620409345,,#000000
2023-02-17 00:00:00+00:00,49.08,49.7,46.96,47.3,258502,,,,,,47.80473483443954,,47.80473483443954,,#000000
2023-02-24 00:00:00+00:00,47.4,49.43,47.02,48.51,269252,,,,,,47.813671165599885,,47.813671165599885,,#000000
2023-03-03 00:00:00+00:00,47.58,48.2,46.78,47.81,267368,,,,,,47.7967644750144,,47.7967644750144,,#000000
2023-03-10 00:00:00+00:00,45.53,48.29,45.42,47.69,301330,,,,,,47.71247255683216,,47.71247255683216,,#000000
2023-03-17 00:00:00+00:00,44.65,46.49,43.97,45.0,339979,,,,,,47.54035752056279,,47.54035752056279,,#000000
2023-03-24 00:00:00+00:00,46.14,47.22,44.6,44.85,300404,,,,,,47.456802001339334,,47.456802001339334,,#000000
2023-03-31 00:00:00+00:00,38.47,46.75,35.56,46.75,1254699,,,,,,46.13677345507661,,46.13677345507661,,#000000
2023-04-07 00:00:00+00:00,38.11,39.24,37.61,38.43,641961,,,,,,45.46614117580919,,45.46614117580919,,#000000
2023-04-14 00:00:00+00:00,39.37,40.4,37.92,37.92,476717,,,,,,45.092631772673236,,45.092631772673236,,#000000
2023-04-21 00:00:00+00:00,37.7,39.75,37.505,39.46,343541,,,,,,44.81233633894604,,44.81233633894604,,#000000
2023-04-28 00:00:00+00:00,36.72,37.8,35.6,37.58,447825,,,,,,44.39751988079998,,44.39751988079998,,#000000
2023-05-05 00:00:00+00:00,35.62,36.69,34.6,36.66,462942,,,,,,43.95732689797736,,43.95732689797736,,#000000
2023-05-12 00:00:00+00:00,35.72,35.89,34.86,35.68,333997,,,,,,43.66112058306123,,43.66112058306123,,#000000
2023-05-19 00:00:00+00:00,36.76,37.43,35.79,35.79,269726,,,,,,43.46876854019636,,43.46876854019636,,#000000
2023-05-26 00:00:00+00:00,37.27,38.32,36.62,36.77,280707,,,,,,43.30016057746251,,43.30016057746251,,#000000
2023-06-02 00:00:00+00:00,37.95,37.96,36.28,37.36,316754,,,,,,43.12061260650194,,43.12061260650194,,"rgba(239, 83, 80, 1.0)"
