date,Open,High,Low,Close,Volume,aVWAP_OB_bull_823,aVWAP_OB_bull_735,aVWAP_OB_bull_643,aVWAP_OB_bull_595,aVWAP_OB_bull_186,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-15 19:00:00+00:00,10.795,10.855,10.78,10.81,14043.0,,,,,9.994968292448103,10.33898709231012,"rgba(38, 166, 154, 0.75)",0.5782327300404727,10.33898709231012,0.8145732388011183,60.377853387399426,13.216605330378272,True,False,True,False,False,6.828063385151548,10.029,10.338049999999999,11.141458333333333,10.493541666666665,1,0.0,0.0,0.0,0.0,0,0.9703087885985751,0.9608076009501191,False,False,False,False,0.19280723091926147,0.18702538306628508,False,False,False,False,-133495.0,-110513.08487112734,False,False,False,False,10166.01390299422,False,False,False,False
2025-04-16 14:00:00+00:00,11.045,11.09,10.855,10.855,19125.0,,,,,10.00009786827799,10.360486597824462,"rgba(38, 166, 154, 1.0)",0.5786023311892424,10.360486597824462,0.8546688727629738,61.50348342180715,13.216605330378272,True,False,True,False,True,7.37154051418457,10.0437,10.341849999999999,11.27875,10.66625,1,0.0,0.0,0.0,0.0,0,0.9691975671963902,0.9511477339611539,False,False,False,False,0.23904704808137237,0.21303621557382874,False,False,False,False,-114370.0,-110572.88200490832,False,False,False,False,10304.912912250124,False,False,False,False
2025-04-16 15:00:00+00:00,10.855,11.095,10.845,11.065,16304.0,,,,,10.004743705150254,10.378154427107255,"rgba(38, 166, 154, 1.0)",0.5825515636613573,10.378154427107255,1.179029661470473,65.73367504673935,12.74009537863897,True,False,True,False,True,9.844996127213374,10.0637,10.346675,11.292916666666667,10.66625,1,0.0,0.0,0.0,0.0,0,0.9676539360872956,0.9534294621979738,False,False,False,False,0.23829374144098583,0.2256649785074073,False,False,False,False,-98066.0,-110378.97685754539,False,True,False,False,10397.92201438578,False,True,False,False
2025-04-16 16:00:00+00:00,11.065,11.105,10.955,11.02,7179.0,,,,,10.00682668462584,10.424912777726767,"rgba(38, 166, 154, 1.0)",0.585817223901609,10.424912777726767,1.0158240454418257,66.94811610293345,13.795435645056294,True,False,True,False,True,9.171851090367031,10.104199999999999,10.3519,11.363333333333335,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9689574385005859,0.9578289730573998,False,False,False,False,0.25644865239060416,0.24105681544900573,False,False,False,False,-105245.0,-110299.38031711834,False,False,False,False,10348.016246720883,False,False,False,False
2025-04-16 17:00:00+00:00,11.015,11.02,10.835,10.845,8510.0,,,,,10.008979566017567,10.425460070909807,"rgba(38, 166, 154, 0.75)",0.5926986837590394,10.425460070909807,0.7078469053269515,62.6420542986231,16.20105822407335,True,False,True,False,False,6.6027186046479045,10.1396,10.356125000000002,11.269166666666667,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9658603199375733,0.9611783066718691,False,False,False,False,0.2255273220039475,0.23329206872647662,False,False,False,False,-113755.0,-110352.95581607775,False,False,False,False,10319.51987080273,False,False,False,False
2025-04-16 18:00:00+00:00,10.845,10.955,10.845,10.875,4470.0,,,,,10.010095708406755,10.426942951348607,"rgba(38, 166, 154, 0.5)",0.5990675938339095,10.426942951348607,0.7479240293802567,60.398329485631834,14.299392754609968,False,False,True,False,False,6.965966388217179,10.1752,10.3609,11.254166666666666,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9625949736995911,0.9639586986167937,False,False,False,False,0.2173053005701123,0.22529868464829444,False,False,False,False,-109285.0,-110336.3983615649,False,False,False,False,10228.829640247648,False,False,False,False
2025-04-16 19:00:00+00:00,10.875,11.0,10.86,10.975,24614.0,,,,,10.016560301549655,10.442891513052581,"rgba(38, 166, 154, 0.5)",0.607780951235437,10.442891513052581,0.8754938532802006,60.857523284254924,14.299392754609968,False,False,True,False,False,8.173134879445396,10.2109,10.366175,11.296666666666667,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9670693686671866,0.9610288386593925,False,False,False,False,0.22627625156962275,0.2257874681089586,False,False,False,False,-84671.0,-109938.48520867243,False,False,False,False,10451.855537298072,False,False,False,False
2025-04-17 14:00:00+00:00,10.88,10.92,10.73,10.765,16974.0,,,,,10.020302084093478,10.468432352946586,"rgba(38, 166, 154, 0.5)",0.6126778248941975,10.468432352946586,0.48405154390013827,56.2396059504465,10.620490148384008,False,True,True,False,False,5.1265631680364585,10.2446,10.37025,11.201041666666665,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.961106811145511,0.9582043343653254,False,False,False,False,0.195024483619332,0.2104059758641453,False,False,False,False,-101645.0,-109809.90404264649,False,False,False,False,10552.97405609965,False,False,False,False
2025-04-17 15:00:00+00:00,10.775,10.895,10.75,10.785,9827.0,,,,,10.022465879520501,10.4707595696534,"rgba(38, 166, 154, 0.5)",0.6175181873529553,10.4707595696534,0.5088763971367701,53.602284805162896,8.309122453710202,False,True,True,False,False,5.374409133337526,10.2783,10.37425,11.198541666666666,10.696666666666667,1,0.0,0.0,0.0,0.0,1,0.9612343297974928,0.9598842815814853,False,False,False,False,0.19428519000150252,0.2023455829328239,False,False,False,False,-91818.0,-109530.95979392329,False,False,False,False,10541.718644377175,False,False,False,False
2025-04-17 16:00:00+00:00,10.785,10.88,10.77,10.865,4148.0,,,,,10.023408399584918,10.472357322246442,"rgba(38, 166, 154, 0.5)",0.6234748960029696,10.472357322246442,0.6297650158342356,53.58461302615319,8.309122453710202,False,True,True,False,False,6.368051256837752,10.3068,10.3795,11.210416666666665,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9632850241545895,0.962898550724638,False,False,False,False,0.195024483619332,0.19868503327607795,False,False,False,False,-87670.0,-109192.03018471519,False,False,False,False,10442.591223534118,False,False,False,False
