date,Close,High,Low,Open,Volume,aVWAP_peak_133,aVWAP_peak_113,aVWAP_peak_103,aVWAP_peak_83,aVWAP_peak_57,aVWAP_valley_171,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-27 00:00:00+00:00,1.2,1.245,1.08,1.11,11059133,,,,1.3999616332433007,1.3955566441756,,1.3977591387094503,,"rgba(239, 83, 80, 0.5)",0.0,0.969416126042632,0.9990732159406859,False,False,False,False,-0.26848679117619695,-0.2625739048235644,False,False,False,False,-196838957,-151715675.88559407,False,False,False,False,16007321.00932528,False,False,False,False
2023-11-03 00:00:00+00:00,1.13,1.26,1.04,1.2,25245320,,,,1.375781378327619,1.3842231696263252,,1.380002273976972,,"rgba(239, 83, 80, 0.5)",0.0,0.9583718778908417,1.0083256244218317,False,False,False,False,-0.287740737535677,-0.2751573211796207,False,False,False,False,-222084277,-156928164.85703155,False,False,False,False,16691617.23085674,False,False,False,False
2023-11-10 00:00:00+00:00,1.32,1.34,1.09,1.13,29189286,,,,1.3634245763818578,1.3775941224081754,,1.3705093493950167,,#000000,0.0,1.0028116213683225,0.978444236176195,False,False,False,False,-0.18953476246999718,-0.23234604182480895,False,False,False,False,-192894991,-159592374.20095515,False,False,False,False,17617370.473015502,False,False,False,False
2023-11-17 00:00:00+00:00,1.35,1.49,1.31,1.31,13583449,,,,1.3642949512829086,1.377723064258439,,1.3710090077706738,,#000000,0.0,1.033301617507136,0.9495718363463366,False,False,False,False,0.07685356926249222,-0.07774623628115837,False,False,False,False,-179311542,-161053053.2971807,False,False,False,False,17318561.475014355,False,False,False,False
2023-11-24 00:00:00+00:00,1.34,1.43,1.31,1.35,12878796,,,,1.3641240099348697,1.3773534133057488,,1.3707387116203091,,#000000,0.0,1.0000000000000002,0.9639810426540285,False,False,False,False,0.033904798830287367,-0.021920718725435502,False,False,False,False,-192190338,-163359518.8307229,False,False,False,False,16989689.958346624,False,False,False,False
2023-12-01 00:00:00+00:00,1.58,1.6,1.26,1.33,23599345,,,,1.3720005436616391,1.3811320340319195,,1.3765662888467793,,"rgba(38, 166, 154, 0.5)",0.0,0.9990783410138248,0.9419354838709677,False,False,False,False,0.12008736475882668,0.04908332301669559,False,False,False,False,-168590993,-163747035.43585452,False,False,False,False,17479294.035506133,False,False,False,False
2023-12-08 00:00:00+00:00,1.65,1.7,1.46,1.58,13079637,,,,1.3803992778687604,1.3855748629412412,,1.382987070405001,,"rgba(38, 166, 154, 1.0)",0.0,1.0118289353958143,0.9444949954504094,False,False,False,False,0.3428280951342291,0.19595570907546236,False,False,False,False,-155511356,-163136985.1072727,False,False,False,False,17153393.51435753,False,False,False,False
2023-12-15 00:00:00+00:00,1.66,1.81,1.57,1.67,21648841,,,,1.3973822994145084,1.3950064964131519,,1.3961943979138303,,"rgba(38, 166, 154, 1.0)",0.0,1.0484739676840216,0.9075403949730699,False,False,False,False,0.34282812560540193,0.26939191734043216,False,False,False,False,-133862515,-160968505.84006733,False,False,False,False,17486389.62440512,False,False,False,False
2023-12-22 00:00:00+00:00,1.83,1.95,1.61,1.68,14327022,,,1.7966666666666669,1.411819457861418,1.4033448694626451,,1.53727699799691,,"rgba(38, 166, 154, 1.0)",1.2763397720700027,1.0581597222222223,0.8793402777777779,False,False,False,False,0.34282813685071645,0.30611002709557433,False,False,False,False,-119535493,-157899393.7778401,False,False,False,False,17252362.392967705,False,False,False,False
2023-12-29 00:00:00+00:00,1.82,1.91,1.8,1.84,5331638,,,1.8093231637693854,1.4175486602821608,1.4067179469354312,,1.5445299236623258,,"rgba(38, 166, 154, 1.0)",1.1265152918187518,1.0833333333333333,0.8973684210526314,False,False,False,False,0.34282814935759487,0.3244690882265846,False,False,False,False,-124867131,-155452559.4980001,False,False,False,False,16369345.771266393,False,False,False,False
2024-01-05 00:00:00+00:00,1.7,1.88,1.605,1.83,9712012,,,1.782542223753001,1.4248875285948872,1.4111473738147098,,1.539525708720866,,"rgba(38, 166, 154, 0.5)",0.0,1.0293863439930855,0.9265341400172861,False,False,False,False,0.2285803219526325,0.2765247050896086,False,False,False,False,-134579143,-153906380.49814823,False,False,False,False,15876209.936357772,False,False,False,False
2024-01-12 00:00:00+00:00,1.67,1.81,1.61,1.74,9910026,,,1.7608769009145409,1.4312820900450514,1.4151042367551077,,1.5357544092382334,,"rgba(38, 166, 154, 0.5)",0.0,1.0051993067590987,0.9679376083188908,False,False,False,False,0.18246709449231452,0.22949589979096155,False,False,False,False,-144489169,-153208809.27606317,False,False,False,False,15434270.385516455,False,False,False,False
2024-01-19 00:00:00+00:00,1.66,1.69,1.4525,1.64,11138509,,,1.7255204004067999,1.4356503866944799,1.417952860887259,,1.5263745493295129,,"rgba(38, 166, 154, 0.5)",0.0,0.9718979680069173,0.9965412883700823,False,False,False,False,-0.05619314894843566,0.08665137542126294,False,False,False,False,-155627678,-153387984.73709553,False,False,False,False,15116065.838441163,False,False,False,False
2024-01-26 00:00:00+00:00,1.91,1.92,1.68,1.68,9626408,,,1.7433391754613,1.444385052691075,1.423430466586093,,1.537051564912823,,"rgba(0, 255, 255, 0.75)",2.4862377242817963,1.0340760157273918,0.9432066404543469,False,False,False,False,0.26091858843286536,0.17378498192706415,False,True,False,False,-146001270,-152840820.68249586,False,True,False,False,14709424.517075151,False,False,False,False
2024-02-02 00:00:00+00:00,1.69,1.94,1.66,1.94,7464030,,,1.745549778023076,1.4496821786636018,1.4268436089566658,,1.5406918552144482,,"rgba(38, 166, 154, 0.5)",0.0,0.993878443375601,0.970266724967206,False,False,False,False,0.2496483737965746,0.21171667786181936,False,False,False,False,-153465300,-152887078.4097184,False,False,False,False,14172728.626921438,False,False,False,False
2024-02-09 00:00:00+00:00,1.68,1.7,1.57,1.63,8620119,,,1.7347307446554894,1.453452066276417,1.4294018492161193,,1.5391948867160086,,"rgba(38, 166, 154, 0.5)",0.0,1.0071016422547712,0.9778073679538392,False,False,False,False,-0.18375890299896544,0.013978887431426959,False,False,False,False,-162085419,-153568436.9719615,False,False,False,False,13761424.210112443,False,False,False,False
2024-02-16 00:00:00+00:00,1.8,1.87,1.68,1.69,7940858,,,1.7393214833218829,1.4590736150734278,1.4331004974531494,,1.5438318652828198,,"rgba(38, 166, 154, 1.0)",0.8458164807126494,1.0404040404040402,0.9288537549407114,False,False,False,False,0.144926754053908,0.07945282074266749,False,False,False,False,-154144561,-153611112.8258903,False,False,False,False,13330271.157511521,False,False,False,False
