date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-05-31 00:00:00+00:00,4.54,4.6,4.43,4.54,1052446,8,0.41836831220199,3.34694649761592,5.0275552038866875
2024-06-03 00:00:00+00:00,4.51,4.58,4.4,4.47,708391,8,0.42824016940669274,3.425921355253542,5.022396434151772
2024-06-04 00:00:00+00:00,4.26,4.47,4.245,4.44,733478,8,0.43266972245182345,3.4613577796145876,5.015366213712295
2024-06-05 00:00:00+00:00,4.13,4.27,4.035,4.26,1686957,8,0.43242304478722926,3.459384358297834,4.995791688869454
2024-06-06 00:00:00+00:00,4.17,4.2,4.05,4.1,689358,8,0.43134065492723483,3.4507252394178787,4.988179358553423
2024-06-07 00:00:00+00:00,4.11,4.13,4.04,4.06,1199325,8,0.4298671383624114,3.4389371068992913,4.97470872354784
2024-06-10 00:00:00+00:00,4.1,4.105,4.0,4.07,871663,8,0.42706515166833126,3.41652121334665,4.965043550490755
2024-06-11 00:00:00+00:00,3.89,4.04,3.87,4.0,1310817,8,0.4189059953066142,3.3512479624529137,4.948831577890254
2024-06-12 00:00:00+00:00,4.09,4.17,3.97,3.97,1392931,8,0.41450415718224554,3.3160332574579643,4.934983105795282
2024-06-13 00:00:00+00:00,3.99,4.11,3.98,4.07,778482,8,0.4091198519223785,3.272958815379028,4.927054357216225
2024-06-14 00:00:00+00:00,3.79,3.99,3.75,3.96,1550173,8,0.4004217080309675,3.20337366424774,4.908460898562739
2024-06-17 00:00:00+00:00,3.8,3.85,3.655,3.75,1821120,7,0.4200777964169969,2.9405445749189782,4.886215567613372
2024-06-18 00:00:00+00:00,3.57,3.83,3.55,3.77,1341788,7,0.4081539341723051,2.8570775392061356,4.86882091105803
2024-06-20 00:00:00+00:00,3.59,3.71,3.523,3.55,1503102,7,0.3977156610394813,2.7840096272763692,4.849453582370757
2024-06-21 00:00:00+00:00,3.48,3.59,3.43,3.58,2131974,7,0.38642377848965115,2.704966449427558,4.820930072025437
2024-06-24 00:00:00+00:00,3.33,3.5,3.315,3.47,1548097,5,0.44357521471628747,2.2178760735814373,4.799334831445856
2024-06-25 00:00:00+00:00,3.37,3.435,3.2,3.35,2074819,5,0.4314409127695624,2.157204563847812,4.770771265026065
2024-06-26 00:00:00+00:00,3.31,3.47,3.27,3.37,997289,5,0.4199619407486246,2.099809703743123,4.757724870426803
2024-06-27 00:00:00+00:00,3.3,3.35,3.2201,3.3,1681442,4,0.46341605255502927,1.853664210220117,4.7354560359589986
2024-06-28 00:00:00+00:00,3.2,3.34,3.175,3.34,1226313,4,0.45339633127745593,1.8135853251098237,4.719163597930641
2024-07-01 00:00:00+00:00,3.2,3.26,3.172,3.2,599937,4,0.44186057981194715,1.7674423192477886,4.711204247588605
2024-07-02 00:00:00+00:00,3.11,3.19,3.0101,3.18,1936141,4,0.42985523350376686,1.7194209340150675,4.6843147984836815
2024-07-03 00:00:00+00:00,3.23,3.27,3.11,3.11,949204,4,0.4210418827595275,1.68416753103811,4.672432095165499
2024-07-05 00:00:00+00:00,3.15,3.245,3.115,3.2,937644,4,0.41161709799756263,1.6464683919902505,4.660649002253408
2024-07-08 00:00:00+00:00,3.07,3.16,3.03,3.14,760442,4,0.40135339878009213,1.6054135951203685,4.6506933702715925
2024-07-09 00:00:00+00:00,2.92,3.07,2.905,3.07,1383504,4,0.39084021969457183,1.5633608787782873,4.631491539367433
2024-07-10 00:00:00+00:00,3.01,3.09,2.9001,2.92,1326484,4,0.38164604232192256,1.5265841692876903,4.489853946658724
2024-07-11 00:00:00+00:00,3.25,3.255,3.03,3.03,1284273,4,0.37553847629401343,1.5021539051760537,4.483212386883062
2024-07-12 00:00:00+00:00,3.24,3.29,3.16,3.28,1185287,4,0.36961501404064756,1.4784600561625902,4.475053158727426
2024-07-15 00:00:00+00:00,3.15,3.24,3.1301,3.24,1438737,4,0.3639435649287739,1.4557742597150956,4.461591991255126
2024-07-16 00:00:00+00:00,3.45,3.48,3.125,3.19,1896897,4,0.3608257997528313,1.4433031990113252,4.371651827256927
2024-07-17 00:00:00+00:00,3.31,3.44,3.1812,3.39,1705058,4,0.3570807530946677,1.4283230123786708,4.358590336651329
2024-07-18 00:00:00+00:00,3.15,3.3122,3.11,3.31,1011614,4,0.35203919655895555,1.4081567862358222,4.34768057783922
2024-07-19 00:00:00+00:00,3.14,3.17,3.05,3.11,901653,4,0.3471456463188127,1.3885825852752507,4.337119163761729
2024-07-22 00:00:00+00:00,3.1,3.16,3.02,3.15,1234031,4,0.3419924594728483,1.3679698378913931,4.323157001578122
2024-07-23 00:00:00+00:00,3.04,3.07,2.955,3.03,1210864,4,0.33643493051632684,1.3457397220653073,4.308709899951865
2024-07-24 00:00:00+00:00,2.98,3.11,2.96,3.01,1210094,4,0.33114518670110715,1.3245807468044286,4.295195923607824
2024-07-25 00:00:00+00:00,3.01,3.09,2.89,2.95,1235021,4,0.32659928265605065,1.3063971306242026,4.28177005370491
