date,Open,High,Low,Close,Volume,aVWAP_OB_bull_798,aVWAP_OB_bull_406,aVWAP_OB_bull_366,aVWAP_OB_bull_164,aVWAP_OB_bull_143,aVWAP_OB_bear_624,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-11 19:00:00+00:00,20.255,20.385,20.22,20.38,9444.0,,,,,,,0.0,0.0,0.0,0.0,19.778815787449606,#000000,,19.778815787449606,,68.33119587344643,8.426703442116853,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,10228.0,2335.0596023964285,False,False,False,False,11140.980541186873,False,False,False,False
2024-12-11 20:00:00+00:00,20.375,20.445,20.34,20.385,24839.0,,,,,,,0.0,0.0,0.0,0.0,19.97581881864314,#000000,,19.97581881864314,,69.57486744171706,10.281568561006914,True,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,35067.0,2842.5315465453214,False,False,False,False,11353.352935897154,False,False,False,False
2024-12-12 15:00:00+00:00,20.09,20.16,19.715,19.765,11414.0,,,,,,,0.0,0.0,0.0,0.0,19.936928988406304,#000000,,19.936928988406304,,63.234992847221505,10.281568561006914,True,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,23653.0,3165.1744683043084,False,False,False,False,11354.293200456888,False,False,False,False
2024-12-12 16:00:00+00:00,19.76,19.855,19.755,19.825,5683.0,,,,,,,0.0,0.0,0.0,0.0,19.922297630143238,#000000,,19.922297630143238,,59.243605234828316,18.35426543550014,True,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,29336.0,3570.9237013538536,False,False,False,False,11266.366174093215,False,False,False,False
2024-12-12 17:00:00+00:00,19.825,19.885,19.775,19.85,3778.0,,,,,,,0.0,0.0,0.0,0.0,19.91530223741242,#000000,,19.91530223741242,,56.6261626627434,15.682164734629907,True,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,33114.0,4028.955892030538,False,False,False,False,11150.267473719676,False,False,False,False
2024-12-12 18:00:00+00:00,19.845,19.875,19.775,19.78,6792.0,,,,,,,0.0,0.0,0.0,0.0,19.903904125736304,#000000,,19.903904125736304,,54.08005071657725,13.058716136990952,True,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,26322.0,4374.584482851769,False,False,False,False,11082.697435367432,False,False,False,False
2024-12-12 19:00:00+00:00,19.78,19.825,19.675,19.69,4362.0,,,,,,,0.0,0.0,0.0,0.0,19.895522164402507,#000000,,19.895522164402507,,51.40698465136668,10.305292196458097,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,21960.0,4647.226583892827,False,False,False,False,10978.50057590437,False,False,False,False
2024-12-12 20:00:00+00:00,19.685,19.7,19.565,19.565,12043.0,,,,,,,0.0,0.0,0.0,0.0,19.86840818979196,#000000,,19.86840818979196,,48.38102547134365,7.228516991766199,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,9917.0,4728.928497320845,False,False,False,False,10995.004442944613,False,False,False,False
2024-12-13 15:00:00+00:00,19.29,19.295,19.065,19.125,8243.0,,,,,,,0.0,0.0,0.0,0.0,19.83285035925938,#000000,,19.83285035925938,,43.271397059504615,2.2636383882152984,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,1674.0,4681.565264804242,False,False,False,False,10952.337707395083,False,False,False,False
2024-12-13 16:00:00+00:00,19.125,19.15,19.035,19.045,5082.0,,,,,,,0.0,0.0,0.0,0.0,19.811150807186973,#000000,,19.811150807186973,,39.20229057581676,-1.61563966965155,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-3408.0,4556.145648295649,False,False,False,False,10861.324719683531,False,False,False,False
