date,Open,High,Low,Close,Volume,aVWAP_peak_885,aVWAP_peak_861,aVWAP_peak_860,aVWAP_peak_827,aVWAP_peak_804,aVWAP_peak_786,aVWAP_peak_732,aVWAP_peak_708,aVWAP_peak_683,aVWAP_peak_671,aVWAP_peak_624,aVWAP_peak_599,aVWAP_peak_563,aVWAP_peak_533,aVWAP_peak_523,aVWAP_peak_509,aVWAP_peak_508,aVWAP_peak_445,aVWAP_peak_425,aVWAP_peak_391,aVWAP_peak_373,aVWAP_peak_347,aVWAP_peak_294,aVWAP_peak_276,aVWAP_peak_234,aVWAP_peak_204,aVWAP_peak_173,aVWAP_peak_133,aVWAP_peak_132,aVWAP_peak_80,aVWAP_peak_49,aVWAP_valley_839,aVWAP_valley_808,aVWAP_valley_792,aVWAP_valley_720,aVWAP_valley_676,aVWAP_valley_647,aVWAP_valley_646,aVWAP_valley_611,aVWAP_valley_571,aVWAP_valley_540,aVWAP_valley_495,aVWAP_valley_492,aVWAP_valley_480,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2025-03-28 16:00:00+00:00,7.95,8.0,7.89,7.97,2315.0,,,,,,,,,,,,,,,,,,7.950800260573262,7.713226640849966,8.590281629148468,8.635264798019266,9.035854516440784,9.389201924982823,9.573447765562277,9.73915391620758,9.932641374079855,9.98885156450592,10.106647700298316,10.10871352685602,10.996614329760199,11.332630027769191,,,,,,,,,,,,,,9.506666426789566,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-28 17:00:00+00:00,7.97,8.0,7.8,7.86,1877.0,,,,,,,,,,,,,,,,,,7.927663847780127,7.722410688257587,8.580557265435555,8.626149174365093,9.026239617785935,9.380737001130557,9.5650148933979,9.732096771792952,9.925811172451734,9.982418347061266,10.100758182664514,10.102822700054004,10.989754830936326,11.325357880487626,,,,,,,,,,,,,,9.499128026685797,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-28 18:00:00+00:00,7.86,7.87,7.81,7.84,1966.0,,,,,,,,,,,,,,,,,,7.90362323894546,7.7285898395388415,8.569990008080634,8.61624866013281,9.015934427122913,9.371698613896053,9.556029012502696,9.72457696130456,9.918543228562955,9.975573070551512,10.094493505553853,10.096556726795209,10.982494889347686,11.317670830168813,,,,,,,,,,,,,,9.49085878660743,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-28 19:00:00+00:00,7.84,7.89,7.67,7.795,7082.0,,,,,,,,,,,,,,,,,,7.8446737071082735,7.737568303554707,8.531612959639194,8.58017518219847,8.978582879872025,9.33886282038545,9.523408406026277,9.697200992379445,9.892095209755528,9.950647398655091,10.071668015704667,10.073726807528699,10.956165084761661,11.289825577448097,,,,,,,,,,,,,,9.461872381786971,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 14:00:00+00:00,7.66,7.66,7.32,7.36,949.0,,,,,,,,,,,,,,,,,,7.8198244517543865,7.731493449813691,8.524551570890688,8.573621672830063,8.972379096095821,9.333630108178625,9.518295255934948,9.692952471225727,9.888039786875993,9.946835259767866,10.068196106250936,10.070254599518115,10.95229683805117,11.285770602723794,,,,,,,,,,,,,,9.455581519279416,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 15:00:00+00:00,7.36,7.5,7.36,7.43,934.0,,,,,,,,,,,,,,,,,,7.797257448039337,7.725421715756034,8.51758489331689,8.567151022262605,8.966256072732524,9.328463048155438,9.513247161019766,9.688755827575253,9.884034418327131,9.94306975727199,10.064766362815147,10.066824571872083,10.948479990068707,11.281770778494266,,,,,,,,,,,,,,9.449505933407654,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 16:00:00+00:00,7.43,7.465,7.22,7.275,1002.0,,,,,,,,,,,,,,,,,,7.769350587457206,7.7168477909103705,8.509462925987345,8.55962652865839,8.959274595280919,9.322631513876537,9.507574076894551,9.684052506529381,9.879559967606259,9.938866341692774,10.06094361625976,10.063001620954909,10.944266714102286,11.277366681680936,,,,,,,,,,,,,,9.442344676277973,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 17:00:00+00:00,7.275,7.35,7.17,7.22,1413.0,,,,,,,,,,,,,,,,,,7.729534296547883,7.70323178188128,8.497500234650508,8.548549973132722,8.949093538588398,9.314166281884052,9.499357184132736,9.677246870399463,9.873096640363586,9.932796268992522,10.05542717150951,10.057484976273953,10.938221955093903,11.271057948603758,,,,,,,,,,,,,,9.431911794432448,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 18:00:00+00:00,7.18,7.365,7.18,7.28,743.0,,,,,,,,,,,,,,,,,,7.712028647453177,7.696808650947459,8.49144078425094,8.542925347583408,8.943876719050792,9.309803254439293,9.49511443986634,9.673725014700137,9.869747259001182,9.92964895280323,10.052564291069446,10.054621964763985,10.935075686641696,11.26777183312672,,,,,,,,,,,,,,9.426796631835558,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-03-31 19:00:00+00:00,7.24,7.47,7.24,7.35,3469.0,,,,,,,,,,,,,,,,,,7.657359957822593,7.674329339999371,8.465698496011825,8.5188912961604,8.921067314317208,9.290452092979939,9.476209190406887,9.657950060131917,9.854691568502325,9.915483230993734,10.039650183200706,10.041706936100445,10.920770144612833,11.252800111136946,,,,,,,,,,,,,,9.406218565884078,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 14:00:00+00:00,7.145,7.17,7.02,7.105,1365.0,,,,,,,,,,,,,,,,,,7.6257313686479336,7.659868524308748,8.453636238299891,8.507687186657959,8.910839653601352,9.281953650503327,9.467978826090967,9.651121173682125,9.848217737055675,9.909401330020406,10.034123332897417,10.036180032813528,10.914772280171753,11.246557118700403,,,,,,,,,,,,,,9.396290603817963,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 15:00:00+00:00,7.105,7.475,7.105,7.38,1481.0,,,,,,,,,,,,,,,,,,7.608049166243608,7.650856236534111,8.442888841945344,8.497609931556552,8.901213210158012,9.273735700777399,9.459942558208079,9.644392849788122,9.841791491606251,9.903350219539083,10.028601244282768,10.030657560618897,10.908662699847177,11.240165595959692,,,,,,,,,,,,,,9.387994093361792,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 16:00:00+00:00,7.36,7.36,7.12,7.245,2001.0,,,,,,,,,,,,,,,,,,7.5814941321356155,7.636703081426167,8.42769676035656,8.483375115879063,8.887755082466384,9.262300222644079,9.448785692801245,9.635059274904842,9.832892513616244,9.894972706905564,10.020961120693634,10.02301704412177,10.90026140299856,11.23139099574922,,,,,,,,,,,,,,9.376190367621353,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 17:00:00+00:00,7.28,7.28,6.94,6.98,5052.0,,,,,,,,,,,,,,,,,,7.501858236374773,7.590921827970663,8.385582678483567,8.44396337758786,8.851217452544818,9.231541736105916,9.418916306571726,9.610114316070893,9.809194430360284,9.872674812670521,10.000654011711154,10.002709645986016,10.878214200878517,11.208443604889569,,,,,,,,,,,,,,9.343286188443304,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 18:00:00+00:00,6.98,6.995,6.78,6.89,1420.0,,,,,,,,,,,,,,,,,,7.476294698748045,7.575411665941172,8.372672926951205,8.43189375354012,8.840210002672254,9.222351338362149,9.410028788864352,9.602704360674302,9.802177987658643,9.86607624534496,9.994652434605445,9.9967081880154,10.871775018146659,11.201763322690557,,,,,,,,,,,,,,9.333194338015376,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-01 19:00:00+00:00,6.91,6.93,6.83,6.84,2701.0,,,,,,,,,,,,,,,,,,7.431526875288873,7.546850379211736,8.348372055280088,8.409130277152588,8.81938106960508,9.20490722818677,9.393151108206563,9.588608955273223,9.788825991164698,9.853514485899673,9.983221229259406,9.985277218534751,10.859517848840524,11.18904998756797,,,,,,,,,,,,,,9.31438105067657,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-02 14:00:00+00:00,6.865,6.865,6.76,6.785,367.0,,,,,,,,,,,,,,,,,,7.425320699185241,7.54280137108262,8.344991992385815,8.405963365199803,8.816494112719981,9.202493255549625,9.390818059309119,9.586660630942804,9.786982030650888,9.851779744498494,9.981643018683533,9.983699056793316,10.857831860595407,11.18730308075457,,,,,,,,,,,,,,9.311770162739373,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-02 15:00:00+00:00,6.825,7.11,6.82,6.99,3425.0,,,,,,,,,,,,,,,,,,7.387165849210067,7.515259565735157,8.317547921705167,8.38007209669646,8.792187089288644,9.18177671804056,9.370663330217585,9.569711185889483,9.770856876643316,9.836582572602168,9.967773439568242,9.969829352209205,10.8428217152304,11.171696646089254,,,,,,,,,,,,,,9.290996025651838,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
2025-04-02 16:00:00+00:00,6.99,7.05,6.98,7.0,1324.0,,,,,,,,,,,,,,,,,,7.375246915053585,7.505986563350475,8.307512366719614,8.37056678089968,8.783147662902175,9.17400242161083,9.363079697837307,9.563309526642904,9.7647538648448,9.830825413332267,9.96251133198783,9.964567129533274,10.837104984688636,11.16574703198811,,,,,,,,,,,,,,9.283454406527964,,"rgba(255, 26, 202, 1.0)",0.0,0.0,0.0,0.0
