date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_780,Gap_Up_aVWAP_702,Gap_Up_aVWAP_648,Gap_Up_aVWAP_600,Gap_Up_aVWAP_588,Gap_Up_aVWAP_564,Gap_Up_aVWAP_516,Gap_Up_aVWAP_504,Gap_Down_aVWAP_859,Gap_Down_aVWAP_822,Gap_Down_aVWAP_810,Gap_Down_aVWAP_798,Gap_Down_aVWAP_744,Gap_Down_aVWAP_690,Gap_Down_aVWAP_630,Gap_Down_aVWAP_444,Gap_Down_aVWAP_330,Gap_Down_aVWAP_255,aVWAP_OB_bull_557,aVWAP_OB_bull_487,aVWAP_OB_bear_773,aVWAP_OB_bear_413,aVWAP_OB_bear_217,aVWAP_OB_bear_130,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-07-16 14:00:00+00:00,3.3,3.305,3.265,3.305,639.0,,,,,,,,,,,,,,,,,,3.4503335140495253,3.496016032461301,3.544210174328321,,,,3.515042411136837,3.580439252574553,3.6631202761308366,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.10789413396542233,3.506111382681803,-1.8639695717494194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02667799824652,-19.726965968406148,True,False,False,True,True,0.0,0,0.9570909090909092,1.0043636363636363,False,False,False,False,-0.31865413839364126,-0.3197305059451868,False,False,False,False,-82836.0,-69279.09914757135,False,False,False,False,1607.9417779551404,False,False,False,False
2025-07-16 15:00:00+00:00,3.305,3.305,3.245,3.28,369.0,,,,,,,,,,,,,,,,,,3.449447225871885,3.495699881908884,3.543916621568849,,3.2766666666666664,,3.5144036960389213,3.580133583848499,3.662790548992678,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.110834955620471,3.492649266075291,-1.9186119116017861,1.0,3.305,3.245,0.0,0.0,0.0,0.0,0.0,34.706740693806054,-19.726965968406148,True,False,False,True,True,0.0,0,0.9621818181818184,0.9912727272727272,True,False,False,False,-0.33796329268235464,-0.32884689931377076,False,False,False,False,-83205.0,-69495.00458714389,False,False,False,False,1588.7333782969213,False,False,False,False
2025-07-16 16:00:00+00:00,3.28,3.305,3.27,3.305,2.0,,,,,,,,,,,,,,,,,,3.4494429077867057,3.495698301037553,3.543915131367675,,3.276756513926325,,3.514400485536765,3.58013201968115,3.6627888404607494,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11103627359587723,3.4926516711220628,-1.6900033209420502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5274031809801,-16.960406735907185,True,False,False,True,True,0.0,0,0.9678597516435357,0.9897735573411248,False,False,False,False,-0.3138630587896487,-0.32135497905170973,False,False,False,False,-83203.0,-69707.53164780833,False,False,False,False,1564.1328608039457,False,False,False,False
2025-07-16 17:00:00+00:00,3.305,3.32,3.3,3.3,608.0,,,,,,,,,,,,,,,,,,3.4482523714827766,3.4952504477964776,3.5434869918120047,,3.2953319713993863,,3.513487402855594,3.5796793721749287,3.6622888963802245,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11241841886855283,3.492990921216613,-1.7167197613966725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.97436103062289,-15.45160029863002,True,False,False,True,True,0.0,0,0.9769516728624537,0.9933085501858737,False,False,False,False,-0.2713369577363957,-0.2963459683940527,False,False,False,False,-83811.0,-69926.19007187331,False,False,False,False,1549.3090955201635,False,False,False,False
2025-07-16 18:00:00+00:00,3.3,3.32,3.3,3.305,1075.0,,,,,,,,,,,,,,,,,,3.446219489120151,3.4944707258771763,3.542739071947675,,3.302136481661797,,3.511905332376853,3.5788875693547166,3.661412502380032,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11294872471355735,3.492310116030884,-1.6583641515732903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.574176680239304,-13.795144664719118,True,False,False,True,True,0.0,0,0.9701492537313434,0.985820895522388,False,False,False,False,-0.2713369577363957,-0.2838414630652242,False,False,False,False,-82736.0,-70124.79177618536,False,False,False,False,1541.955466132254,False,False,False,False
2025-07-16 19:00:00+00:00,3.305,3.36,3.305,3.36,1222.0,,,,,,,,,,,,,,,,,,3.444520776826393,3.493749562291123,3.542014717399785,,3.3168818681318673,,3.5104259646428013,3.578103289522336,3.660515078435427,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11191989574274833,3.492113831288357,-1.1804320439327902,0.0,0.0,0.0,0.0,1.0,3.42,3.32,0.0,47.049375506711534,-7.756443277147312,True,False,False,False,True,0.0,0,0.9717261904761907,0.9776785714285715,False,False,False,False,-0.22974830353846257,-0.25679488330184336,False,False,False,False,-81514.0,-70301.3686478724,False,False,False,False,1536.9949162697385,False,False,False,False
2025-07-17 14:00:00+00:00,3.42,3.485,3.42,3.475,406.0,,,,,,,,,,,,,,,,,,3.4446038861999346,3.4936967248936366,3.5419166723102453,,3.332662954915806,,3.5102807953030606,3.5779737035075208,3.660328272861615,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.11102787573034892,3.49284194633947,-0.16069789881238905,0.0,0.0,0.0,0.0,1.0,3.46,3.36,0.0,56.75748864720186,0.8937329397520699,True,False,True,False,True,1.2152845799367498,0,0.9779086892488956,0.9734904270986747,False,False,False,False,-0.017370250129576832,-0.1370825667157101,False,False,False,False,-81108.0,-70468.9133199984,False,False,False,False,1519.4601113663316,False,False,False,False
2025-07-17 15:00:00+00:00,3.475,3.51,3.46,3.51,329.0,,,,,,,,,,,,,,,,,,3.4448149806224517,3.49369626445967,3.5418696535940786,,3.3458418515748356,,3.51024135109451,3.5778985139403043,3.660202296742143,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.11001465913790695,3.4935076472603073,0.1499105016452291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19539100174077,7.145315656036878,True,False,True,False,True,3.2289179364199327,0,0.9889298892988929,0.9660516605166053,False,False,False,False,0.039098761664168466,-0.04899190252577081,False,False,False,False,-80779.0,-70628.7596251147,False,False,False,False,1501.0033654536753,False,False,False,False
2025-07-17 16:00:00+00:00,3.51,3.52,3.49,3.51,884.0,,,,,,,,,,,,,,,,,,3.4455266320452247,3.493740271919287,3.5417783492551558,,3.3748855975485186,,3.5102191351298146,3.577728894659387,3.6598917184771946,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.10993884458895399,3.49503710141519,0.13610201781503167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.15399257143338,11.130815514105748,True,False,True,False,True,3.2289179364199327,0,0.9925484351713861,0.9783904619970194,False,False,False,False,0.07395019108107309,0.01247914427765114,False,False,False,False,-80779.0,-70786.12769294238,False,False,False,False,1491.4374218032308,False,False,False,False
2025-07-17 17:00:00+00:00,3.51,3.51,3.49,3.495,609.0,,,,,,,,,,,,,,,,,,3.445941912017906,3.4937509828248174,3.541700859982642,,3.388544694767442,,3.5101684634231707,3.5775988626115836,3.659666889844569,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.10992577348229261,3.4957466382286455,-0.006792203547839254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.82874971085037,12.336238926434959,True,False,True,False,True,2.2876887756714765,0,0.9880686055182702,0.9828486204325132,False,False,False,False,0.06522380836531755,0.03885147632148434,False,False,False,False,-81388.0,-70950.49780623008,False,False,False,False,1477.7562214651962,False,False,False,False
