date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_858,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_792,Gap_Up_aVWAP_768,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_708,Gap_Up_aVWAP_666,Gap_Up_aVWAP_618,Gap_Down_aVWAP_804,Gap_Down_aVWAP_786,Gap_Down_aVWAP_762,Gap_Down_aVWAP_744,Gap_Down_aVWAP_732,Gap_Down_aVWAP_720,Gap_Down_aVWAP_612,Gap_Down_aVWAP_600,Gap_Down_aVWAP_546,Gap_Down_aVWAP_528,aVWAP_OB_bull_744,aVWAP_OB_bull_510,aVWAP_OB_bull_438,aVWAP_OB_bear_264,aVWAP_OB_bear_125,aVWAP_OB_bear_0,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-23 15:00:00+00:00,1.585,1.61,1.585,1.595,179887.0,,,,,,,,,,,,,,,,,,,,,,1.604494299149627,1.6913564957696299,1.7489631016783191,1.8699723856676556,1.9499817296463176,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11229477778207067,1.6651926957010392,-0.6250753337547139,0.0,0.0,0.0,0.0,33.92783842975305,-13.461440618619797,False,True,False,True,True,0.0,0,0.9922779922779922,0.9446589446589445,False,False,False,False,-0.14915033026765975,-0.14247196252637045,False,False,False,False,-3664058.0,-3045230.947556347,False,False,False,False,147623.05171253264,False,False,False,False
2025-05-23 16:00:00+00:00,1.595,1.605,1.59,1.605,143775.0,,,,,,,,,,,,,,,,,,,,,,1.6038383264656824,1.690428188104643,1.7483573766123663,1.8692193001394983,1.9491346586003484,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.11116804097104904,1.6642357303860102,-0.5328485585298453,0.0,0.0,0.0,0.0,36.34007743202691,-13.461440618619797,False,True,False,True,True,0.0,0,0.9883419689119171,0.954663212435233,False,False,False,False,-0.14915033026765975,-0.1458111463970151,False,False,False,False,-3520283.0,-3052596.0956562487,False,False,False,False,147563.39199605928,False,False,False,False
2025-05-23 17:00:00+00:00,1.605,1.625,1.595,1.615,156361.0,,,,,,,,,,,,,,,,,,,,,,1.604910721847346,1.6895673159820928,1.7477555594300542,1.8684403305583512,1.9482487060460185,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.10883212959618092,1.6635445949185825,-0.4460502160410361,0.0,0.0,0.0,0.0,39.80346040090069,-15.28790509864789,True,False,False,True,True,0.0,0,0.9896238651102465,0.9494163424124512,False,False,False,False,-0.13095983334770642,-0.13838548987236077,False,False,False,False,-3363922.0,-3057422.8538631285,False,False,False,False,147699.78901937619,False,False,False,False
2025-05-23 18:00:00+00:00,1.615,1.625,1.61,1.625,135202.0,,,,,,,,,,,,,,,,,,,,,,1.6065087752829876,1.6889159887808076,1.7472710414938668,1.8677922977652508,1.9475052576471568,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.10646709934646813,1.6631328952304152,-0.358166001182413,0.0,0.0,0.0,0.0,43.82031148586931,-11.526792669102093,True,False,False,True,True,0.0,0,0.9948051948051946,0.944155844155844,False,False,False,False,-0.12008750952932404,-0.1292364997008424,False,False,False,False,-3228720.0,-3060078.6235706764,False,False,False,False,147506.02484853315,False,False,False,False
2025-05-23 19:00:00+00:00,1.625,1.645,1.625,1.64,352460.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.10391927740426059,1.6618540767502759,-0.21029858267066778,0.0,0.0,0.0,0.0,48.739355693744606,-7.049441455286086,True,False,False,False,True,0.0,0,0.9961139896373056,0.9391191709844559,False,False,False,False,-0.09482377718706843,-0.1120301384439554,False,False,False,False,-2876260.0,-3057228.7224300457,False,False,False,False,150683.6058586334,False,False,False,False
2025-05-26 14:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.10097689504703916,1.6618540767502759,-0.21642650766886257,0.0,0.0,0.0,0.0,52.0187184989948,-4.149146560797625,True,False,True,False,True,0.0,0,1.0026041666666665,0.9401041666666667,False,False,False,False,-0.08762906798237316,-0.09982960321316428,False,False,False,False,-2876260.0,-3054423.0058032232,False,False,False,False,148347.42592284063,False,False,False,False
2025-05-26 15:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09846332833615994,1.6618540767502759,-0.22195143226993885,0.0,0.0,0.0,0.0,54.2049603691616,-2.177417738143319,True,False,True,False,True,0.0,0,1.0052287581699346,0.9359477124183007,False,False,False,False,-0.08762906798237316,-0.09372933559776872,False,False,False,False,-2876260.0,-3051660.788658987,False,False,False,False,146047.46583101363,False,False,False,False
2025-05-26 16:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09597803802845303,1.6618540767502759,-0.22769872357462895,0.0,0.0,0.0,0.0,55.6624549492728,-0.7476658421590372,True,False,True,False,True,0.0,0,1.0039577836411608,0.941952506596306,False,False,False,False,-0.08762906798237316,-0.09067920179007094,False,False,False,False,-2876260.0,-3048941.3965867544,False,False,False,False,143783.16403518396,False,False,False,False
2025-05-26 17:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09491579957528877,1.6618540767502759,-0.23024698572908234,0.0,0.0,0.0,0.0,56.63411800268027,0.36548041972373113,True,False,True,False,True,0.0,0,0.9999999999999998,0.9416445623342173,False,False,False,False,-0.08762906798237316,-0.08915413488622205,False,False,False,False,-2876260.0,-3046264.1656319206,False,False,False,False,141553.9676935532,False,False,False,False
2025-05-26 18:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09433298315922742,1.6618540767502759,-0.23166951810892922,0.0,0.0,0.0,0.0,57.28189337161858,1.2897730085106645,True,False,True,False,True,0.0,0,0.9973368841544604,0.9427430093209053,False,False,False,False,-0.08762906798237316,-0.08839160143429761,False,False,False,False,-2876260.0,-3043628.4421337508,False,False,False,False,139359.3325355136,False,False,False,False
2025-05-26 19:00:00+00:00,1.64,1.64,1.64,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,1.613033609236156,1.6876711054208056,1.7461882212385522,1.8662312846265519,1.9456807202910622,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09388151436116754,1.6618540767502759,-0.23278359854957253,0.0,0.0,0.0,0.0,57.71374361757745,2.0950940651010797,True,False,True,False,True,0.0,0,1.0026917900403765,0.943472409152086,False,False,False,False,-0.08762906798237316,-0.08801033470833539,False,False,False,False,-2876260.0,-3041033.5825657854,False,False,False,False,137198.72272876144,False,False,False,False
2025-05-27 14:00:00+00:00,1.63,1.635,1.615,1.615,47239.0,,,,,,,,,,,,,,,,,,,,1.6216666666666666,,1.613276891077552,1.687461004777333,1.7460250476053516,1.8660101025233287,1.945426019080388,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.093424971101053,1.661630802412245,-0.49912568195292134,0.0,0.0,0.0,0.0,51.23096381812822,7.034124049646266,True,False,False,False,False,0.0,0,0.9973154362416106,0.9369127516778522,False,False,False,False,-0.10924336835817756,-0.09862685153325648,False,False,False,False,-2923499.0,-3039211.3409756185,False,False,False,False,135803.9983453698,False,False,False,False
2025-05-27 15:00:00+00:00,1.615,1.63,1.615,1.62,91234.0,,,,,,,,,,,,,,,,,,,,1.6216666666666668,,1.613709938640079,1.6870589945897747,1.7457111132853471,1.8655840578457068,1.9449352392929922,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.0929892466901811,1.6612510152248106,-0.4436105968494335,0.0,0.0,0.0,0.0,48.398424366732925,4.370798968716457,True,False,False,True,False,0.0,0,0.9986559139784945,0.9381720430107526,False,False,False,False,-0.11285511508050164,-0.10574098330687906,False,False,False,False,-2832265.0,-3036002.8705728957,False,False,False,False,135112.990619085,False,False,False,False
2025-05-27 16:00:00+00:00,1.625,1.635,1.62,1.62,51088.0,,,,,,,,,,,,,,,,,,,,1.622565023044473,,1.614027091900876,1.6868473865936462,1.7455407171685935,1.8653493867121866,1.9446638953586002,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09247122756801318,1.6610946536629112,-0.44440475966089793,0.0,0.0,0.0,0.0,46.510064732469395,2.5406775108978437,True,False,False,True,False,0.0,0,0.9959677419354838,0.9395161290322581,False,False,False,False,-0.10563445823177514,-0.1056877207693271,False,False,False,False,-2832265.0,-3032844.143897347,False,False,False,False,133810.27758623098,False,False,False,False
2025-05-27 17:00:00+00:00,1.625,1.63,1.615,1.63,18363.0,,,,,,,,,,,,,,,,,,,,1.6227800702820903,,1.6141367791689347,1.6867716786455553,1.7454795876967515,1.86526514865582,1.9445664762869532,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09214476467854811,1.6592783711080112,-0.31774318606326135,0.0,0.0,0.0,0.0,48.20670670951405,2.5406775108978437,True,False,False,True,False,0.0,0,0.9999999999999997,0.936742934051144,False,False,False,False,-0.11285511508050164,-0.10927141792491438,False,False,False,False,-2813902.0,-3029449.6920539774,False,False,False,False,132020.39731357622,False,False,False,False
2025-05-27 18:00:00+00:00,1.625,1.635,1.625,1.635,125527.0,,,,,,,,,,,,,,,,,,,,1.6261254127293066,,1.6152580244755868,1.6863143949142447,1.7450864008210907,1.8647068204181152,1.9439159791259686,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09177307501279797,1.6593808117121953,-0.26566410364690674,0.0,0.0,0.0,0.0,50.63032291089657,2.5406775108978437,True,False,False,False,True,0.0,0,1.0,0.9353970390309555,False,False,False,False,-0.10202828746252822,-0.10564985269372129,False,False,False,False,-2688375.0,-3024161.7123322105,False,False,False,False,131919.72448700914,False,False,False,False
2025-05-27 19:00:00+00:00,1.635,1.65,1.635,1.65,210826.0,,,,,,,,,,,,,,,,,,,,1.633436494652539,,1.6181431433365863,1.6857464948416845,1.7445090271933192,1.863828384167365,1.9428759092761696,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.09147504952003047,1.6599474826384788,-0.10874531023129612,0.0,0.0,0.0,0.0,55.40476974796481,-0.7980498468598967,True,False,True,False,True,0.0,0,1.0040376850605652,0.9313593539703903,False,False,False,False,-0.08403514999331468,-0.09484250134351799,False,False,False,False,-2477549.0,-3015687.0966371372,False,False,False,False,133143.07759573768,False,False,False,False
2025-05-28 14:00:00+00:00,1.655,1.685,1.655,1.685,156203.0,,,,,,,,,,,,,,,,,,,,1.6427049166285974,,1.6219555486109798,1.6856381515806136,1.7442132014186493,1.8632706662823173,1.9421871077895612,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09124726331825189,1.6612601616458058,0.26017041488021964,0.0,0.0,0.0,0.0,62.775077537754505,5.938744545370817,True,False,True,False,True,2.9794125860623133,0,1.0067024128686324,0.92627345844504,False,False,False,False,-0.04462425317765293,-0.06973337726058546,False,False,False,False,-2321346.0,-3004922.118394701,False,False,False,False,133500.59577254794,False,False,False,False
2025-05-28 15:00:00+00:00,1.685,1.695,1.67,1.685,51607.0,,,,,,,,,,,,,,,,,,,,1.6454927732208287,,1.623285790738951,1.6856305000762186,1.744127718859348,1.8630952522897999,1.9419673899236425,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09101395794353671,1.6617010485163128,0.25599316863179855,0.0,0.0,0.0,0.0,67.68861606428098,10.22893396450224,True,False,True,False,True,2.9794125860623133,0,1.0080213903743314,0.9251336898395721,False,False,False,False,-0.026763210382441876,-0.04824829382151367,False,False,False,False,-2321346.0,-2994324.039039744,False,False,False,False,132230.92762103557,False,False,False,False
2025-05-28 16:00:00+00:00,1.685,1.7,1.685,1.695,197684.0,,,,,,,,,,,,,,,,,,,,1.655450240110511,,1.6286553525664764,1.68572722437666,1.7438559793369897,1.8624636737222424,1.9411615948515284,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09077131943758311,1.6634806342369572,0.347239259694979,0.0,0.0,0.0,0.0,71.82427605849256,13.850471814550971,True,False,True,False,True,3.9922557551647024,0,1.027137042062415,0.9213025780189958,False,False,False,False,-0.01248720414192259,-0.03036774898171813,False,False,False,False,-2123662.0,-2980825.402775562,False,False,False,False,133245.70393698852,False,False,False,False
2025-05-28 17:00:00+00:00,1.695,1.705,1.685,1.685,64934.0,,,,,,,,,,,,,,,,,,,,1.6577678372860423,,1.6302029757129404,1.6857516217898296,1.7437644296615402,1.8622552065877696,1.9408962783459318,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09012788711627145,1.6639462971408836,0.23359809635785272,0.0,0.0,0.0,0.0,71.52901354101077,13.850471814550971,True,False,True,False,True,2.874733852110648,0,1.020352781546811,0.9199457259158751,False,False,False,False,-0.008919224850073371,-0.01964348691589575,False,False,False,False,-2188596.0,-2968542.776375941,False,False,False,False,132186.60775191893,False,False,False,False
2025-05-28 18:00:00+00:00,1.685,1.685,1.675,1.675,279277.0,,,,,,,,,,,,,,,,,,,,1.6622064384718387,,1.6348014824429302,1.6856228385987713,1.7432744724571363,1.861294745315696,1.9397008674730696,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08947459249815029,1.6649935330243035,0.11183584855000461,0.0,0.0,0.0,0.0,68.63743817315475,13.850471814550971,True,False,True,False,False,1.7665357681958298,0,1.0204359673024521,0.9237057220708448,False,False,False,False,-0.03033368936935576,-0.024988588142625754,False,False,False,False,-2467873.0,-2960780.454261585,False,False,False,False,134467.07894956358,False,False,False,False
2025-05-28 19:00:00+00:00,1.675,1.675,1.65,1.665,219830.0,,,,,,,,,,,,,,,,,,,,1.662370081841955,,1.6367971490976876,1.6853223601943104,1.7428060434685264,1.8604843493226741,1.9387139769770758,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08866461760150877,1.6651508215112965,-0.001701033798783911,0.0,0.0,0.0,0.0,64.3288658586504,13.850471814550971,True,False,True,False,False,0.6677686077014258,0,1.0122448979591834,0.9265306122448979,False,False,False,False,-0.05535382303556201,-0.04017120558909388,False,False,False,False,-2687703.0,-2956546.6952807857,False,False,False,False,135790.53508988043,False,False,False,False
2025-05-29 14:00:00+00:00,1.675,1.71,1.665,1.705,185276.0,,,,,,,,,,,,,,,,,,,,1.6657464504487114,,1.639944469383119,1.6854123563160897,1.7425629172461485,1.8599096216229132,1.9379776862269993,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08803444248173802,1.6676292674779876,0.42450126869111193,0.0,0.0,0.0,0.0,66.45141849522916,13.850471814550971,True,False,True,False,False,4.770626171181956,0,1.0148448043184883,0.9176788124156545,False,False,False,False,-0.019624207498822408,-0.029897706543958145,False,False,False,False,-2502427.0,-2949506.0798500758,False,False,False,False,136557.75160011486,False,False,False,False
2025-05-29 15:00:00+00:00,1.705,1.705,1.675,1.68,143989.0,,,,,,,,,,,,,,,,,,,,1.6673808265561705,,1.6418820229600095,1.685423212531193,1.7423502486254938,1.8594479216150324,1.937393004998277,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08756346475767017,1.667990433277876,0.1371527126680063,0.0,0.0,0.0,0.0,63.33762438137115,21.36810502401825,True,False,True,False,False,2.058054320250548,0,1.022941970310391,0.9176788124156544,False,False,False,False,-0.01605550138303802,-0.022976603963498085,False,False,False,False,-2646416.0,-2944807.0088446485,False,False,False,False,136672.96475360147,False,False,False,False
2025-05-29 16:00:00+00:00,1.675,1.685,1.655,1.675,175683.0,,,,,,,,,,,,,,,,,,,,1.667753802664342,,1.643316477677907,1.6852794581631918,1.742023639506725,1.8588393004177655,1.9366408426451613,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08719724972937941,1.6678845870943158,0.08160134554435257,0.0,0.0,0.0,0.0,60.472722841325606,18.44313361527267,True,False,True,False,False,1.5269782480625977,0,1.0244897959183672,0.9156462585034014,False,False,False,False,-0.04462425317765293,-0.03380042857057551,False,False,False,False,-2822099.0,-2942904.559095119,False,False,False,False,137277.77150160764,False,False,False,False
2025-05-29 17:00:00+00:00,1.675,1.705,1.67,1.685,111966.0,,,,,,,,,,,,,,,,,,,,1.6687476412577997,,1.6446074358880245,1.6852886357192196,1.7418610990588854,1.8584843896135412,1.936190704514115,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.08475470701009934,1.6682522644718472,0.19760242373508816,0.0,0.0,0.0,0.0,59.8496505570725,17.525107412518977,True,False,True,False,False,2.5460498129034015,0,1.0314207650273222,0.9153005464480874,False,False,False,False,-0.019624207498822408,-0.026712318034698958,False,False,False,False,-2710133.0,-2939295.6977138,False,False,False,False,136885.34093569123,False,False,False,False
