date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_870,Gap_Up_aVWAP_858,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_834,Gap_Up_aVWAP_804,Gap_Up_aVWAP_798,Gap_Up_aVWAP_768,Gap_Up_aVWAP_737,Gap_Down_aVWAP_780,Gap_Down_aVWAP_744,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_690,Gap_Down_aVWAP_612,Gap_Down_aVWAP_600,Gap_Down_aVWAP_564,Gap_Down_aVWAP_558,Gap_Down_aVWAP_552,aVWAP_OB_bull_831,aVWAP_OB_bull_723,aVWAP_OB_bull_682,aVWAP_OB_bull_612,aVWAP_OB_bull_567,aVWAP_OB_bull_251,aVWAP_OB_bull_125,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-22 19:00:00+00:00,230.965,231.295,228.25,228.35,12825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8921134106854,"rgba(239, 83, 80, 1.0)",0.0,0.0,10.161249190779898,220.2965977621772,0.7925602538249201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.16293810184415,7.127107747859505,False,True,True,False,True,9.7754426650019,0,1.0491061265483765,0.8780448610646131,False,False,False,False,0.2913325947158886,0.29079848680455544,False,False,False,False,65672.0,9053.5472019687,False,False,False,False,6784.912875907002,False,False,False,False
2025-05-23 14:00:00+00:00,225.67,228.18,225.505,227.34,2128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.9041954544154,"rgba(239, 83, 80, 1.0)",0.0,0.0,10.0360579767018,220.86431045730842,0.6452423409394972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09021146402098,6.142280220562412,False,True,False,False,False,8.660178348164557,0,1.036599700790767,0.8898135285317371,False,False,False,False,0.2455772953883351,0.26818789109644525,False,False,False,False,63544.0,9898.360423643604,False,False,False,False,6712.7126762805365,False,False,False,False
2025-05-23 15:00:00+00:00,227.3,227.81,226.12,227.45,3354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.92401604791866,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.952035375143938,220.88572134814433,0.6595915714136736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.240993565977774,4.254180406160046,False,True,False,True,False,8.757026824629378,0,1.0448994927672366,0.8878452000751453,False,False,False,False,0.2274391062198089,0.24781349865812707,False,False,False,False,66898.0,10782.075765912696,False,False,False,False,6660.639611532001,False,False,False,False
2025-05-23 16:00:00+00:00,227.45,227.68,226.44,227.155,1107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.93037781677975,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.803468370433926,220.89098983545523,0.6389585734204303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.54535141449102,2.462690569744815,False,True,False,True,False,8.423745152563257,0,1.0436901222332342,0.9024887126968393,False,False,False,False,0.22163715587853786,0.23472532726833245,False,False,False,False,65791.0,11634.927304425677,False,False,False,False,6574.536671818327,False,False,False,False
2025-05-23 17:00:00+00:00,227.155,228.89,227.155,228.65,2694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.9537894255161,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.67442644341345,220.94163291732707,0.7967776826626194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.274324669443715,2.462690569744815,False,True,False,False,False,9.766067558440376,0,1.0359358377429917,0.906077729728236,False,False,False,False,0.2408248515363237,0.23777508940232805,False,False,False,False,68485.0,12516.323780326053,False,False,False,False,6514.373312565329,False,False,False,False
2025-05-23 18:00:00+00:00,228.63,229.92,228.63,229.65,4077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.00100059468,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.549237223441361,221.0417763908431,0.9014566721649282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.06768429517008,2.462690569744815,False,True,False,False,True,10.65160701306484,1,1.035918842830793,0.9061949602673802,False,False,False,False,0.26605925067034053,0.2519171700363343,False,False,False,False,72562.0,13447.264496910144,False,False,False,False,6476.584579037184,False,False,False,False
2025-05-23 19:00:00+00:00,229.65,230.595,229.19,230.395,9230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.444307624888241,221.23827279019574,0.9695498678668495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.067582219504274,-1.741014578740078,False,True,True,False,True,11.30887648795645,1,1.0378397929940737,0.9037172031941235,False,False,False,False,0.27862117985230084,0.26526917494431757,False,False,False,False,81792.0,14506.872799283628,False,False,False,False,6519.273190214903,False,False,False,False
2025-05-26 14:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.271307189388601,221.23827279019574,0.9876414428684372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0675141690604,0.26001220066147823,False,True,True,False,True,11.30887648795645,0,1.0375634659376223,0.9033504435641351,False,False,False,False,0.28890711844316025,0.27708814669373893,False,False,False,False,81792.0,15550.053065961401,False,False,False,False,6418.199187265835,False,False,False,False
2025-05-26 15:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.126529823631241,221.23827279019574,1.0033087478764209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.40080213543115,1.692972140232186,False,True,True,False,True,11.30887648795645,0,1.041680093027166,0.9007243229611777,False,False,False,False,0.28890711844316025,0.28299763256844956,False,False,False,False,81792.0,16577.0599951713,False,False,False,False,6318.692223122178,False,False,False,False
2025-05-26 16:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,9.046482005989601,221.23827279019574,1.0121865277288653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.289660779678314,2.785048182710561,False,False,True,False,True,11.30887648795645,0,1.0461538461538462,0.8988143966125616,False,False,False,False,0.28890711844316025,0.2859523755058049,False,False,False,False,81792.0,17588.144336331436,False,False,False,False,6220.7280026086555,False,False,False,False
