date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_445,Gap_Up_aVWAP_436,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_425,Gap_Up_aVWAP_423,Gap_Up_aVWAP_421,Gap_Up_aVWAP_418,Gap_Up_aVWAP_417,Gap_Up_aVWAP_411,Gap_Down_aVWAP_444,Gap_Down_aVWAP_442,Gap_Down_aVWAP_438,Gap_Down_aVWAP_437,Gap_Down_aVWAP_435,Gap_Down_aVWAP_433,Gap_Down_aVWAP_416,Gap_Down_aVWAP_415,Gap_Down_aVWAP_406,Gap_Down_aVWAP_404,aVWAP_OB_bull_394,aVWAP_OB_bear_201,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-21 17:00:00+00:00,100.005,101.16,99.36,99.83,31471.0,,,,,,,,,,,,,,,,,,,,,,106.30430320775503,"rgba(239, 83, 80, 1.0)",0.0,0.0,10.573337968342637,105.73519581094797,-0.5584987284648018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.42831766212886,-17.48709051716525,False,True,False,True,True,0.0,0,0.8401569480366798,0.8789530919351046,False,False,False,False,-0.15790586442929003,-0.17996944468726803,False,False,False,False,44888.0,94877.52870387245,False,False,False,False,15136.44756316104,False,False,False,False
2025-01-22 17:00:00+00:00,98.95,99.19,96.665,96.84,32311.0,,,,,,,,,,,,,,,,,,,,,,105.9167067794051,"rgba(239, 83, 80, 1.0)",0.0,0.0,10.722920040231223,105.51526937828908,-0.8090398273735523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84785271959647,-21.91477106746557,False,True,False,True,True,0.0,0,0.8307362737330163,0.890600698418288,False,False,False,False,-0.19356305868083398,-0.186766251684051,False,False,False,False,12577.0,93601.55151466512,False,False,False,False,15402.719693964746,False,False,False,False
2025-01-23 17:00:00+00:00,99.01,99.36,96.13,96.405,55458.0,,,,,,,,,,,,,,,,,,,,,,105.30705745496104,"rgba(239, 83, 80, 1.0)",0.0,0.0,10.891889185399851,105.15491126116353,-0.8033419283123486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.80563679304487,-21.70012885047177,False,False,False,True,True,0.0,0,0.8370082777818473,0.8902644494908798,False,False,False,False,-0.19637242371584174,-0.19156933769994638,False,False,False,False,-42881.0,91485.54296405015,False,False,False,False,16023.731791732735,False,False,False,False
2025-01-24 17:00:00+00:00,96.05,96.95,95.65,96.62,19469.0,,,,,,,,,,,,,,,,,,,,,,105.0913872843641,"rgba(239, 83, 80, 1.0)",0.0,0.0,11.056224040197005,105.02087632333188,-0.7598323164209488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12936063415489,-21.064157555863027,False,False,False,True,True,0.0,0,0.8333065094298212,0.897040104174287,False,False,False,False,-0.21872868003657117,-0.20514900886825876,False,False,False,False,-23412.0,89704.18570879356,False,False,False,False,16077.146802713622,False,False,False,False
2025-01-27 17:00:00+00:00,93.68,94.58,93.32,94.435,31126.0,,,,,,,,,,,,,,,,,,,,,,104.68189561733224,"rgba(239, 83, 80, 1.0)",0.0,0.0,11.26092351836605,104.75211649451478,-0.9161874226113013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.632680675015703,-21.064157555863027,False,False,False,True,True,0.0,0,0.8261169292147024,0.9066121036111354,False,False,False,False,-0.2555625462972017,-0.23035577758273024,False,False,False,False,-54538.0,87467.87275206808,False,False,False,False,16310.462356159922,False,False,False,False
2025-01-28 17:00:00+00:00,91.98,92.73,91.315,91.64,17100.0,,,,,,,,,,,,,,,,,,,,,,104.42516169748603,"rgba(239, 83, 80, 1.0)",0.0,0.0,11.512275744605102,104.5777761340468,-1.1238243785213118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92056586667318,-17.131102953156933,False,True,False,True,False,0.0,0,0.8276706187695391,0.9027163333923199,False,False,False,False,-0.28628500507397386,-0.25832039132835205,False,False,False,False,-71638.0,85001.11503498175,False,False,False,False,16322.703249862869,False,False,False,False
2025-01-29 17:00:00+00:00,93.3,93.52,92.2,93.37,9692.0,,,,,,,,,,,,,,,,,,,,,,104.2969458714265,"rgba(239, 83, 80, 1.0)",0.0,0.0,11.719802408551887,104.49115890529731,-0.9489203416247229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9468823451345,-17.131102953156933,False,True,False,True,False,0.0,0,0.8363736624042444,0.8970908223792066,False,False,False,False,-0.27287455936440436,-0.26559747534637823,False,False,False,False,-61946.0,82722.86518947815,False,False,False,False,16219.901649089801,False,False,False,False
2025-01-30 17:00:00+00:00,92.19,92.915,90.91,92.17,11124.0,,,,,,,,,,,,,,,,,,,,,,104.14014366778643,"rgba(239, 83, 80, 1.0)",0.0,0.0,11.938600758173722,104.38377741987394,-1.0230493227199857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77978701528393,-17.131102953156933,False,True,False,True,False,0.0,0,0.8342057248826006,0.8953578799389824,False,False,False,False,-0.2880537521207768,-0.2768256137335775,False,False,False,False,-73070.0,80307.47193072655,False,False,False,False,16140.89542197213,False,False,False,False
2025-01-31 17:00:00+00:00,91.58,91.92,89.85,90.42,12579.0,,,,,,,,,,,,,,,,,,,,,,103.94955459292852,"rgba(239, 83, 80, 1.0)",0.0,0.0,12.189542765002422,104.25146418106664,-1.1346991800856026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.531986821410595,-17.91848887542085,False,True,False,True,False,0.0,0,0.8293137371810156,0.900593250655855,False,False,False,False,-0.30466212016882166,-0.2907438669511996,False,False,False,False,-85649.0,77734.50337366102,False,False,False,False,16085.672237135353,False,False,False,False
2025-02-03 17:00:00+00:00,88.34,88.34,86.38,86.7,29829.0,,,,,,,,,,,,,,,,,,,,,,103.40150741004277,"rgba(239, 83, 80, 1.0)",0.0,0.0,12.528142303493347,103.8616086659533,-1.3698446465736547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.818203559238007,-20.593223630920747,False,True,False,True,False,0.0,0,0.8267328199052132,0.9039988151658769,False,False,False,False,-0.34282825441539394,-0.31678606068329673,False,False,False,False,-115478.0,74738.96068569728,False,False,False,False,16298.747086172016,False,False,False,False
2025-02-04 17:00:00+00:00,88.51,90.99,88.49,89.74,40525.0,,,,,,,,,,,,,,,,,,,,,,102.82204954408058,"rgba(239, 83, 80, 1.0)",0.0,0.0,12.774904038708126,103.44875775031775,-1.0731006439484825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.41983852529072,-20.593223630920747,False,True,False,True,True,0.0,0,0.8246114105019371,0.8990929200255348,False,False,False,False,-0.30474474680183966,-0.3107654037425682,False,False,False,False,-74953.0,72418.15509367097,False,False,False,False,16674.347906541443,False,False,False,False
