date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_912,Gap_Up_aVWAP_905,Gap_Up_aVWAP_890,Gap_Up_aVWAP_870,Gap_Up_aVWAP_860,Gap_Up_aVWAP_859,Gap_Up_aVWAP_851,Gap_Up_aVWAP_841,Gap_Up_aVWAP_807,Gap_Up_aVWAP_763,Gap_Down_aVWAP_918,Gap_Down_aVWAP_848,Gap_Down_aVWAP_816,Gap_Down_aVWAP_815,Gap_Down_aVWAP_806,Gap_Down_aVWAP_793,Gap_Down_aVWAP_751,Gap_Down_aVWAP_704,Gap_Down_aVWAP_691,Gap_Down_aVWAP_665,aVWAP_OB_bull_897,aVWAP_OB_bull_457,aVWAP_OB_bull_354,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-04-18 00:00:00+00:00,18.254992264,18.2737704291,18.1148567042,18.1148567042,192610,,,,,,,,,,,,,,,,,,,,,,18.455806554602468,18.044169946525724,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3882893504814089,18.2567309697565,-0.004477861044465988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.58887716565628,-6.621075852043347,False,True,False,True,False,0.0,0,0.9226934837402349,0.9222745814854851,False,False,False,False,-0.2617145296968313,-0.27561637760939417,False,False,False,False,-4810495,-4263813.796739742,False,False,False,False,307281.34107072075,False,False,False,False
2024-04-19 00:00:00+00:00,18.6193447197,18.624015905,18.2082804108,18.2082804108,233466,,,,,,,,,,,,,,,,,,,,,,18.455949721342677,18.04531229853532,"rgba(239, 83, 80, 0.75)",0.0,0.0,0.3683906148890646,18.260983497855424,0.9727751125052149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.336996613137245,-6.621075852043347,False,True,False,True,True,1.126720325926918,0,0.9304161121082972,0.8998295612850593,False,False,False,False,-0.12985545567280282,-0.2027359166410985,False,False,False,False,-4577029,-4276096.745887203,False,False,False,False,304386.6218130454,False,False,False,False
2024-04-22 00:00:00+00:00,18.7222042206,18.8159558692,18.5534512532,18.6659532315,171018,,,,,,,,,,,,,,,,,,,,,,18.456847593631245,18.04655052761752,"rgba(239, 83, 80, 0.75)",0.0,0.0,0.3593285235543594,18.265710147939384,1.2704086726684694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42479197137381,-11.137231928153405,False,True,False,True,True,2.134040083084262,0,0.9612454172529232,0.8739677038956947,False,False,False,False,0.024341138685550892,-0.0891973889777738,False,False,False,False,-4406011,-4281191.422519078,False,False,False,False,299156.47978116124,False,False,False,False
2024-04-23 00:00:00+00:00,18.8534565286,18.9023011375,18.6941724777,18.7222042206,219438,,,,,,,,,,,,,,,,,,,,,,18.458557597255737,18.048422854246294,#000000,0.0,0.0,0.3514386074132746,18.27217134159319,1.6540163053948325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.279240410487574,-7.594828132370672,False,False,False,False,True,3.405193450522315,0,0.9789086199457778,0.8670056842534023,False,False,False,False,0.08945307974870341,0.00012784538546480734,False,False,False,False,-4186573,-4277480.896145781,False,False,False,False,296030.2648877824,False,False,False,False
2024-04-24 00:00:00+00:00,18.9284578475,18.9472081772,18.6472029018,18.7503297152,205037,,,,,,,,,,,,,,,,,,,,,,18.46024824618323,18.050219204589148,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3404269723740129,18.27739257475819,1.912496146241057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.47629220019866,-4.6621708679249,True,False,True,False,True,4.126127110504864,0,0.9667854383541852,0.8893551865622177,False,False,False,False,0.08885906168147102,0.04449345353346791,False,False,False,False,-3981536,-4265875.213943985,False,False,False,False,292461.9015588498,False,False,False,False
2024-04-25 00:00:00+00:00,18.7503297152,18.9003323529,18.6565780666,18.8534565286,344644,,,,,,,,,,,,,,,,,,,,,,18.462526394465183,18.052947587235913,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3224156658252697,18.28323909795203,1.448721841888119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.51652201131442,-4.582832431721812,True,False,True,False,True,2.241175542975963,0,1.019734319676032,0.8812573345677451,False,False,False,False,0.0780692109148216,0.06128133222414475,False,False,False,False,-4326180,-4268240.10751481,False,False,False,False,294508.25836046354,False,False,False,False
2024-04-26 00:00:00+00:00,18.7409545503,18.8722068583,18.7315793855,18.7784552098,237118,,,,,,,,,,,,,,,,,,,,,,18.464137482363856,18.054845299260332,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3105540935152777,18.286789378592154,1.4624349869840092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.43561518701815,-4.418340656092241,True,False,True,False,True,2.142480756320616,0,1.0132410096478865,0.8743346810413145,False,False,False,False,0.09155965419566274,0.07642049320990374,False,False,False,False,-4563298,-4279811.005259328,False,False,False,False,292257.65999338654,False,False,False,False
2024-04-29 00:00:00+00:00,18.8628316935,18.9143951002,18.8065807043,18.8065807043,239896,,,,,,,,,,,,,,,,,,,,,,18.466156012277818,18.056964639388887,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.30016543572962995,18.290926216540978,1.9053009070443312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.61807772423892,-2.9458355291605116,True,False,True,False,True,3.3568129526232333,0,1.0069306853902882,0.8826483702192524,False,False,False,False,0.12544268529919106,0.1009315892545474,False,False,False,False,-4323402,-4281520.456033472,False,False,False,False,290204.2615622734,False,False,False,False
2024-04-30 00:00:00+00:00,18.6847035612,18.8159558692,18.6800159788,18.8159558692,213381,,,,,,,,,,,,,,,,,,,,,,18.467329490481163,18.058527008320148,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.29394517170383705,18.292984260253526,1.3326270973457186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.256657055374234,-2.9458355291605116,True,False,True,False,True,1.4563437824889292,0,0.9863311335545883,0.8849207630704407,False,False,False,False,0.06057320186763652,0.08075239556109196,False,False,False,False,-4536783,-4291530.751875297,False,False,False,False,287191.5846382627,False,False,False,False
2024-05-01 00:00:00+00:00,18.7128290558,18.9284578475,18.5159505937,18.5440760883,294916,,,,,,,,,,,,,,,,,,,,,,18.46888578853773,18.06064931483539,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.28928369719232394,18.295526423163015,1.4425376773290866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6669157938794,-2.9458355291605116,True,False,True,False,True,1.7426145868620395,0,0.9828866301104832,0.8732614569995585,False,False,False,False,0.04579818930400941,0.06327529243255069,False,False,False,False,-4241867,-4289583.153762541,False,False,False,False,287494.5028877426,False,False,False,False
2024-05-02 00:00:00+00:00,18.8065807043,18.8534565286,18.6847973128,18.7784552098,123888,,,,,,,,,,,,,,,,,,,,,,18.469695801590795,18.061621073965625,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.28978147740248494,18.29686705896963,1.7589586812079572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.34135325744876,-2.9458355291605116,True,False,True,False,True,2.6998607708967413,0,0.9915228683443369,0.8751551239990482,False,False,False,False,0.07270816563756169,0.06799172903505618,False,False,False,False,-4117979,-4282853.579105186,False,False,False,False,281078.5615980272,False,False,False,False
2024-05-03 00:00:00+00:00,18.8440813638,19.0128343312,18.7690800449,18.9472081772,158781,,,,,,,,,,,,,,,,,,,,,,18.471037932793227,18.063024326820432,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.29079809008738594,18.299137879572033,1.873958264527151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.21732426239382,-1.9276382942592178,True,False,True,False,True,3.083422402950532,0,1.0000506750303026,0.8655694154143164,False,False,False,False,0.1431708606641081,0.10558129484958215,False,False,False,False,-3959198,-4270161.203454003,False,False,False,False,276282.5787902614,False,False,False,False
2024-05-06 00:00:00+00:00,18.9190826826,19.0081467488,18.8876758803,18.9378330123,234035,,,,,,,,,,,,,,,,,,,,,,18.47330565558418,18.065243500751198,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.29228507685024796,18.302909802291534,2.108122956356614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.65949249209289,-0.17399765992450256,True,False,True,False,True,3.853708765248431,0,0.9993267850781417,0.8682635677837109,False,False,False,False,0.176559231733225,0.14107026329140357,False,False,False,False,-3725163,-4248788.724887179,False,False,False,False,274625.81099456485,False,False,False,False
2024-05-07 00:00:00+00:00,18.890957188,19.0315846609,18.890957188,18.9753336718,214650,,,,,,,,,,,,,,,,,,,,,,18.475364200393106,18.067267903620163,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.2938100208469717,18.306188049402206,1.9902967805933607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.16133730322446,0.6643684243880017,True,False,True,False,True,3.5318434476722373,0,1.018292874229817,0.8568788277506185,False,False,False,False,0.18444510693834595,0.16275768511487476,False,False,False,False,-3939813,-4236672.029793564,False,False,False,False,272273.8184065427,False,False,False,False
2024-05-08 00:00:00+00:00,18.9472081772,18.9753336718,18.7784552098,18.8065807043,120342,,,,,,,,,,,,,,,,,,,,,,18.47641740824698,18.068350053397545,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.2943541245261893,18.307790577453673,2.1722732806125054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19926744276749,2.0021932942013336,True,False,True,False,True,4.122269861584712,0,1.0057340615159844,0.8590380464353885,False,False,False,False,0.13497818005297355,0.14886793258392417,False,False,False,False,-3819471,-4220311.205095777,False,False,False,False,266315.70788079593,False,False,False,False
2024-05-09 00:00:00+00:00,19.1815872986,19.1909624635,18.9097075178,18.9378330123,254211,,,,,,,,,,,,,,,,,,,,,,18.47963419648349,18.07115698147042,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.29958957656842455,18.31285918374385,2.8997274364708674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.391635125931124,5.2811537372492054,True,False,True,False,True,6.527368535356445,0,1.0172977955718692,0.84671948011634,False,False,False,False,0.23765280240791659,0.19326036749592038,False,False,False,False,-3565260,-4194622.922543002,False,False,False,False,265841.0134540981,False,False,False,False
2024-05-10 00:00:00+00:00,19.2003376284,19.2331507054,19.1346177227,19.2097127932,234487,,,,,,,,,,,,,,,,,,,,,,18.483027370738704,18.073972441843065,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3064861092767556,18.31810672556976,2.8785347072078555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.69652427177785,7.596060464991702,True,False,True,False,True,6.716516937655253,0,1.0309869928990578,0.8629924040802673,False,False,False,False,0.320096973573896,0.25667867053490817,False,False,False,False,-3330773,-4160746.454992296,False,False,False,False,264611.4442990354,False,False,False,False
2024-05-13 00:00:00+00:00,19.2565886175,19.4065912552,19.2378382878,19.2472134526,201023,,,,,,,,,,,,,,,,,,,,,,18.48636354516083,18.076613855301016,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3116249205104353,18.323198415969713,2.9952360677747234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.7780604673507,9.652771515216273,True,False,True,False,True,7.289101209152662,0,1.0507010211696879,0.8343141364545752,False,False,False,False,0.34282819551961924,0.2997534330272637,False,False,False,False,-3129750,-4120315.2214631867,False,False,False,False,262117.77981672031,False,False,False,False
2024-05-14 00:00:00+00:00,19.2847141121,19.4347167498,19.2284631229,19.3222147715,197768,,,,,,,,,,,,,,,,,,,,,,18.489681725000803,18.079234458030193,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.31709439938770295,18.3281338916632,3.0167048749013587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44286166094213,11.303968729298063,True,False,True,False,True,7.577552304629016,0,1.0332667909067843,0.8410559605807442,False,False,False,False,0.3428281959554361,0.3212908144913499,False,False,False,False,-2931982,-4073713.918660709,False,False,False,False,259594.25903959404,False,False,False,False
2024-05-15 00:00:00+00:00,19.3315899364,19.4628422444,19.2753389472,19.3878409255,133503,,,,,,,,,,,,,,,,,,,,,,18.4920160854314,18.08105514128767,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3220510919591556,18.402593332257688,2.884624916161233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.02403871098127,12.886680843053483,True,False,True,False,True,8.062512057352375,0,1.0392712094581826,0.8436244859171499,False,False,False,False,0.3428281976360589,0.3320595060637044,False,False,False,False,-2798479,-4023704.706164211,False,False,False,False,254649.50378313937,False,False,False,False
2024-05-16 00:00:00+00:00,19.3690905958,19.4065912552,19.2659637824,19.2847141121,167565,,,,,,,,,,,,,,,,,,,,,,18.49489672399597,18.08331627948591,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3291649086045181,18.406376444235985,2.9247168407027475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4578781568398,14.34480407011364,True,False,True,False,True,8.453255687182853,0,1.0319538867101234,0.8509070793795679,False,False,False,False,0.3243088824667748,0.3281841942652396,False,False,False,False,-2630914,-3969085.4627852226,False,False,False,False,251234.4252034084,False,True,False,False
2024-05-17 00:00:00+00:00,19.3690905958,19.4113725893,19.3128396066,19.3503402661,116437,,,,,,,,,,,,,,,,,,,,,,18.49692722041711,18.084904082873525,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.33922493064759424,18.409369536945455,2.8291583906359645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.41377112074548,15.379932859715169,True,False,True,False,True,8.453255687182853,0,1.0243049308582393,0.8617532465279144,False,False,False,False,0.3388676087564814,0.3335259015108605,False,False,False,False,-2630914,-3916608.150519136,False,False,False,False,245948.25166601985,False,True,False,False
2024-05-20 00:00:00+00:00,19.2525291711,19.403086584,19.2432134312,19.3466275542,154809,,,,,,,,,,,,,,,,,,,,,,18.499411592415935,18.086902420147926,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.34525236205353155,18.41196098664161,2.4346486131442036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.93029985559652,15.379932859715169,True,False,True,False,False,6.905860417363446,0,1.014086788918638,0.8718971458106317,False,False,False,False,0.31696028987965724,0.3252430956952589,False,False,False,False,-2785723,-3872259.7132438757,False,False,False,False,242374.16336539164,False,False,False,False
2024-05-21 00:00:00+00:00,19.2148898179,19.2901685243,19.1678406264,19.2337094945,126118,,,,,,,,,,,,,,,,,,,,,,18.501234778355474,18.088424751226345,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.3509337313752557,18.413284448475174,2.28420723845342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35206079612628,20.481093836899603,True,False,True,False,False,6.408479802499425,0,1.0124923634480758,0.8789793430493421,False,False,False,False,0.2651669098975709,0.29520500279641493,False,False,False,False,-2911841,-3834596.2342931353,False,False,False,False,237815.09813537626,False,False,False,False
2024-05-22 00:00:00+00:00,19.0831520816,19.1913652221,19.0455127284,19.1678406264,123027,,,,,,,,,,,,,,,,,,,,,,18.502716585266175,18.089752478528926,"rgba(38, 166, 154, 0.75)",0.0,0.0,0.35217160588910973,18.413516146143746,1.9014478290084182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.72892320828224,16.158447741715676,True,False,True,False,False,4.680386141940488,0,1.001023406383035,0.887974517251981,False,False,False,False,0.20604735515962355,0.25062617897801925,False,False,False,False,-3034868,-3803234.342752228,False,False,False,False,233313.60409085173,False,False,False,False
2024-05-23 00:00:00+00:00,18.6691191962,19.0737422433,18.6221641031,19.0737422433,220426,,,,,,,,,,,,,,,,,,,,,,18.503963618061725,18.091380741604162,#000000,0.0,0.0,0.3510358035423888,18.409302220159624,0.7401438070376276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.923488489100215,8.144653770884084,False,False,False,False,False,0.0,0,0.9566026489191233,0.9059147742360371,False,False,False,False,0.06642242504810779,0.15852430201306353,False,False,False,False,-3255294,-3781746.4861737094,False,False,False,False,232808.2078519948,False,False,False,False
2024-05-24 00:00:00+00:00,18.7067585494,18.7945523408,18.6455946005,18.7632175793,185252,,,,,,,,,,,,,,,,,,,,,,18.50473746165597,18.092601175964795,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.34958143881198717,18.406274594047364,0.8595535174115553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75987889844464,3.788285352421383,False,True,False,True,False,0.044946479778030124,0,0.9920174707487076,0.9188729538026421,False,False,False,False,0.0016228155080882647,0.0800735587605759,False,False,False,False,-3070042,-3753836.5063237604,False,False,False,False,230943.2585244656,False,False,False,False
2024-05-28 00:00:00+00:00,18.5750208132,18.7958697182,18.5279716217,18.753807741,186012,,,,,,,,,,,,,,,,,,,,,,18.505206406396752,18.093659836241,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3483581943782673,18.403176096488174,0.493298907518235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.975243053096946,-0.23228020440163277,False,True,False,True,False,0.0,0,0.9740433759534934,0.9098199563788687,False,False,False,False,-0.02780738068822195,0.026133089036176973,False,False,False,False,-3256054,-3734315.6237228285,False,False,False,False,229181.24838625127,False,False,False,False
2024-05-29 00:00:00+00:00,18.292725664,18.4244634003,18.2550863108,18.4244634003,175602,,,,,,,,,,,,,,,,,,,,,,18.5045832134764,18.094085246384957,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.34839939798183683,18.41773271715266,-0.3588038724429083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.552958998923515,-4.888560574321296,False,True,False,True,False,0.0,0,0.9540376227342529,0.9285708571363106,False,False,False,False,-0.193160335347117,-0.08351362315547001,False,False,False,False,-3431656,-3722446.6188709526,True,False,False,False,227080.10139071202,False,False,False,False
2024-05-30 00:00:00+00:00,18.631479843,18.6408896813,18.3962338854,18.4056437237,168662,,,,,,,,,,,,,,,,,,,,,,18.504753243024503,18.09490321082922,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.34846105599335203,18.421132017181026,0.6036480180528054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.245973932843384,-4.888560574321296,False,True,False,True,False,0.0,0,0.9547477107907936,0.9069298850070587,False,False,False,False,-0.10067290756584528,-0.09209326536065765,False,False,False,False,-3262994,-3704428.8691113074,False,False,False,False,224789.19545382136,False,False,False,False
2024-05-31 00:00:00+00:00,19.0078733752,19.0172832135,18.6502995196,18.6691191962,198848,,,,,,,,,,,,,,,,,,,,,,18.506250612377983,18.096562776410572,"rgba(239, 83, 80, 0.75)",0.0,0.0,0.34282953084672896,18.43078681579481,1.6833046965933347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.41348847347537,-4.888560574321296,False,True,False,True,True,3.3895043230608657,0,0.9704862402446595,0.8953265468692124,False,False,False,False,0.05922875817238343,-0.01643225359413711,False,False,False,False,-3064146,-3679319.736989295,False,False,False,False,223771.89367131857,False,False,False,False
2024-06-03 00:00:00+00:00,18.970234022,19.0737422433,18.8949553155,19.0361028901,234119,,,,,,,,,,,,,,,,,,,,,,18.508397001326905,18.098722681332738,"rgba(239, 83, 80, 0.75)",0.0,0.0,0.33938504121481944,18.43907557156976,1.5650614668489016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.45852085563472,-13.34432780392882,False,True,False,True,True,2.962351636596093,0,0.9650726410863895,0.9084670359516113,False,False,False,False,0.13617118412368545,0.05986946526477417,False,False,False,False,-3298265,-3664376.413970107,False,False,False,False,224177.66254695313,False,False,False,False
2024-06-04 00:00:00+00:00,18.8949553155,18.9561192645,18.81497169,18.8667258006,133995,,,,,,,,,,,,,,,,,,,,,,18.509381289024194,18.099826971569588,#000000,0.0,0.0,0.3386758726616802,18.441201471582026,1.3397879227471556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.66851281239912,-12.189245098074188,False,True,False,False,True,2.104897092559451,0,0.9650277951360084,0.9157861180470996,False,False,False,False,0.08555326277174367,0.07271136401825892,False,False,False,False,-3432260,-3655273.809500691,False,False,False,False,220641.08754511183,False,False,False,False
2024-06-05 00:00:00+00:00,18.8290864474,18.9890536986,18.7820372559,18.9890536986,303251,,,,,,,,,,,,,,,,,,,,,,18.511462312523467,18.102245540008482,#000000,0.0,0.0,0.33532776027238875,18.444421457113343,1.147131361788219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75528426113963,-11.87400941901403,False,True,False,False,True,1.355095810256575,0,0.9620021213073173,0.9043308411260754,False,False,False,False,0.08555326277174367,0.07913231339500129,False,False,False,False,-3735511,-3658420.36599086,False,False,False,False,223880.69195510747,False,False,False,False
