date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_876,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_786,Gap_Up_aVWAP_732,Gap_Up_aVWAP_696,Gap_Up_aVWAP_690,Gap_Up_aVWAP_678,Gap_Up_aVWAP_654,Gap_Down_aVWAP_888,Gap_Down_aVWAP_840,Gap_Down_aVWAP_792,Gap_Down_aVWAP_780,Gap_Down_aVWAP_762,Gap_Down_aVWAP_714,Gap_Down_aVWAP_702,Gap_Down_aVWAP_684,Gap_Down_aVWAP_636,Gap_Down_aVWAP_624,aVWAP_OB_bull_852,aVWAP_OB_bull_780,aVWAP_OB_bull_726,aVWAP_OB_bull_319,aVWAP_OB_bull_246,aVWAP_OB_bear_517,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-07-03 15:00:00+00:00,16.82,16.95,16.675,16.78,10905.0,,,,,,,,,,,,,,,,,,,,,,,,15.558713852643052,14.969951027618906,17.293516753358787,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7642791339520683,16.474415412768174,0.3998337435324932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.236081434405875,4.437486640135965,False,True,False,True,False,6.6100439606981105,0,0.979543666404406,0.9284028324154207,False,False,False,False,0.0831168497994064,0.14283186676763182,False,False,False,False,365155.0,362350.29106012674,False,False,False,False,4008.9166122224024,False,False,False,False
2025-07-03 16:00:00+00:00,16.82,17.02,16.82,16.98,17379.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7672404746530739,16.49045534742553,0.6380589511988779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15429204418747,3.6663261410818464,False,True,False,True,False,8.687257921379711,0,0.9808397880146761,0.9372197309417037,False,False,False,False,0.1077646182401552,0.12529824250389351,False,False,False,False,382534.0,362663.21678012476,False,False,False,False,4216.20472676159,False,False,False,False
2025-07-03 17:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7656181627750863,16.49045534742553,0.6394109706071351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4330991173752,2.9555736334201654,False,True,False,True,False,8.687257921379722,0,0.9780061664953754,0.9408016443987665,False,False,False,False,0.12157653279396052,0.12343738764892702,False,False,False,False,382534.0,362971.29093857243,False,False,False,False,4150.837211617999,False,False,False,False
2025-07-03 18:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7625107413214304,16.49045534742553,0.6420167297920146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.952303832833685,2.268640764947385,False,True,False,True,False,8.687257921379722,0,0.9730793124870576,0.9440878028577343,False,False,False,False,0.12157653279396052,0.12250696022144378,False,False,False,False,382534.0,363274.5887534783,False,False,False,False,4086.4831463215955,False,False,False,False
2025-07-03 19:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7582913937516129,16.49045534742553,0.6455890922781929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.63177364313934,1.5955820632219186,False,True,False,True,False,8.687257921379722,0,0.9753653444676411,0.9417536534446763,False,False,False,False,0.12157653279396052,0.12204174650770215,False,False,False,False,382534.0,363573.18427668023,False,False,False,False,4023.126818471648,False,False,False,False
2025-07-04 14:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7523356304873682,16.49045534742553,0.6506998110103321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.41808685000978,0.9390933649020852,False,True,False,True,False,8.687257921379722,0,0.9726546066470343,0.943205721497686,False,False,False,False,0.12157653279396052,0.12180913965083134,False,False,False,False,382534.0,363867.1504119255,False,False,False,False,3960.7527592705374,False,False,False,False
2025-07-04 15:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7452679547144425,16.49045534742553,0.6568706590397327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.275628987923405,0.3066478091068916,False,True,False,True,False,8.687257921379711,0,0.9695881731784585,0.9423442449841603,False,False,False,False,0.12157653279396052,0.12169283622239593,False,False,False,False,382534.0,364156.55893267086,False,False,False,False,3899.345739746963,False,False,False,False
2025-07-04 16:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7375366107876784,16.49045534742553,0.6637564093959254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.180657079865824,-0.29365978496592504,False,True,False,True,False,8.687257921379711,0,0.9651837524177952,0.952933591231463,False,False,False,False,0.12157653279396052,0.12163468450817823,False,False,False,False,382534.0,364441.48049960623,False,False,False,False,3838.8907670377075,False,False,False,False
2025-07-04 17:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7335665067461451,16.49045534742553,0.6673486971834707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1173424744941,-0.8550850942569497,False,True,False,True,False,8.687257921379711,0,0.9613621480026197,0.9596158044095171,False,False,False,False,0.12157653279396052,0.12160560865106937,False,False,False,False,382534.0,364721.9846779069,False,False,False,False,3779.3730807270454,False,False,False,False
2025-07-04 18:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7301818976142348,16.49045534742553,0.6704420558411361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07513273757962,-1.3729676052382942,False,True,False,True,False,8.687257921379711,0,0.9638078525992546,0.9458214520728225,False,False,False,False,0.12157653279396052,0.12159107072251495,False,False,False,False,382534.0,364998.13995421847,False,False,False,False,3720.778149242905,False,False,False,False
2025-07-04 19:00:00+00:00,16.98,16.98,16.98,16.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.591617395499807,15.005390729724443,17.18459628999279,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7264725461848376,16.49045534742553,0.6738653169281829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.04699291296997,-1.844800009077062,False,True,False,True,False,8.687257921379711,0,0.9633473172885849,0.9474497681607416,False,False,False,False,0.12157653279396052,0.12158380175823774,False,False,False,False,382534.0,365270.0137533779,False,False,False,False,3663.091666308906,False,False,False,False
2025-07-07 14:00:00+00:00,16.27,16.3,16.02,16.29,11826.0,,,,,,,,,,,,,,,,,,,,,,,,15.601374896478799,15.01987771793317,17.014523366357917,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7212793626042819,16.458636983976298,-0.23380259122819075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.44122501845113,-9.998282647968765,False,True,False,True,False,0.0,0,0.9521378430121252,0.9478834290576468,False,False,False,False,-0.06541155777616856,0.028086121991034593,False,False,False,False,370708.0,365354.32361766655,False,False,False,False,3789.648384660706,False,False,False,False
2025-07-07 15:00:00+00:00,16.28,16.34,16.22,16.34,2857.0,,,,,,,,,,,,,,,,,,,,,,,,15.60405674967182,15.023606774338269,16.985807344783773,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7144928712471406,16.45374752380953,-0.15920036208476634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.904736770218697,-13.934079201119793,False,True,False,True,False,0.0,0,0.9693527646806687,0.9451350192884693,False,False,False,False,-0.03807347380956064,-0.004993675909263022,False,False,False,False,373565.0,365481.6209259198,False,False,False,False,3775.1887197822452,False,False,False,False
2025-07-07 16:00:00+00:00,16.37,16.375,16.22,16.23,2714.0,,,,,,,,,,,,,,,,,,,,,,,,15.606494534549814,15.027060125636265,16.959668419079627,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7083308955972323,16.44911712810015,-0.3093428925126843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12388556119018,-17.118849965539823,False,True,False,True,False,0.0,0,0.974056603773585,0.9333190394511145,False,False,False,False,-0.03409238630925705,-0.019543031109260037,False,False,False,False,370851.0,365564.8671131148,False,False,False,False,3758.7361814910473,False,False,False,False
2025-07-07 17:00:00+00:00,16.235,16.34,16.22,16.25,5740.0,,,,,,,,,,,,,,,,,,,,,,,,15.611554314107122,15.034272392020332,16.909900410260285,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7019278343851338,16.440111246061345,-0.27084158334863123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.130984703151405,-18.721259832156083,False,True,False,True,False,0.0,0,0.9765943740605543,0.931715696800515,False,False,False,False,-0.03807347380956064,-0.028808252459410336,False,False,False,False,376591.0,365735.8149098107,False,False,False,False,3789.4534499950623,False,False,False,False
2025-07-07 18:00:00+00:00,16.255,16.275,16.17,16.25,4773.0,,,,,,,,,,,,,,,,,,,,,,,,15.615461749384142,15.040022128056,16.871506633774537,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.6953678267034888,16.432657535577018,-0.2626775766186044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.802384131125557,-19.87299633105664,False,True,False,True,False,0.0,0,0.9752315313374975,0.9343097135472751,False,False,False,False,-0.05116336694191974,-0.03998580970066504,False,False,False,False,376591.0,365904.1123530695,False,False,False,False,3804.702233716069,False,False,False,False
2025-07-07 19:00:00+00:00,16.25,16.315,16.2,16.21,6881.0,,,,,,,,,,,,,,,,,,,,,,,,15.621099042901744,15.048283473278527,16.823983921254726,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.6888629945244148,16.423281708467986,-0.3096141179934232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.562184297642013,-21.088967955904355,False,True,False,True,False,0.0,0,0.9773413897280967,0.9309451877427705,False,False,False,False,-0.043193805667996944,-0.04158980768433099,False,False,False,False,369710.0,365963.1183630994,False,False,False,False,3852.3967727282225,False,False,False,False
