date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_882,Gap_Up_aVWAP_852,Gap_Up_aVWAP_804,Gap_Up_aVWAP_792,Gap_Up_aVWAP_774,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_696,Gap_Up_aVWAP_678,Gap_Down_aVWAP_864,Gap_Down_aVWAP_816,Gap_Down_aVWAP_780,Gap_Down_aVWAP_744,Gap_Down_aVWAP_702,Gap_Down_aVWAP_666,Gap_Down_aVWAP_660,Gap_Down_aVWAP_648,Gap_Down_aVWAP_642,Gap_Down_aVWAP_612,aVWAP_OB_bull_874,aVWAP_OB_bull_828,aVWAP_OB_bull_749,aVWAP_OB_bull_504,aVWAP_OB_bull_336,aVWAP_OB_bear_733,aVWAP_OB_bear_636,aVWAP_OB_bear_132,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-24 17:00:00+00:00,3.775,3.795,3.765,3.795,13832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.725056213059108,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.17007994940377202,3.7819120363574505,0.07695183170285631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.86665514791267,-2.033272112683292,True,False,True,False,True,1.9955108679384566,0,0.924474730266894,0.9931856899488928,False,False,False,False,0.08484271122815926,0.07334262155373904,False,False,False,False,-392021.0,-282282.5541066901,False,False,False,False,20080.930630205392,False,False,False,False
2025-04-24 18:00:00+00:00,3.795,3.805,3.765,3.765,9090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7252545820884637,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.16582784408498588,3.782191522665917,-0.10367090497242527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.05845073093924,-2.033272112683292,True,False,True,False,True,0.6968211754942253,0,0.9257369614512474,0.9875283446712021,False,False,False,False,0.08867545536513818,0.0810090384594386,False,False,False,False,-401111.0,-284124.8555934081,False,False,False,False,19910.528604930892,False,False,False,False
2025-04-24 19:00:00+00:00,3.765,3.785,3.755,3.785,41615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7260883240990923,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.15866114949905324,3.7831738978593865,0.011509447311955374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88641935770659,-1.33517859429422,True,False,True,False,True,1.5397195877428587,0,0.9253393665158373,0.9875565610859729,False,False,False,False,0.07718456356512866,0.07909680101228364,False,False,False,False,-359496.0,-285293.4004679289,False,False,False,False,20247.03203741258,False,False,False,False
2025-04-25 14:00:00+00:00,3.69,3.725,3.685,3.695,31810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7257794091117615,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.15167660595092902,3.7819529731258372,-0.5732787372231202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.89401794305189,-1.33517859429422,False,False,False,False,False,0.0,0,0.9229471316085491,0.9870641169853768,False,False,False,False,0.027586205060336995,0.053341503036310314,False,False,False,False,-391306.0,-286937.0066622246,False,False,False,False,20426.30285853797,False,False,False,False
2025-04-25 15:00:00+00:00,3.695,3.725,3.695,3.715,30562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.725609956910816,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.14229986736554923,3.7810997594027604,-0.46451033740572073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.98412099537536,2.2939200812218203,False,False,False,True,False,0.0,1,0.9268841394825647,0.9820022497187854,False,False,False,False,0.031393552939878576,0.04236752798809444,False,False,False,False,-360744.0,-288081.3011325777,False,False,False,False,20583.445449878465,False,False,False,False
2025-04-25 16:00:00+00:00,3.715,3.74,3.71,3.735,14767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.725625665662022,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.12946087098856482,3.7808863275964013,-0.3544416721903141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.087508693022635,2.2092731679979636,False,False,False,True,False,0.0,0,0.9266211604095566,0.9886234357224121,False,False,False,False,0.04282150054806852,0.04259451426808148,False,False,False,False,-345977.0,-288978.90886695636,False,False,False,False,20493.26800104314,False,False,False,False
2025-04-25 17:00:00+00:00,3.735,3.745,3.71,3.715,6859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7256195404927297,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.11687762137543325,3.780763710086924,-0.5626715303837194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.965086614972236,0.8738805677960642,False,False,False,True,False,0.0,0,0.925841414717627,0.9891614375356533,False,False,False,False,0.04472716515212249,0.043660839710101984,False,False,False,False,-352836.0,-289968.9412876237,False,False,False,False,20281.884001026967,False,False,False,False
2025-04-25 18:00:00+00:00,3.715,3.735,3.705,3.705,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7255934629885687,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.10546285798524146,3.780614271553836,-0.7169753693230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.62257427123487,-0.6670334338574762,False,True,False,True,False,0.0,0,0.9264118653736453,0.9857387335995437,False,False,False,False,0.03901108976457551,0.04133596473733875,False,False,False,False,-359155.0,-291041.5933606838,False,False,False,False,20065.405179305617,False,False,False,False
2025-04-25 19:00:00+00:00,3.705,3.735,3.705,3.72,35802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7255167092869237,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09441560414628052,3.7799201570927927,-0.6346425215895106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.97354938021883,-0.6670334338574762,False,True,False,True,False,0.0,0,0.9242165242165243,0.9868945868945871,False,False,False,False,0.03901108976457551,0.04017352725095713,False,False,False,False,-323353.0,-291542.54540160345,False,False,False,False,20309.383393579945,False,False,False,False
2025-04-28 14:00:00+00:00,3.695,3.745,3.695,3.715,4486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7255043795711678,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.09134865393960344,3.7798307758968286,-0.7097069644802055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.84863451841403,-1.0653697794369563,False,True,False,True,False,0.0,0,0.9222915484968804,0.9858196256381169,False,False,False,False,0.03901108976457551,0.03959230850776632,False,False,False,False,-327839.0,-292105.28113181115,False,False,False,False,20064.05962003607,False,False,False,False
