date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_828,Gap_Up_aVWAP_816,Gap_Up_aVWAP_810,Gap_Up_aVWAP_786,Gap_Up_aVWAP_750,Gap_Up_aVWAP_732,Gap_Up_aVWAP_696,Gap_Up_aVWAP_684,Gap_Up_aVWAP_678,Gap_Up_aVWAP_642,Gap_Down_aVWAP_846,Gap_Down_aVWAP_834,Gap_Down_aVWAP_780,Gap_Down_aVWAP_738,Gap_Down_aVWAP_720,Gap_Down_aVWAP_672,Gap_Down_aVWAP_648,Gap_Down_aVWAP_588,Gap_Down_aVWAP_510,Gap_Down_aVWAP_474,aVWAP_OB_bull_748,aVWAP_OB_bull_666,aVWAP_OB_bull_378,aVWAP_OB_bull_228,aVWAP_OB_bear_810,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-21 16:00:00+00:00,74.375,74.605,74.27,74.465,35752.0,,,,,,,,,,,,,,,,,,,,,,,,75.31881830937688,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2095063582436052,71.78625873455756,2.214739300198799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63906537617707,-16.96462846534301,False,True,False,True,False,3.952957486260466,0,1.0304571881606768,0.8823335095137426,False,False,False,False,0.21675331315428875,0.23033385958771987,False,False,False,False,1362191.0,1466418.7825227985,False,False,False,False,66209.50015066015,False,False,False,False
2025-05-21 17:00:00+00:00,74.465,74.52,73.45,73.595,62890.0,,,,,,,,,,,,,,,,,,,,,,,,75.28824901109735,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.217246220105627,71.78159947229145,1.4897565486391022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0449725405759,-20.406667532391424,False,True,False,True,False,0.0,0,1.0164838773231764,0.8896696657253571,False,False,False,False,0.18580441326089261,0.20806913642430624,False,False,False,False,1299301.0,1463827.809150352,False,False,False,False,66158.03503204527,False,False,False,False
2025-05-21 18:00:00+00:00,73.59,73.74,73.425,73.43,38678.0,,,,,,,,,,,,,,,,,,,,,,,,75.26597456511598,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2276881628598932,71.77681915649842,1.346580421245173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28511158870165,-23.055162374285786,False,True,False,True,False,0.0,0,1.0091537701679294,0.9054988475469222,False,False,False,False,0.16006974952536795,0.1840694429748371,False,False,False,False,1260623.0,1460677.346992982,False,False,False,False,65731.98797728488,False,False,False,False
2025-05-21 19:00:00+00:00,73.445,73.575,73.145,73.16,141097.0,,,,,,,,,,,,,,,,,,,,,,,,75.17875754426076,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2421709526779106,71.75710151892804,1.1293924383335046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.89171054033274,-25.404338048911185,False,True,False,True,False,0.0,0,1.0130007959671004,0.90547890687185,False,False,False,False,0.14129408463785428,0.1626817638063457,False,False,False,False,1119526.0,1455388.1788225481,False,False,False,False,66900.43777608666,False,False,False,False
2025-05-22 14:00:00+00:00,72.695,72.995,72.595,72.98,41997.0,,,,,,,,,,,,,,,,,,,,,,,,75.1485959122974,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.25936013711568,71.7489900979637,0.9774883814058898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.956331039628704,-27.386033416779206,False,True,False,True,False,0.0,0,1.003597601598934,0.9134576948700872,False,False,False,False,0.09948142394737629,0.131081593876861,False,False,False,False,1077529.0,1449529.896980338,False,False,False,False,66514.3379656047,False,False,False,False
2025-05-22 15:00:00+00:00,72.98,73.37,72.95,73.245,30789.0,,,,,,,,,,,,,,,,,,,,,,,,75.130105305329,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2710583410321388,71.7453095344157,1.179875397667831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.010496842880812,-27.386033416779206,False,True,False,True,False,0.0,0,1.0028697277095575,0.9091697810998408,False,False,False,False,0.07883776893270959,0.10495968140478529,False,False,False,False,1108318.0,1444239.7900504104,False,False,False,False,65960.45675683563,False,False,False,False
2025-05-22 16:00:00+00:00,73.25,73.43,73.13,73.225,20000.0,,,,,,,,,,,,,,,,,,,,,,,,75.11872648543594,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.27888869973402,71.74332048958466,1.1585679901022572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.309183409998774,-27.386033416779206,False,True,False,True,True,0.0,0,1.0013218310839018,0.9210379852511487,False,False,False,False,0.08838075801801937,0.09667021971140233,False,False,False,False,1088318.0,1438721.622762807,False,False,False,False,65247.89153579942,False,False,False,False
2025-05-22 17:00:00+00:00,73.225,73.665,73.135,73.595,22691.0,,,,,,,,,,,,,,,,,,,,,,,,75.1073785906929,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.281956036407,71.74201787993579,1.445433437216501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.508711524353266,-32.01045307178499,False,True,False,True,True,0.0,0,1.0087694682194477,0.9123754735512845,False,False,False,False,0.09793983029995966,0.097305025005681,False,False,False,False,1111009.0,1433640.806906019,False,False,False,False,64588.094767802526,False,False,False,False
2025-05-22 18:00:00+00:00,73.595,73.82,73.505,73.705,41043.0,,,,,,,,,,,,,,,,,,,,,,,,75.08983849135065,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2830745099951382,71.74146944467068,1.5303324475963238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.119489371354405,-27.6913882892055,False,True,False,True,True,0.042637746742475,0,1.0187226225801898,0.9004521689981639,False,False,False,False,0.11891512327790527,0.10811007414179313,False,False,False,False,1152052.0,1429275.0889694917,False,False,False,False,64223.05453884435,False,False,False,False
2025-05-22 19:00:00+00:00,73.705,73.89,73.295,73.375,73725.0,,,,,,,,,,,,,,,,,,,,,,,,75.05601251888902,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.288517085366098,71.73909746538763,1.2696009646993323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.262058634665465,-26.577337207033004,False,True,False,True,True,0.0,0,1.0131551029068542,0.8999222010043154,False,False,False,False,0.11331227459553433,0.11071117436866373,False,False,False,False,1078327.0,1423834.0333265539,False,False,False,False,64370.371522738234,False,False,False,False
2025-05-23 14:00:00+00:00,72.56,72.69,72.26,72.29,28548.0,,,,,,,,,,,,,,,,,,,,,,,,75.03414537314355,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.3139670282592384,71.73296482096285,0.4239339093425543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.13392774430843,-26.577337207033004,False,True,False,True,False,0.0,0,1.0093675165516274,0.9062544020284554,False,False,False,False,0.02458466641412657,0.06764792039139515,False,False,False,False,1049779.0,1418034.7304842817,True,False,False,False,63814.98591773454,False,False,False,False
2025-05-23 15:00:00+00:00,72.295,72.76,72.22,72.54,23256.0,,,,,,,,,,,,,,,,,,,,,,,,75.01722239272799,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.335467465478816,71.8885061903154,0.4878395217595392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.291273995852467,-26.577337207033004,False,True,False,True,False,0.0,0,1.0092331547786868,0.9015365097265302,True,False,False,False,-0.002155461572510991,0.03274622940944208,False,False,False,False,1073035.0,1412685.8974535174,False,False,False,False,63186.16443063788,False,False,False,False
2025-05-23 16:00:00+00:00,72.55,72.895,72.51,72.715,18254.0,,,,,,,,,,,,,,,,,,,,,,,,75.00514279777558,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.3470653789390459,71.889967028305,0.6124669111047961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9107355223115,-26.577337207033004,False,True,False,True,False,0.0,0,1.0104248482684763,0.9153159585862202,False,False,False,False,0.0009041053024490419,0.01682516735594556,False,False,False,False,1091289.0,1407702.999818579,False,False,False,False,62489.5417262869,False,False,False,False
2025-05-23 17:00:00+00:00,72.72,73.175,72.695,73.045,32189.0,,,,,,,,,,,,,,,,,,,,,,,,74.98656736203935,,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.3577438891298785,71.89461281983671,0.8472784811431026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.647909690747504,-23.735702373520503,False,True,False,True,True,0.0,0,1.0045025728987997,0.9128073184676965,False,False,False,False,0.021081414368818784,0.01895329086238217,False,False,False,False,1123478.0,1403296.410674105,False,False,False,False,62019.76588556927,False,False,False,False
