date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_437,Gap_Up_aVWAP_436,Gap_Up_aVWAP_433,Gap_Up_aVWAP_432,Gap_Up_aVWAP_427,Gap_Up_aVWAP_426,Gap_Up_aVWAP_425,Gap_Up_aVWAP_421,Gap_Up_aVWAP_412,Gap_Up_aVWAP_405,Gap_Down_aVWAP_444,Gap_Down_aVWAP_440,Gap_Down_aVWAP_435,Gap_Down_aVWAP_434,Gap_Down_aVWAP_430,Gap_Down_aVWAP_424,Gap_Down_aVWAP_422,Gap_Down_aVWAP_419,Gap_Down_aVWAP_416,Gap_Down_aVWAP_414,aVWAP_OB_bear_358,aVWAP_OB_bear_189,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-06 17:00:00+00:00,6.765,6.785,6.57,6.745,58817.0,,,,,,,,,,,,,,,,,,,,,,8.966222164095203,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.1590720581724077,8.844693807408277,-1.8115300016109566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38132001387443,-24.54692265299157,False,True,False,True,True,0.0,0,0.7438118811881188,0.9973700495049505,False,False,False,False,-0.3241006060610137,-0.3232133832198332,False,False,False,False,-583891.0,-159319.63765056347,False,False,False,False,23497.8849195773,False,False,False,False
2025-03-07 17:00:00+00:00,6.495,6.66,6.37,6.375,89403.0,,,,,,,,,,,,,,,,,,,,,,8.866007186630863,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.1605640210030777,8.759885463425551,-2.054936582786954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.257332476923082,-24.54692265299157,False,True,False,True,True,0.0,0,0.7416911423713094,0.9962899984541661,False,False,False,False,-0.34282825441539394,-0.3330208188176136,False,False,False,False,-673294.0,-167288.232415671,False,False,False,False,24519.669649506333,False,False,False,False
2025-03-10 17:00:00+00:00,5.835,5.835,5.485,5.505,108442.0,,,,,,,,,,,,,,,,,,,,,,8.714833456648057,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.1916310761395938,8.62534879385652,-2.618552718484984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.631189139921585,-24.54692265299157,False,True,False,True,False,0.0,0,0.7429871114480667,1.0025777103866564,False,False,False,False,-0.34282825441539394,-0.3379245366165038,False,False,False,False,-781736.0,-176814.5543937226,False,False,False,False,25820.79105028918,False,False,False,False
2025-03-11 17:00:00+00:00,5.44,5.85,5.4,5.795,113225.0,,,,,,,,,,,,,,,,,,,,,,8.57466148163204,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2156007560865463,8.300415444696597,-2.061051239193389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.125022789434368,-24.54692265299157,False,True,False,True,False,0.0,0,0.7460555972952669,1.0006010518407216,False,False,False,False,-0.34282825441539394,-0.3403763955159489,False,False,False,False,-668511.0,-184437.75510079664,False,False,False,False,27175.895065013377,False,False,False,False
2025-03-12 17:00:00+00:00,6.0,6.055,5.8,5.815,201481.0,,,,,,,,,,,,,,,,,,,,,,8.370664083895736,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2366577559718734,8.141159195154971,-1.8810048163461945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.654288858154352,-24.54692265299157,False,True,False,True,False,0.0,0,0.7564720048163758,1.0033112582781458,False,False,False,False,-0.3077730571829604,-0.32407472634945467,False,False,False,False,-467030.0,-188819.03021551296,False,False,False,False,29878.299792687587,False,False,False,False
2025-03-13 17:00:00+00:00,6.02,6.24,6.01,6.24,107404.0,,,,,,,,,,,,,,,,,,,,,,8.284734205549524,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2424274300412492,8.077624266658761,-1.4790596394010318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.97001127190825,-23.745058808513235,False,True,False,True,True,0.0,0,0.7583942695120133,0.990449186688554,False,False,False,False,-0.28528005048304494,-0.3046773884162498,False,False,False,False,-359626.0,-191467.20028969104,False,False,False,False,31080.248633111038,False,False,False,False
2025-03-14 17:00:00+00:00,6.605,6.64,6.52,6.555,49970.0,,,,,,,,,,,,,,,,,,,,,,8.254259142040047,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.23574842551838,8.058549707036743,-1.2167118128481729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.275102450096554,-18.859841226672152,False,False,False,True,True,0.0,0,0.771487848251334,0.9847362181387079,False,False,False,False,-0.23447349853990782,-0.2695754434780788,False,False,False,False,-309656.0,-193299.58478132373,False,False,False,False,31373.112995388383,False,False,False,False
2025-03-17 17:00:00+00:00,6.325,6.38,6.29,6.335,19911.0,,,,,,,,,,,,,,,,,,,,,,8.240750246568364,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2363635759322076,8.048731784284934,-1.3861066579810837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.459145016718814,-16.95752427130359,True,False,False,True,True,0.0,0,0.7696319475488005,0.9937416182387125,False,False,False,False,-0.2616673848282815,-0.2656214141531802,False,False,False,False,-329567.0,-195412.25788548923,False,False,False,False,31195.405817165305,False,False,False,False
2025-03-18 17:00:00+00:00,6.355,6.4,6.28,6.35,9905.0,,,,,,,,,,,,,,,,,,,,,,8.23412972210039,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2323479677077807,8.043911490072219,-1.374539930652027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04086221821814,-15.497616409635675,True,False,False,True,True,0.0,0,0.7684853905784141,0.9844961240310081,False,False,False,False,-0.26110873763837505,-0.2633650758957776,False,False,False,False,-319662.0,-197338.61047641188,False,False,False,False,30865.32200604646,False,False,False,False
2025-03-19 17:00:00+00:00,6.53,6.6,6.44,6.515,14895.0,,,,,,,,,,,,,,,,,,,,,,8.225173835313845,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.22866220370401,8.037876141825246,-1.2394587684347074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.523889290579994,-13.119310876887951,True,False,False,True,True,0.0,0,0.7759391771019679,0.9748062015503877,False,False,False,False,-0.24110035552726414,-0.2522327157115209,False,False,False,False,-304767.0,-199004.16690313417,False,False,False,False,30617.72011447985,False,False,False,False
