date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_444,Gap_Up_aVWAP_443,Gap_Up_aVWAP_437,Gap_Up_aVWAP_436,Gap_Up_aVWAP_431,Gap_Up_aVWAP_429,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_425,Gap_Up_aVWAP_420,Gap_Down_aVWAP_445,Gap_Down_aVWAP_442,Gap_Down_aVWAP_435,Gap_Down_aVWAP_432,Gap_Down_aVWAP_430,Gap_Down_aVWAP_422,Gap_Down_aVWAP_419,Gap_Down_aVWAP_417,Gap_Down_aVWAP_415,Gap_Down_aVWAP_409,aVWAP_OB_bear_366,aVWAP_OB_bear_250,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-31 17:00:00+00:00,256.46,338.35,256.045,315.03,42772.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,23.682187295879114,292.56874911537255,0.9484449474198632,0.0,0.0,0.0,0.0,42.63857645607921,-14.605895365778942,True,False,False,True,True,4.484839500007453,0,0.8323546195902286,0.8408715768029504,False,False,False,False,-0.09198282182908316,-0.21583786746975836,False,False,False,False,-92201.0,-71397.96716479828,False,True,False,False,5874.417480863042,False,False,False,False
2024-06-03 17:00:00+00:00,298.29,305.06,297.84,303.46,13087.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,22.720402249087513,293.20905679113304,0.4511778927364121,0.0,0.0,0.0,0.0,50.82754737184764,-7.8700437805780865,True,False,True,False,True,0.5840395633140645,0,0.8775441161367493,0.8681077031819201,False,False,False,False,-0.06625609355884554,-0.14104698051430195,False,False,False,False,-105288.0,-71923.39403046032,False,False,False,False,5986.240465655863,False,False,False,False
2024-06-04 17:00:00+00:00,300.08,301.63,297.28,298.03,4842.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,21.84351872662325,293.3463613841271,0.214417771902491,0.0,0.0,0.0,0.0,54.782512784705034,-4.892667634472652,True,False,True,False,True,0.0,0,0.8789793145100405,0.867178016004832,False,False,False,False,-0.07831245417761505,-0.1096797173459585,False,False,False,False,-110130.0,-72515.74451060822,False,False,False,False,5968.500303397633,False,False,False,False
2024-06-05 17:00:00+00:00,303.81,304.87,299.665,301.73,4941.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,20.93789911374293,293.54992135939864,0.3906828758780413,0.0,0.0,0.0,0.0,58.02798473539179,-2.210392792808719,True,False,True,False,True,0.04516460113169174,0,0.8847452729669693,0.8607684852425072,False,False,False,False,-0.061321453144712885,-0.08550058524533569,False,False,False,False,-105189.0,-73022.30661121894,False,False,False,False,5952.570066135654,False,False,False,False
2024-06-06 17:00:00+00:00,296.11,297.75,293.8,294.83,4561.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,19.787638042406083,293.59437674260647,0.062444201513364,0.0,0.0,0.0,0.0,58.188437931936306,-2.0168959645652436,True,False,True,False,True,0.0,0,0.8784436290621377,0.864812535108583,False,False,False,False,-0.10061413752813202,-0.09305736138673384,False,False,False,False,-109750.0,-73591.72821414578,False,False,False,False,5930.995336428125,False,False,False,False
2024-06-07 17:00:00+00:00,289.795,291.74,289.21,291.53,2169.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,18.354956286252737,293.5719130520044,-0.1112458684270332,0.0,0.0,0.0,0.0,57.364638735235665,-2.0168959645652436,True,False,True,False,True,0.0,0,0.8760190804009027,0.8684024035111753,False,False,False,False,-0.1329154970488534,-0.11298642921779362,False,False,False,False,-111919.0,-74185.94948214352,False,False,False,False,5872.669827336215,False,False,False,False
2024-06-10 17:00:00+00:00,291.26,293.08,290.34,291.46,2769.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,16.508720919998385,293.55446766057827,-0.1268703778280658,0.0,0.0,0.0,0.0,56.79431184678219,-2.0168959645652436,True,False,True,False,True,0.0,0,0.8770200669499318,0.8740271525845443,False,False,False,False,-0.1253664400889626,-0.11917643465337811,False,False,False,False,-114688.0,-74813.88824986223,False,False,False,False,5824.550915284491,False,False,False,False
2024-06-11 17:00:00+00:00,286.98,287.635,284.21,285.78,2968.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.600733559309532,293.4663368155396,-0.565141341974045,0.0,0.0,0.0,0.0,54.66888577774333,-2.0168959645652436,True,False,True,False,False,0.0,0,0.8605962738907232,0.8867103709238152,False,False,False,False,-0.1608805418589548,-0.14002848825616646,False,False,False,False,-117656.0,-75478.10703668607,False,False,False,False,5780.263304194808,False,False,False,False
2024-06-12 17:00:00+00:00,287.215,289.84,287.215,289.13,1596.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.331174333759726,293.4394833494639,-0.3232635956571817,0.0,0.0,0.0,0.0,54.22295918516595,-2.0168959645652436,True,False,True,False,False,0.0,0,0.8726287757186633,0.8728415778977581,False,False,False,False,-0.14485079776545,-0.14243964301080825,False,False,False,False,-116060.0,-76107.2836717762,False,False,False,False,5715.391004904966,False,False,False,False
2024-06-13 17:00:00+00:00,286.45,287.615,284.75,287.0,1938.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.140269330956153,293.389997004834,-0.48629117439627445,0.0,0.0,0.0,0.0,53.20871342275512,-2.0168959645652436,True,False,True,False,False,0.0,0,0.8643411797691172,0.8775066131922523,False,False,False,False,-0.15927708954054187,-0.15085836627567506,False,False,False,False,-117998.0,-76756.75214198121,False,False,False,False,5656.826803278533,False,False,False,False
2024-06-14 17:00:00+00:00,286.67,287.65,285.12,285.18,2449.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.002270523133001,293.3249810958061,-0.6264275982656212,0.0,0.0,0.0,0.0,51.89583792564394,-2.0168959645652436,True,False,False,False,False,0.0,0,0.8630728522252574,0.8844740355992211,False,False,False,False,-0.15802880964327065,-0.15444358795947286,False,False,False,False,-120447.0,-77434.12032582646,False,False,False,False,5607.093054390493,False,False,False,False
2024-06-17 17:00:00+00:00,291.31,292.29,290.34,291.25,4401.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.931376072758523,293.30495992762036,-0.15891270318472728,0.0,0.0,0.0,0.0,53.097685624433225,-2.0168959645652436,True,False,True,False,False,0.0,0,0.8741262180689187,0.8756632135501524,False,False,False,False,-0.1277793295463876,-0.14111145875293024,False,False,False,False,-116046.0,-78032.7541192245,False,False,False,False,5588.393937268161,False,False,False,False
2024-06-18 17:00:00+00:00,293.12,296.04,292.685,295.78,2085.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.919906708305902,293.3245872595683,0.19004879801903893,0.0,0.0,0.0,0.0,55.28559525988227,-0.7535125488318073,True,False,True,False,True,0.0,0,0.8759849641580357,0.8636533662012427,False,False,False,False,-0.10919958292034056,-0.1251555208366354,False,False,False,False,-113961.0,-78589.7811871435,False,False,False,False,5534.077752194236,False,False,False,False
2024-06-19 17:00:00+00:00,295.78,295.78,295.78,295.78,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.921491170954594,293.3245872595683,0.1900254938029925,0.0,0.0,0.0,0.0,56.74420168351497,1.039831155323597,True,False,True,False,True,0.0,0,0.8768720958216857,0.8682390111754943,False,False,False,False,-0.10058377355032967,-0.11286964719348253,False,False,False,False,-113961.0,-79138.1721764901,False,False,False,False,5448.278097121457,False,False,False,False
