date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_199,Gap_Up_aVWAP_182,Gap_Up_aVWAP_173,Gap_Up_aVWAP_158,Gap_Up_aVWAP_152,Gap_Up_aVWAP_138,Gap_Up_aVWAP_134,Gap_Up_aVWAP_112,Gap_Down_aVWAP_24,aVWAP_OB_bull_42,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-03-17 00:00:00+00:00,43.4265718831,43.4789561677,43.3916490268,43.4440333113,2562032,,,,,,,,,42.757443966894726,42.934826115484604,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.81727312531581,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.73747724080629,29.923237203579305,True,False,True,False,True,20.0,0,1.4378962319299355,0.5042801759526997,False,False,False,False,0.3428281782521635,0.34234142340770846,False,False,False,False,3752018,-15329423.498624781,False,False,False,False,2304086.8059429964,False,False,False,False
2023-03-24 00:00:00+00:00,43.4989531966,43.5164789634,43.4113243626,43.4551387796,2445038,,,,,,,,,42.77630629260404,42.95889310080524,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.83785179886824,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6893881830691,31.181114822414543,True,False,True,False,True,20.0,0,1.4697572378061743,0.47454326106842354,False,False,False,False,0.3428281804280542,0.3425848019178813,False,False,False,False,6197056,-13734869.461689612,False,False,False,False,2314527.635132404,False,False,False,False
2023-03-31 00:00:00+00:00,43.463901663,43.4989531966,43.420087246,43.4989531966,2538892,,,,,,,,,42.79448411005362,42.98107174977124,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.85735190264944,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.92278965781173,31.181114822414543,True,False,True,False,True,20.0,0,1.4927717195846704,0.4692535810807877,False,False,False,False,0.33958992120408993,0.3410873615609856,False,False,False,False,3658164,-12446496.612675566,False,False,False,False,2331147.217715189,False,False,False,False
2023-04-07 00:00:00+00:00,43.5778191472,43.595344914,43.4595202213,43.463901663,2004788,,,,,,,,,42.809879272341036,43.00005273241482,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.87393066611907,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.02367971463303,31.181114822414543,True,False,True,False,True,20.0,0,1.492873280801131,0.4268146309176353,False,False,False,False,0.3428281848433493,0.34195777320216747,False,False,False,False,5662952,-11105055.9746996,False,False,False,False,2306972.4608473973,False,False,False,False
2023-04-14 00:00:00+00:00,43.5778191472,43.6128706808,43.5340047302,43.5602933804,1453092,,,,,,,,,42.82109821824407,43.01376102604445,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.885971356640084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.09574404093397,31.607720683754096,True,False,True,False,True,20.0,0,1.5433095684399154,0.4186768214377816,False,False,False,False,0.34282818772528983,0.3423929804637287,False,False,False,False,5662952,-9862981.309907038,False,False,False,False,2243722.0563401827,False,False,False,False
2023-04-21 00:00:00+00:00,43.6216335642,43.639159331,43.5690562638,43.595344914,1010728,,,,,,,,,42.82906363948836,43.023488779937274,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.89451840052546,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.37106310309646,32.25000965420104,True,False,True,False,True,20.0,0,1.5585235029320208,0.3996767321124711,False,False,False,False,0.34282818864540116,0.34261058455456495,False,False,False,False,6673680,-8638043.43509911,False,False,False,False,2152389.163277947,False,False,False,False
2023-04-28 00:00:00+00:00,43.6860914259,43.70368196,43.6333198236,43.6421150906,1755602,,,,,,,,,42.843633837419645,43.04142708122459,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.9101996248255,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.86559831141079,33.09410276447994,True,False,True,False,True,20.0,0,1.5619005934581442,0.3809178166776443,False,False,False,False,0.34282819220276395,0.34271938837866445,False,False,False,False,8429282,-7373797.10657325,False,False,False,False,2122997.521553654,False,False,False,False
2023-05-05 00:00:00+00:00,43.7564535622,43.8004298975,43.6772961588,43.70368196,1732254,,,,,,,,,42.858702857997535,43.06004609767656,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.92643940012394,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.50242215281531,34.05391018867007,True,False,True,False,True,20.0,0,1.5590582300250317,0.3604911929587172,False,False,False,False,0.34282819249790525,0.3427737904382848,False,False,False,False,10161536,-6074883.54312338,False,False,False,False,2094053.556994124,False,False,False,False
2023-05-12 00:00:00+00:00,43.7828393634,43.8092251645,43.7388630281,43.7388630281,940729,,,,,,,,,42.866967308495255,43.07020733530198,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.93532943427178,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.05584061694832,34.90948088555581,True,False,True,False,True,20.0,0,1.5978857155481692,0.3934334461350944,False,False,False,False,0.3428281918569319,0.34280099114760837,False,False,False,False,11102265,-4802502.169558685,False,False,False,False,2008622.1083278926,False,False,False,False
2023-05-19 00:00:00+00:00,43.7652488293,43.8180204316,43.7564535622,43.7916346304,1667617,,,,,,,,,42.88130377806315,43.08760135814823,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.950674546343386,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.74786242599896,34.90948088555581,True,False,True,False,True,20.0,0,1.5698613702897861,0.3954227859993839,False,False,False,False,0.3428281899792911,0.34281459056344976,False,False,False,False,9434648,-3747898.4532950786,False,False,False,False,1983362.4706739746,False,False,False,False
