date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_864,Gap_Up_aVWAP_840,Gap_Up_aVWAP_654,Gap_Up_aVWAP_612,Gap_Up_aVWAP_594,Gap_Up_aVWAP_570,Gap_Up_aVWAP_528,Gap_Up_aVWAP_516,Gap_Up_aVWAP_474,Gap_Down_aVWAP_858,Gap_Down_aVWAP_822,Gap_Down_aVWAP_798,Gap_Down_aVWAP_774,Gap_Down_aVWAP_756,Gap_Down_aVWAP_744,Gap_Down_aVWAP_726,Gap_Down_aVWAP_690,Gap_Down_aVWAP_648,Gap_Down_aVWAP_642,aVWAP_OB_bull_775,aVWAP_OB_bear_660,aVWAP_OB_bear_408,aVWAP_OB_bear_377,aVWAP_OB_bear_254,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-09-10 17:00:00+00:00,21.27,21.345,21.02,21.07,11163.0,,,,21.70908281992327,22.632729126039827,22.767011449143403,22.922649912778095,23.24922360209521,23.275585706280527,23.326851749297152,,,21.110966446244223,20.950514089669987,20.897800273212752,20.8740341069581,20.96083545009101,20.991296819360585,21.771515951724645,21.864076577812313,20.96006807998577,21.511833913678636,23.568593793212987,23.769782427417276,24.588579993298794,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3005150683526788,21.76355972995479,-2.3079033399444717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.66683268927297,16.98558981837536,True,False,True,False,False,0.0,0,1.0180652680652682,0.9249708624708626,False,False,False,False,0.03197962473477676,0.08827563040503698,False,False,False,False,-488071.0,-458889.3156331137,False,False,False,False,17544.733290353022,False,False,False,False
2025-09-10 18:00:00+00:00,21.065,21.205,21.01,21.205,13079.0,,,,21.706914646970755,22.6283279523037,22.76260824296075,22.91820106132575,23.24451897107707,23.27088737267961,23.322487323248897,,,21.112338228299283,20.95385860548808,20.90148456296896,20.87736076630096,20.96262332136227,20.99232594822842,21.76915953883569,21.861448621614404,20.96332158199714,21.510345275479725,23.56439921659876,23.765538113802076,24.58425559316461,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3027889432341491,21.762811147063847,-1.842244109397642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.83218950964519,15.099291846881854,True,False,True,False,False,0.4642491049881592,0,1.0136966341250186,0.9296226140171938,False,False,False,False,-0.011232259622137275,0.03852168539144985,False,False,False,False,-474992.0,-459138.9696543058,False,False,False,False,17475.49711530879,False,False,False,False
2025-09-10 19:00:00+00:00,21.205,21.39,21.175,21.33,27763.0,,,,21.70363678543816,22.62005577899915,22.754244414484326,22.909664978268346,23.23534773972025,23.261718326388973,23.313948319020763,,,21.129292118931765,20.96629891787196,20.91389808954993,20.888248755310478,20.969586971941126,20.996756314176253,21.765459611313027,21.85714345720021,20.975704909120363,21.508558717278795,23.55612154286582,23.757114481995544,24.57553230476236,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3021335991120821,21.764228266856616,-1.4372061503015183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9418887229781,14.856217821264522,True,False,True,False,False,1.7378808943215311,0,1.0143421630323433,0.9329723401141519,False,False,False,False,0.06373280343891298,0.05112724441518142,False,False,False,False,-447229.0,-458954.31896199094,False,False,False,False,17634.993284063694,False,False,False,False
2025-09-11 14:00:00+00:00,21.18,22.28,21.155,22.25,16665.0,,,,21.70455389899639,22.61735889856417,22.751308444247446,22.90646557407468,23.231567032422806,23.257915529582885,23.310364295588744,,,21.16901445323322,20.98600384758374,20.931980002329816,20.903639666804878,20.98096778022206,21.004495278489497,21.76606779243208,21.857316392566954,20.995659389992404,21.51050357606959,23.55248720848454,23.75330601378253,24.571267576109943,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3371956819543149,21.77173937718724,1.4183474119266917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.928535986424606,14.856217821264522,True,False,True,False,True,10.070355912165027,0,1.0080217733849022,0.9149119037387193,False,False,False,False,0.25517075510025544,0.15314899975771842,False,False,False,False,-430564.0,-458514.15897808404,False,False,False,False,17619.954628496813,False,False,False,False
2025-09-11 15:00:00+00:00,22.25,22.825,22.13,22.75,48990.0,,,,21.716554244541516,22.61682863466872,22.74948879167152,22.903360098877197,23.22611274566418,23.2523208604675,23.30489519874093,,,21.35417523559488,21.078904913364763,21.0160798140043,20.975235340095498,21.036352867846702,21.04312485986862,21.776989612554978,21.86673814294662,21.08999209866869,21.52592570262182,23.546197879767856,23.746224092525768,24.56194335234153,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.3979164994584242,21.81278802720336,2.35529809412832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.60994005988204,10.353937015005258,True,False,True,False,True,13.922745094659394,0,1.0286601722433997,0.9018777354228433,False,False,False,False,0.34282821939612346,0.24798860957692093,False,False,False,False,-381574.0,-457321.28829625325,False,False,False,False,18106.311921078257,False,False,False,False
2025-09-11 16:00:00+00:00,22.75,22.96,22.65,22.76,24059.0,,,,21.723828492431384,22.617743621604617,22.7496856826875,22.902851099314493,23.224358502300976,23.250486118304803,23.30303819227394,,,21.44178672151603,21.126858716075095,21.05975116591679,21.012772855282947,21.065895528536686,21.064062294761275,21.78371731866924,21.872707528186695,21.138636887849138,21.534911835776633,23.543832036282915,23.74342575711079,24.557901558040104,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4527219280583253,21.834340719550973,2.0446530708576014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42775323407898,13.937580349030178,True,False,True,False,True,13.996611168149293,0,1.05800398066534,0.8936593687802104,False,False,False,False,0.34282822409164465,0.29540841683428276,False,False,False,False,-357515.0,-455773.90398158267,False,False,False,False,18198.60165873596,False,False,False,False
2025-09-11 17:00:00+00:00,22.76,23.04,22.69,22.99,13928.0,,,,21.728450643166738,22.618624682228848,22.750126124683373,22.902860991678192,23.223620431264212,23.24969802695085,23.302212339944248,,,21.49176675158819,21.15527346052961,21.085703410717727,21.03518288647479,21.083674368348372,21.07675931748336,21.78801820464861,21.876563170703268,21.167447395484174,21.54053401010429,23.542680101134405,23.742010561165046,24.55572399211212,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5113863598197639,21.847234562560253,2.2346419991383986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66955297296737,17.044938331721582,True,False,True,False,True,15.680316509331874,0,1.0601333144234861,0.8852645014891503,False,False,False,False,0.3428282248186876,0.31911832082648517,False,False,False,False,-343587.0,-454034.57213690697,False,False,False,False,18132.39078030594,False,False,False,False
2025-09-11 18:00:00+00:00,23.0,23.185,22.8,22.89,22344.0,,,,21.736112615472354,22.62027848207173,22.751059076482026,22.903090758347876,23.22263536651563,23.24863054351109,23.301066751650602,,,21.56787381976508,21.200300132588396,21.126986358743537,21.071009472967187,21.112277956082423,21.097331893382993,21.795165018815283,21.882996121416014,21.213071473119054,21.549795238003362,23.540990201542346,23.739890009887976,24.55235167865489,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5568081899191653,21.859282954821225,1.8511168905910131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.49520171192354,18.046964058465903,True,False,True,False,True,14.583369595860958,0,1.0609997175939005,0.882660265461734,False,False,False,False,0.34282822625350867,0.33097327353999695,False,False,False,False,-365931.0,-452668.6252820712,False,False,False,False,18197.68704727794,False,False,False,False
2025-09-11 19:00:00+00:00,22.9,23.065,22.795,23.04,23313.0,,,,21.74405957571014,22.622029039136233,22.752062395505494,22.903364327754264,23.221647510964413,23.247556806416647,23.29990845553023,,,21.639721605927008,21.24515473174288,21.168350315762265,21.10715285763122,21.141336701567873,21.11841649321867,21.802582073019927,21.889678382580865,21.258476061324945,21.55938640919495,23.539262472401262,23.73771315561682,24.548866577469177,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6054725427306293,21.87995284513226,1.915936847666167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.59956218285139,19.491699260623676,True,False,True,False,True,15.681683752900902,0,1.0624293785310739,0.8858757062146893,False,False,False,False,0.3253269056502418,0.3281500895951194,False,False,False,False,-342618.0,-450962.4140373879,False,True,False,False,18276.99422483952,False,True,False,False
2025-09-12 14:00:00+00:00,22.41,22.41,22.075,22.165,11785.0,,,,21.74559743467193,22.620996087543386,22.750805900104837,22.901873840458375,23.21969069787999,23.24557613210322,23.298015021102756,,22.216666666666672,21.65432296386649,21.25746779846577,21.180131667240428,21.117744598198527,21.14978798268054,21.12464296131804,21.80390312923322,21.89069448652331,21.27085564919074,21.561627913706378,23.53725422289485,23.735551529013446,24.546278284591427,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6199663969394029,21.877210866308747,0.46420118108333724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.47974335140631,27.857433811902254,True,False,True,False,False,6.827287476139233,0,1.041845049026378,0.8889656124844635,False,False,False,False,0.14274882417222934,0.23544945688367436,False,False,False,False,-354403.0,-449465.36885851366,False,False,False,False,18176.343151586192,False,False,False,False
2025-09-12 15:00:00+00:00,22.165,22.28,22.055,22.09,9528.0,,,,21.74663668100064,22.620010604915347,22.749652310093776,22.900542143551764,23.21799632485456,23.243864019953616,23.296383200509023,,22.18313783449851,21.66409465687409,21.266436151696606,21.188789552204486,21.125586739376065,21.156050669654885,21.12928338477279,21.804772086483936,21.89132343339706,21.279857617705893,21.5632227732144,23.535543077323,23.733722297858684,24.54412264950474,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6306014789277894,21.87593367800547,0.3394637170190374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.51456145938848,22.326352115158045,True,False,True,False,False,6.134386029287132,0,1.0384933774834437,0.8962472406181013,False,False,False,False,0.12359121763646487,0.1795203372600696,False,False,False,False,-363931.0,-448139.25461264525,False,False,False,False,18042.260312026716,False,False,False,False
2025-09-12 16:00:00+00:00,22.095,22.32,22.02,22.25,9506.0,,,,21.74781171241423,22.61914401351471,22.74860945242987,22.899314119239698,23.216397274635373,23.242246119288758,23.294837058021443,,22.1873107498621,21.67453961520898,21.27575530897271,21.197763144215234,21.133709053125333,21.162564875826064,21.134120322324396,21.805775402334522,21.892084965557473,21.289216679929083,21.564955698746495,23.533907257443996,23.73196437300575,24.542024987232086,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6443870402625627,21.876402648556127,0.5797716715277932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65878189696312,19.681503007719556,True,False,True,False,False,7.380838542874958,0,1.0388751033912325,0.896057347670251,False,False,False,False,0.12422827596023449,0.15187430661015205,False,False,False,False,-354425.0,-446686.32043260423,False,False,False,False,17909.915190910022,False,False,False,False
2025-09-12 17:00:00+00:00,22.255,22.48,22.055,22.24,20156.0,,,,21.750622519107576,22.61758472661434,22.746656798345946,22.896951688597838,23.213227285001736,23.2390334495387,23.29175632955724,,22.215393755108714,21.697847329514392,21.296192962704207,21.217414039190523,21.15150595129207,21.176918770501636,21.14481954491848,21.80821882147031,21.89401156579212,21.309748903060427,21.56895455869453,23.530611285300623,23.72839941746904,24.537706217718167,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6586375030022559,21.880576043781794,0.5457083062835759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.66590957561132,17.662004565264283,False,False,True,False,False,7.2858541093537,0,1.037598126979755,0.8972593306707064,False,False,False,False,0.14915720591987647,0.15051575626501426,False,False,False,False,-374581.0,-445568.4084879127,False,False,False,False,17944.73821120599,False,False,False,False
2025-09-12 18:00:00+00:00,22.24,22.28,22.02,22.035,9516.0,,,,21.75155857074759,22.616554597364836,22.7454650466384,22.89558761936959,23.211509202784814,23.23729822442803,23.290102698383762,,22.199076171110857,21.705503141719543,21.30412308786545,21.225168840546033,21.158626250795198,21.182664139668887,21.149144329859748,21.80899035057486,21.89455077538059,21.3176906742986,21.57042824506727,23.528882408879397,23.726555005469372,24.53554208973254,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6675757742871584,21.881551483750982,0.229859324078785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.500220045823,14.435999471362436,False,False,True,False,False,5.347965114450449,0,1.027655476059439,0.9072647220693452,False,False,False,False,0.11913457338763166,0.13482516482632295,False,False,False,False,-384097.0,-444615.3633950768,False,False,False,False,17814.060099404345,False,False,False,False
2025-09-12 19:00:00+00:00,22.02,22.11,21.86,22.04,28720.0,,,,21.753513345334355,22.612809198705225,22.741285042114786,22.890934363885773,23.205848684819774,23.23159250244505,23.28468366865239,,22.136060015020572,21.721253228451616,21.32405940924986,21.245015691783884,21.177117982799473,21.19761062394917,21.160522355120836,21.810470301273885,21.895358090246237,21.337589377472604,21.573947198949092,23.52329306807022,23.720642138585028,24.528743060389093,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6759796161439519,21.88309809862522,0.23211040337252983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4364912548931,12.18261042147131,False,True,True,False,False,5.38876633106592,0,1.0185363174516,0.915419469998627,False,False,False,False,0.07732100615534482,0.10607308549083388,False,False,False,False,-355377.0,-443231.82287732366,False,False,False,False,17983.144438948464,False,False,False,False
2025-09-15 14:00:00+00:00,22.07,22.43,21.91,22.35,12300.0,,,,21.755092462040054,22.611810465821932,22.740054679367066,22.889461446658053,23.203894531572015,23.229612980293894,23.2827848603249,,22.147442641684155,21.73252028011648,21.33498856220529,21.255658399268427,21.18689753797847,21.205600881724568,21.166588807882377,21.811834091844126,21.896418335969734,21.34854526671957,21.576223192727312,23.52126692032938,23.71845481374591,24.52610272316349,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6904013521334588,21.886709853670986,0.6710446682894945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78674503028746,12.18261042147131,False,True,True,False,False,7.8763653836503345,0,1.0217805608494421,0.9062074598420911,False,False,False,False,0.12422827596023449,0.1151506807255342,False,False,False,False,-343077.0,-441679.0349257372,False,False,False,False,17895.033672453137,False,False,False,False
2025-09-15 15:00:00+00:00,22.355,22.355,22.045,22.095,11354.0,,,,21.75634262493844,22.61073699697476,22.738780122072434,22.88797418774731,23.20197767630191,23.22767426853595,23.28093030515757,,22.149208877862936,21.74118449547295,21.34412980097847,21.26463854709099,21.195212490200962,21.212406516646794,21.17178934568082,21.812890681295425,21.89720154564514,21.357694081119252,21.578102674789296,23.519308366556604,23.71635348290676,24.523601989694253,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6986594757560671,21.889444429792878,0.2942142450507456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.19762048615469,11.214884212708839,False,True,True,False,False,5.462856458150622,0,1.031535836177475,0.9077133105802049,False,False,False,False,0.13188095708642336,0.12351581890597878,False,False,False,False,-354431.0,-440326.3522137102,False,False,False,False,17793.622297686423,False,False,False,False
2025-09-15 16:00:00+00:00,22.1,22.14,21.95,22.015,5365.0,,,,21.756743627048124,22.61008413956917,22.738043824353156,22.887147565774995,23.200961140273545,23.226648874868772,23.279954291765353,,22.144026346950863,21.743939784574096,21.3477065135438,21.268216626294492,21.198572376722275,21.21515455101529,21.17390872572762,21.813204227535582,21.897391158971576,21.361261424838066,21.578790807747662,23.518296230119624,23.715279498010386,24.52235715549736,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7048783551054559,21.890177456584937,0.17708380816487054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.40727336362298,9.031583022862414,False,True,False,False,False,4.719653641681081,0,1.0302905701754388,0.9098135964912283,False,False,False,False,0.09248712695042215,0.10800147292820046,False,False,False,False,-359796.0,-439077.81962124957,False,False,False,False,17600.930479117644,False,False,False,False
2025-09-15 17:00:00+00:00,22.015,22.16,21.96,22.0,4262.0,,,,21.757067074195604,22.60957105869108,22.73746415269186,22.886495877927086,23.200158314690583,23.225838962156075,23.27918313754188,,22.140406842895864,21.746129022090592,21.350542075022855,21.271053859583144,21.201238237965885,21.21733779443531,21.17559470870325,21.813458281938725,21.897546877468617,21.36408951329389,21.579341965743843,23.517495870960474,23.714429828924768,24.52137112236299,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7067025445597052,21.8907934228601,0.15452976359090279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06763776980058,7.269447998971259,False,True,False,False,False,4.57902114404596,0,1.0230389467910044,0.9136039495337355,False,False,False,False,0.09628502427527637,0.10214324860173842,False,False,False,False,-364058.0,-437914.7216426255,False,False,False,False,17394.125355410393,False,False,False,False
2025-09-15 18:00:00+00:00,22.0,22.13,21.935,22.035,9331.0,,,,21.757756014907496,22.60843785391526,22.736186306419516,22.885061392125053,23.19839444308269,23.22405968872186,23.27748909207029,,22.132827718481096,21.750704578566953,21.356610477972986,21.277140072965576,21.20697024126357,21.222039145538307,21.17923479971346,21.813996203153167,21.897870715582116,21.37013937934284,21.580526658470784,23.515738735743902,23.712565219136444,24.519209292854196,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7103046421679632,21.89213388387676,0.20113358077907292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.58643947003907,6.277897484775075,False,True,False,False,False,4.873566884107685,0,1.0225996438843996,0.9123407752362689,False,False,False,False,0.08932424817923279,0.0957337483904856,False,False,False,False,-354727.0,-436624.9895241352,False,False,False,False,17269.115659977673,False,False,False,False
2025-09-15 19:00:00+00:00,22.04,22.115,21.82,21.835,22696.0,,,,21.758754288706708,22.605176392342532,22.732614025783057,22.881144285392466,23.193723339981947,23.21935624373194,23.273025185105784,,22.102056845220762,21.75714443388845,21.368602431890924,21.289450220683385,21.21877538612713,21.23173112326522,21.18683716789087,21.814642980573613,21.898017568874447,21.38204122243151,21.582688783010568,23.511166278430128,23.707751142503888,24.513734689483027,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7114028268025464,21.893697490212933,-0.0825094981372963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.13947505639289,3.4813457746658827,False,True,False,True,False,2.9719417289520003,0,1.0211459754433838,0.9113233287858117,False,False,False,False,0.07290454036091304,0.08431914437569932,False,False,False,False,-377423.0,-435707.1292214354,False,False,False,False,17353.253401683447,False,False,False,False
2025-09-16 14:00:00+00:00,21.785,21.85,21.71,21.79,12328.0,,,,21.758834518782248,22.603056733006802,22.730353361682287,22.878720890297522,23.19092237529427,23.216541216372516,23.270362564294388,,22.078506985441752,21.75766456320898,21.373315087563412,21.294508437712626,21.223784025740276,21.235841044299516,21.190129214010454,21.814542700315705,21.89765941532439,21.386676703544033,21.58337382438269,23.5084755849133,23.704942769460246,24.510610471707825,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7113361238414309,21.83154711746121,-0.058407152496126664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05560612027246,1.128453033690242,False,True,False,True,False,2.5480556145687387,0,1.0189812918202925,0.9183394783558652,False,False,False,False,0.025728095206413015,0.05502361979105617,False,False,False,False,-389751.0,-434994.6310939713,False,False,False,False,17275.34249623099,False,False,False,False
