date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_894,Gap_Up_aVWAP_846,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_768,Gap_Up_aVWAP_762,Gap_Up_aVWAP_738,Gap_Up_aVWAP_708,Gap_Up_aVWAP_702,Gap_Up_aVWAP_678,Gap_Down_aVWAP_882,Gap_Down_aVWAP_870,Gap_Down_aVWAP_864,Gap_Down_aVWAP_804,Gap_Down_aVWAP_780,Gap_Down_aVWAP_756,Gap_Down_aVWAP_714,Gap_Down_aVWAP_630,Gap_Down_aVWAP_606,Gap_Down_aVWAP_594,aVWAP_OB_bull_804,aVWAP_OB_bull_632,aVWAP_OB_bull_540,aVWAP_OB_bull_361,aVWAP_OB_bear_101,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-26 15:00:00+00:00,44.26,44.26,44.26,44.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.29330937308562,41.89731989892567,"rgba(239, 83, 80, 1.0)",0.0,0.0,2.025937660789565,42.072886360258735,1.0795562381168642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.413631591678,-19.742053140564703,False,True,False,True,True,1.4887149026967599,0,1.0064741460090292,0.8916432404804495,False,False,False,False,0.09882921104760171,0.09866072477059021,False,False,False,False,820056.0,772296.387997339,False,False,False,False,14523.177823103913,False,False,False,False
2025-05-26 16:00:00+00:00,44.26,44.26,44.26,44.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.29330937308562,41.89731989892567,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.9326717212144617,42.072886360258735,1.1316529422632176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.796298761202515,-18.973122612320736,False,True,False,True,True,1.4887149026967386,0,1.0052374001888895,0.8941358289688329,False,False,False,False,0.09882921104760171,0.09874496790909595,False,False,False,False,820056.0,773036.8470981554,False,False,False,False,14298.012275458892,False,False,False,False
2025-05-26 17:00:00+00:00,44.26,44.26,44.26,44.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.29330937308562,41.89731989892567,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.878163594175591,42.072886360258735,1.164495812038825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.051410207552195,-18.30553690608464,False,True,False,True,True,1.4887149026967386,0,1.0012071046732192,0.8940334540438005,False,False,False,False,0.09882921104760171,0.09878708947834883,False,False,False,False,820056.0,773765.8262129126,False,False,False,False,14076.337666537049,False,False,False,False
2025-05-26 18:00:00+00:00,44.26,44.26,44.26,44.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.29330937308562,41.89731989892567,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.843334151149183,42.072886360258735,1.1864987356620929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.221484505118646,-17.71420862740206,False,True,False,True,True,1.4887149026967386,0,0.9996537995499389,0.8947550631815819,False,False,False,False,0.09882921104760171,0.09880815026297526,False,False,False,False,820056.0,774483.5033258906,False,False,False,False,13858.099873257404,False,False,False,False
2025-05-26 19:00:00+00:00,44.26,44.26,44.26,44.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.29330937308562,41.89731989892567,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.8084736907376273,42.072886360258735,1.209369896251683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33486737016295,-17.18513377564704,False,True,False,True,True,1.4887149026967386,0,1.0037626881344064,0.8966573328666431,False,False,False,False,0.09882921104760171,0.09881868065528848,False,False,False,False,820056.0,775190.0536619233,False,False,False,False,13643.245611656514,False,False,False,False
2025-05-27 14:00:00+00:00,45.325,45.74,45.31,45.49,32141.0,,,,,,,,,,,,,,,,,,,,,,,,42.34150988525061,41.91402172147443,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.7552079956826174,42.11796274607537,1.9211610602384552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.123333152938166,-4.3686716538220765,True,False,True,False,True,8.35924806137228,0,1.0030063562961686,0.8880776498883352,False,False,False,False,0.18485540188377128,0.1418370412695299,False,False,False,False,852197.0,776383.9598066995,False,False,False,False,13930.032501398273,False,False,False,False
2025-05-27 15:00:00+00:00,45.51,46.01,45.5,45.975,10563.0,,,,,,,,,,,,,,,,,,,,,,,,42.3585793196724,41.91995450329083,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.7018330525462302,42.13417606045241,2.256874688031865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97623423504446,4.9565371693358315,True,False,True,False,True,10.774457288523564,0,1.0037622915775968,0.8834544677212484,False,False,False,False,0.20075408357608485,0.17129556242280736,False,False,False,False,862760.0,777723.1232205492,False,False,False,False,13877.830447113029,False,False,False,False
2025-05-27 16:00:00+00:00,45.975,46.3,45.97,46.095,10445.0,,,,,,,,,,,,,,,,,,,,,,,,42.37670763343757,41.92624232240118,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.6271970096175161,42.152129284058574,2.423105925488533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.54945135131759,11.035497410883018,True,False,True,False,True,11.356802213555778,0,1.0099061073305189,0.8877594969420276,False,False,False,False,0.22724667879081953,0.19927112060681346,False,False,False,False,873205.0,779203.4623954244,False,False,False,False,13824.608269638407,False,False,False,False
2025-05-27 17:00:00+00:00,46.095,46.375,46.095,46.34,8659.0,,,,,,,,,,,,,,,,,,,,,,,,42.3921943178465,41.931624526627246,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.5695135184778632,42.44513695583046,2.4815734291647478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.24242936170451,15.50341137802404,True,False,True,False,True,12.536731499873884,0,1.0243372446762273,0.8793568013906995,False,False,False,False,0.23426939070158018,0.21677025565419683,False,False,False,False,881864.0,780795.0986373557,False,False,False,False,13744.521319721533,False,False,False,False
2025-05-27 18:00:00+00:00,46.35,46.355,46.165,46.19,6257.0,,,,,,,,,,,,,,,,,,,,,,,,42.40321301033029,41.93547559947465,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.5163891439983708,42.454735451411025,2.4632625229299228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.88340959097533,16.54581331603761,True,False,True,False,True,11.534444501234024,0,1.026130128037627,0.8703945649333681,False,False,False,False,0.2360285946239709,0.22639942513908387,False,False,False,False,875607.0,782265.0505964665,False,False,False,False,13628.435717865385,False,False,False,False
