date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_858,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_792,Gap_Up_aVWAP_786,Gap_Up_aVWAP_768,Gap_Up_aVWAP_756,Gap_Up_aVWAP_744,Gap_Up_aVWAP_714,Gap_Down_aVWAP_870,Gap_Down_aVWAP_864,Gap_Down_aVWAP_852,Gap_Down_aVWAP_732,Gap_Down_aVWAP_630,Gap_Down_aVWAP_588,Gap_Down_aVWAP_570,Gap_Down_aVWAP_534,Gap_Down_aVWAP_450,Gap_Down_aVWAP_396,aVWAP_OB_bull_685,aVWAP_OB_bull_366,aVWAP_OB_bear_337,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-07-28 19:00:00+00:00,35.865,35.87,35.665,35.715,94968.0,,,,,,,,,,,,,,,,,,,35.899475693726224,35.70540166242055,,35.374002591137,35.17454350313749,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.9367532485391328,35.23016216037828,0.5175726269194482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.341952313270646,-20.53057965549946,False,True,False,True,False,3.293530765718071,0,1.0550441480368218,0.8716888972383995,False,False,False,False,0.12880281630094745,0.1482742515167491,False,False,False,False,-323372.0,-355254.55610571813,False,False,False,False,38180.93323858558,False,False,False,False
2025-07-29 14:00:00+00:00,35.9,36.145,35.9,36.125,18860.0,,,,,,,,,,,,,,,,,,,35.91227763239714,35.707516424472026,,35.37724618357503,35.17820776061104,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.9260145252105233,35.234075829360386,0.9621060430310947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.253082904278507,-20.53057965549946,False,True,False,True,True,8.650955770615973,0,1.06311673803761,0.8521690560417056,False,False,False,False,0.178539845059161,0.16340704828795505,False,False,False,False,-304512.0,-354467.8498095054,False,False,False,False,37881.38388604936,False,False,False,False
2025-07-29 15:00:00+00:00,36.125,36.3,36.115,36.155,37294.0,,,,,,,,,,,,,,,,,,,35.95079951277569,35.71319274301595,,35.38481127520962,35.18645090030478,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.913932449649586,35.243605836272266,0.9972226766619084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.04673571347372,-24.465173231507457,False,True,False,True,True,9.019023567927249,0,1.0737155621742376,0.8434475055845125,False,False,False,False,0.2151648042120605,0.18928592625000779,False,False,False,False,-267218.0,-353115.13895974564,False,False,False,False,37872.27715913387,False,False,False,False
2025-07-29 16:00:00+00:00,36.155,36.245,36.05,36.17,26678.0,,,,,,,,,,,,,,,,,,,35.969231918334756,35.71687990064585,,35.38990557518358,35.19206284730397,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.9010119436070164,35.24862238624656,1.0226031078621403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.18867109229474,-20.79092747593773,False,True,False,True,True,9.205244440563796,0,1.0666542543288036,0.8519828709737484,False,False,False,False,0.20322861910456383,0.19625727267728582,False,False,False,False,-240540.0,-351369.78796812164,False,False,False,False,37698.722474496135,False,False,False,False
2025-07-29 17:00:00+00:00,36.165,36.175,36.035,36.07,22861.0,,,,,,,,,,,,,,,,,,,35.97814210130157,35.71955301320556,,35.393870127811404,35.19651569678327,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8858729750522355,35.25169054955738,0.9237322657849086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.28178840294853,-19.707259312500852,False,True,False,True,True,7.618992454521994,0,1.0629188384214452,0.8564780342516757,False,False,False,False,0.1948084422787301,0.19553285747800797,False,False,False,False,-263401.0,-350005.9307903213,False,False,False,False,37468.68026558922,False,False,False,False
2025-07-29 18:00:00+00:00,36.065,36.08,35.975,36.015,21942.0,,,,,,,,,,,,,,,,,,,35.98105552307275,35.72160936202999,,35.39725687707156,35.20041798207057,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8666877145746128,35.253622445283796,0.8784912280542754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.143704723627465,-19.465636905354867,False,True,False,True,True,6.7546573452689,0,1.0615671641791053,0.8600746268656719,False,False,False,False,0.17952307956023078,0.18752796851911938,False,False,False,False,-285343.0,-349003.40473155666,False,False,False,False,37227.956540541316,False,False,False,False
2025-07-29 19:00:00+00:00,36.015,36.22,35.97,36.19,78485.0,,,,,,,,,,,,,,,,,,,36.00834135954566,35.731185134358654,,35.41102948063636,35.21579516744776,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8470520315447658,35.264516820959756,1.0925930693447976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.655250134748556,-15.677860474847677,False,True,False,True,True,8.99656680555518,0,1.0652376514445487,0.8533084808946882,False,False,False,False,0.19283122481953993,0.19017959666932965,False,False,False,False,-206858.0,-346799.60000703635,False,False,False,False,37867.60062518409,False,False,False,False
2025-07-30 14:00:00+00:00,36.41,36.485,36.3,36.365,44749.0,,,,,,,,,,,,,,,,,,,36.04453863908453,35.739858459135235,,35.421385495234475,35.226742933318356,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8282764749278408,35.36008421453787,1.2132612912248646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.762081618838536,-10.53159986237575,False,True,False,False,True,11.137317683282124,0,1.0720921590486814,0.8463396506874771,False,False,False,False,0.2523674859092146,0.22127354128927212,False,False,False,False,-162109.0,-343936.17985188845,False,False,False,False,37974.28898758433,False,False,False,False
2025-07-30 15:00:00+00:00,36.36,36.405,36.27,36.305,31785.0,,,,,,,,,,,,,,,,,,,36.062641147021424,35.74534995923707,,35.428182847677036,35.23402027775731,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8113885329183075,35.36525235706764,1.1581968499756656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.968742598786676,-8.148623079009404,False,False,True,False,True,10.170871177669238,0,1.065711094564409,0.8534996276991811,False,False,False,False,0.24124001220222574,0.23125677674574893,False,False,False,False,-193894.0,-341609.9445053475,False,False,False,False,37878.33101878458,False,False,False,False
2025-07-30 16:00:00+00:00,36.305,36.31,36.2,36.255,42939.0,,,,,,,,,,,,,,,,,,,36.0779849305882,35.75171264602086,,35.436485415525155,35.24306494737575,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7913166129824108,35.37028751103209,1.1180259259735505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.442245884817915,-7.244933380281793,False,False,True,False,True,9.365962847445473,0,1.065925786400453,0.8623092861179131,False,False,False,False,0.2246571337223297,0.2279569552340393,False,False,False,False,-236833.0,-339985.4957533266,False,False,False,False,37956.79100298947,False,False,False,False
