date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_444,Gap_Up_aVWAP_442,Gap_Up_aVWAP_439,Gap_Up_aVWAP_438,Gap_Up_aVWAP_436,Gap_Up_aVWAP_432,Gap_Up_aVWAP_423,Gap_Up_aVWAP_421,Gap_Up_aVWAP_420,Gap_Up_aVWAP_419,Gap_Down_aVWAP_445,Gap_Down_aVWAP_428,Gap_Down_aVWAP_427,Gap_Down_aVWAP_426,Gap_Down_aVWAP_418,Gap_Down_aVWAP_412,Gap_Down_aVWAP_402,Gap_Down_aVWAP_396,Gap_Down_aVWAP_395,Gap_Down_aVWAP_393,aVWAP_OB_bull_405,aVWAP_OB_bull_235,aVWAP_OB_bear_169,aVWAP_OB_bear_114,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-21 17:00:00+00:00,4.285,4.365,4.24,4.315,37912.0,,,,,,,,,,,,,,,,,,,,,,,,4.345393580648677,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8658308356925374,3.5672828018810865,0.8635834706913044,0.0,0.0,0.0,0.0,59.3441263773485,14.20150519785453,False,False,True,False,False,14.516754639439444,0,,,False,False,False,False,,,False,False,False,False,-863.0,-53310.85682245272,False,False,False,False,25068.45507873338,False,False,False,False
2024-05-22 17:00:00+00:00,4.16,4.18,4.07,4.075,35275.0,,,,,,,,,,,,,,,,,,,,,,,,4.295258082824723,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8546309303009274,3.572716619057299,0.5877196379562816,0.0,0.0,0.0,0.0,55.880820877871145,10.734256411585754,False,False,True,False,False,10.913580588655929,0,,,False,False,False,False,,,False,False,False,False,-36138.0,-53044.61098024415,False,False,False,False,25226.696085264644,False,False,False,False
2024-05-23 17:00:00+00:00,4.025,4.03,3.87,3.93,35271.0,,,,,,,,,,,,,,,,,,,,,,,,4.233828652496309,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8416775291422867,3.609382034407061,0.3809273201337165,0.0,0.0,0.0,0.0,52.02748958407306,7.069597122272377,False,True,False,False,False,8.833270821896502,0,,,False,False,False,False,,,False,False,False,False,-71409.0,-53329.33018985277,False,False,False,False,25382.42172735356,False,False,False,False
2024-05-24 17:00:00+00:00,4.065,4.14,4.055,4.14,15035.0,,,,,,,,,,,,,,,,,,,,,,,,4.225368470750806,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8309860201987562,3.6175394270114283,0.6287236611557059,0.0,0.0,0.0,0.0,51.93829967542962,6.908391985835522,False,True,False,False,False,11.119194820238565,0,,,False,False,False,False,,,False,False,False,False,-56374.0,-53376.53437295583,False,False,False,False,25221.996584293815,False,False,False,False
2024-05-27 17:00:00+00:00,4.14,4.14,4.14,4.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.225368470750806,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8209118913338601,3.6175394270114283,0.6364392799081646,0.0,0.0,0.0,0.0,51.878839736333994,6.609984602445444,False,True,False,False,False,11.119194820238565,0,,,False,False,False,False,,,False,False,False,False,-56374.0,-53423.006708258836,False,False,False,False,24830.957877560577,False,False,False,False
2024-05-28 17:00:00+00:00,4.135,4.14,4.015,4.075,20346.0,,,,,,,,,,,,,,,,,,,,,,,,4.212626681434937,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8066507052996126,3.6234728046077143,0.5597555328790993,0.0,0.0,0.0,0.0,50.981089820229215,5.459837518958231,False,True,False,False,False,10.170874325648416,0,,,False,False,False,False,,,False,False,False,False,-76720.0,-53784.20040270443,False,False,False,False,24761.42364690072,False,False,False,False
2024-05-29 17:00:00+00:00,4.195,4.31,4.175,4.215,21267.0,,,,,,,,,,,,,,,,,,,,,,,,4.214328831562388,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7907725154373876,3.635533495651849,0.7327853371682242,0.0,0.0,0.0,0.0,52.204328706780885,5.459837518958231,False,True,True,False,False,11.702767569030243,0,,,False,False,False,False,,,False,False,False,False,-55453.0,-53810.073264678,False,False,False,False,24707.246536096056,False,False,False,False
2024-05-30 17:00:00+00:00,4.4,4.44,4.305,4.335,8512.0,,,,,,,,,,,,,,,,,,,,,,,,4.218968940031809,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7756647947882359,3.6418189787779243,0.8936605423884436,0.0,0.0,0.0,0.0,54.44024865119104,5.459837518958231,False,False,True,False,True,12.984466306050763,0,,,False,False,False,False,,,False,False,False,False,-46941.0,-53703.576004760514,False,False,False,False,24456.15744251317,False,False,False,False
2024-05-31 17:00:00+00:00,4.26,4.36,4.26,4.315,14343.0,,,,,,,,,,,,,,,,,,,,,,,,4.22369093789067,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7585941715549358,3.650164520579419,0.8764046763737039,0.0,0.0,0.0,0.0,55.590868847019024,1.5243532945934035,False,False,True,False,True,12.6825150038479,0,,,False,False,False,False,,,False,False,False,False,-61284.0,-53821.10195817507,False,False,False,False,24299.36430386955,False,False,False,False
2024-06-03 17:00:00+00:00,4.125,4.145,4.045,4.065,16044.0,,,,,,,,,,,,,,,,,,,,,,,,4.216214231953013,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.7364759832295119,3.652513087749155,0.5600819600960428,0.0,0.0,0.0,0.0,52.579517993236585,1.5243532945934035,False,True,True,False,False,9.005279689003824,0,,,False,False,False,False,0.25594896862484273,0.25594896862484273,False,False,False,False,-77328.0,-54185.54998983127,False,False,False,False,24171.374159623512,False,False,False,False
2024-06-04 17:00:00+00:00,3.935,3.945,3.865,3.865,27254.0,,,,,,,,,,,,,,,,,,,,,,,,4.188986946412778,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.709267005213613,3.648805593203125,0.30481385036621417,0.0,0.0,0.0,0.0,48.24691711289944,2.695718220325844,False,True,False,True,False,6.224544579428983,0,0.8858295751246142,0.8371706622359363,False,False,False,False,0.21007300503952198,0.23301098683218235,False,False,False,False,-104582.0,-54966.89030006644,False,False,False,False,24219.166808311522,False,False,False,False
2024-06-05 17:00:00+00:00,3.975,4.005,3.95,3.955,31456.0,,,,,,,,,,,,,,,,,,,,,,,,4.169654844026845,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6771641782642722,3.6497174138052015,0.4508250672345193,0.0,0.0,0.0,0.0,46.778323532890454,1.3960202735955676,False,True,False,True,False,7.254269927633533,0,0.8852808722446078,0.8307655842616732,False,False,False,False,0.22746571161080834,0.23023834922149533,False,False,False,False,-73126.0,-55248.42688456154,False,False,False,False,24331.365772523743,False,False,False,False
2024-06-06 17:00:00+00:00,3.865,3.9,3.77,3.79,17260.0,,,,,,,,,,,,,,,,,,,,,,,,4.153500311399729,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.6412348517782996,3.647192262427698,0.22270738587626948,0.0,0.0,0.0,0.0,43.944115479416865,-1.2313816388604977,False,True,False,True,False,5.013152214479227,0,0.8842701936702881,0.8318375059045817,False,False,False,False,0.19339819088750376,0.21181827005449955,False,False,False,False,-90386.0,-55793.19545999469,False,False,False,False,24221.732194655156,False,False,False,False
2024-06-07 17:00:00+00:00,3.665,3.68,3.58,3.585,17110.0,,,,,,,,,,,,,,,,,,,,,,,,4.129917181138425,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.6006479459341868,3.64080809400419,-0.09291315217500964,0.0,0.0,0.0,0.0,40.13197342802469,-4.722933670131141,False,True,False,True,False,2.341602718294947,0,0.8828786453433678,0.83725305738476,False,False,False,False,0.14513530911587885,0.1784767895851892,False,False,False,False,-107496.0,-56594.78932883198,False,False,False,False,24111.472780784534,False,False,False,False
2024-06-10 17:00:00+00:00,3.59,3.655,3.585,3.62,24878.0,,,,,,,,,,,,,,,,,,,,,,,,4.0993911093999404,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.5509584850533252,3.632907161899901,-0.02342674130638279,0.0,0.0,0.0,0.0,38.223409656289256,-6.441267167889023,False,True,False,True,False,2.761803491318169,0,0.8825059101654849,0.8418439716312055,False,False,False,False,0.1427998684348172,0.1606383290100032,False,False,False,False,-82618.0,-56998.24995939272,False,False,False,False,24123.356923718104,False,False,False,False
2024-06-11 17:00:00+00:00,3.555,3.63,3.545,3.625,14353.0,,,,,,,,,,,,,,,,,,,,,,,,4.08271891323175,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.5048143624546982,3.628564896950573,-0.007061797792832684,0.0,0.0,0.0,0.0,37.04943809027443,-7.589507128989602,False,True,False,True,False,2.822651705960169,0,0.872688477951636,0.8485064011379799,False,False,False,False,0.135220225430723,0.1479292772203631,False,False,False,False,-68265.0,-57172.92825459593,False,False,False,False,23971.878521799994,False,False,False,False
2024-06-12 17:00:00+00:00,3.565,3.685,3.55,3.555,21841.0,,,,,,,,,,,,,,,,,,,,,,,,4.059220212323249,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.449291363960774,3.622536534397452,-0.1503179001752369,0.0,0.0,0.0,0.0,35.501127296652754,-9.180960807333427,False,True,False,True,False,1.8973270190231943,0,0.8802565930149678,0.8439059158945116,False,False,False,False,0.14221625091497178,0.14507276406766745,False,False,False,False,-90106.0,-57683.51851421459,False,False,False,False,23938.841645493016,False,False,False,False
2024-06-13 17:00:00+00:00,3.455,3.475,3.435,3.44,9963.0,,,,,,,,,,,,,,,,,,,,,,,,4.046074650172072,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.39063631389021264,3.618472015606513,-0.45687512722299617,0.0,0.0,0.0,0.0,33.29152183584871,-11.40993364411979,False,True,False,True,False,0.3945253785889342,0,0.8766603415559774,0.8517552182163186,False,False,False,False,0.10446849931082221,0.12477063168924482,False,False,False,False,-100069.0,-58340.657762056224,False,False,False,False,23722.161930059014,False,False,False,False
2024-06-14 17:00:00+00:00,3.205,3.295,3.175,3.225,37350.0,,,,,,,,,,,,,,,,,,,,,,,,3.9851258623418833,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.37915141143452946,3.5967034578418398,-0.9803562551316629,0.0,0.0,0.0,0.0,30.02351885292265,-14.5754732301832,False,True,False,True,False,0.0,0,0.8704139228598309,0.8560677328316088,False,False,False,False,0.05381270222181321,0.08929166695552901,False,False,False,False,-137419.0,-59566.678571946824,False,False,False,False,23933.44624122089,False,False,False,False
2024-06-17 17:00:00+00:00,3.175,3.23,3.14,3.16,26990.0,,,,,,,,,,,,,,,,,,,,,,,,3.9436476595820182,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3801020844386382,3.5814235876610163,-1.108711593316844,0.0,0.0,0.0,0.0,27.37784583997315,-17.10704268452141,False,True,False,True,False,0.0,0,0.8770394892409552,0.8557578623788128,False,False,False,False,0.04234764029542323,0.06581965362547612,False,False,False,False,-164409.0,-61192.14091966858,False,False,False,False,23980.834671589553,False,False,False,False
2024-06-18 17:00:00+00:00,3.205,3.24,3.195,3.205,32955.0,,,,,,,,,,,,,,,,,,,,,,,,3.9005947768304887,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3847040748747383,3.5657036339187456,-0.9376132395691221,0.0,0.0,0.0,0.0,26.767056794869564,-17.804331006623634,False,True,False,True,False,0.0,0,0.8776570618800189,0.8488427019367027,False,False,False,False,0.049798476614687094,0.057809065120081604,False,False,False,False,-131454.0,-62281.47206820085,False,False,False,False,24119.96901776646,False,False,False,False
2024-06-19 17:00:00+00:00,3.205,3.205,3.205,3.205,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.9005947768304887,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3890789539829101,3.5657036339187456,-0.9270705347238829,0.0,0.0,0.0,0.0,26.35986409813384,-18.443308458905182,False,True,False,True,False,0.0,0,0.8789099526066351,0.850473933649289,False,False,False,False,0.046932161598613666,0.05237061335934763,False,False,False,False,-131454.0,-63353.914361717114,False,False,False,False,23746.016009739073,False,False,False,False
2024-06-20 17:00:00+00:00,3.045,3.06,3.005,3.055,14077.0,,,,,,,,,,,,,,,,,,,,,,,,3.879456033483453,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.3956340902062616,3.557330814183105,-1.2696853648815178,0.0,0.0,0.0,0.0,24.745160265586396,-20.252757249465652,False,True,False,True,False,0.0,0,0.8772300469483569,0.8488262910798121,False,False,False,False,0.007435133974046663,0.029902873666697145,False,False,False,False,-145531.0,-64627.97770494631,True,False,False,False,23596.108784781878,False,False,False,False
2024-06-21 17:00:00+00:00,3.055,3.08,2.995,3.08,14353.0,,,,,,,,,,,,,,,,,,,,,,,,3.859230958444265,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.4019430621682979,3.549297443833477,-1.1675719473843706,0.0,0.0,0.0,0.0,24.420253225490526,-20.869893658078187,False,True,False,True,False,0.0,0,0.8799059929494712,0.8495887191539363,False,False,False,False,0.008579054883817338,0.01924096427525724,False,False,False,False,-131178.0,-65659.76099634249,False,False,False,False,23452.804772614716,False,False,False,False
