date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_864,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_792,Gap_Up_aVWAP_762,Gap_Up_aVWAP_738,Gap_Up_aVWAP_732,Gap_Down_aVWAP_870,Gap_Down_aVWAP_852,Gap_Down_aVWAP_822,Gap_Down_aVWAP_816,Gap_Down_aVWAP_780,Gap_Down_aVWAP_768,Gap_Down_aVWAP_720,Gap_Down_aVWAP_708,Gap_Down_aVWAP_684,Gap_Down_aVWAP_636,aVWAP_OB_bull_726,aVWAP_OB_bull_620,aVWAP_OB_bull_498,aVWAP_OB_bull_319,aVWAP_OB_bull_202,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-16 15:00:00+00:00,13.615,13.625,13.54,13.615,60225.0,,,,,,,,,,,,,,,,,,,,,,,,,13.322010596071344,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8664071666245516,12.766850150429548,0.9789275553603416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.382569711664736,0.337888399694279,False,True,False,False,True,12.760880543484038,0,1.0217158176943704,0.928686327077748,False,False,False,False,0.22127780029637667,0.22414787035053063,False,False,False,False,1690597.0,718327.8771282937,False,False,False,False,68711.25240574018,False,False,False,False
2025-05-16 16:00:00+00:00,13.615,13.755,13.605,13.73,177926.0,,,,,,,,,,,,,,,,,,,,,,,,,13.34021193972118,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8719445856018408,12.79273759443691,1.0749105172964244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.599450355255215,-2.860116156270024,False,True,True,False,True,14.25192636363714,0,1.0179007323026856,0.9273121779224297,False,False,False,False,0.25074936116435526,0.23744861575744294,False,False,False,False,1868523.0,736160.3596534365,False,False,False,False,70404.50430642637,False,False,False,False
2025-05-16 17:00:00+00:00,13.735,13.775,13.715,13.765,33998.0,,,,,,,,,,,,,,,,,,,,,,,,,13.343996311208612,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8756075111107258,12.797844327281993,1.1045538788162645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47701793502557,-0.006531412824443805,False,True,True,False,True,14.700552950829248,0,1.0240897892143446,0.9318368464275935,False,False,False,False,0.2706338033550723,0.25404120955625764,False,False,False,False,1902521.0,754243.470356484,False,False,False,False,69840.06237919496,False,False,False,False
2025-05-16 18:00:00+00:00,13.765,13.85,13.765,13.845,115425.0,,,,,,,,,,,,,,,,,,,,,,,,,13.358409982944407,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8775727325418149,12.869423289207045,1.111676188898076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.962706754524824,3.334581483391027,False,True,True,False,True,15.721597879409561,0,1.0201046543651893,0.9325254750757364,False,False,False,False,0.28995237828613013,0.2719967939211939,False,False,False,False,2017946.0,773835.7576377788,False,False,False,False,70546.80559812217,False,False,False,False
2025-05-16 19:00:00+00:00,13.845,13.845,13.71,13.71,151604.0,,,,,,,,,,,,,,,,,,,,,,,,,13.373579747317912,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.8758923532115245,12.885854837900686,0.9409206040873921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1731459698734,3.334581483391027,False,True,True,False,True,13.15133167321898,0,1.0159867695700113,0.9313671444321938,False,False,False,False,0.28065400214450287,0.2763253980328484,False,False,False,False,1866342.0,790773.8389147124,False,False,False,False,71803.50628652338,False,False,False,False
2025-05-19 14:00:00+00:00,13.41,13.515,13.385,13.415,11938.0,,,,,,,,,,,,,,,,,,,,,,,,,13.37377420077024,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8696488003993589,12.885464014244363,0.6089078551162993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.35070828324847,6.510127765833666,False,True,False,False,False,7.913462589104306,0,1.0032608695652177,0.9404891304347822,False,False,False,False,0.18181471554899736,0.22907005679092288,False,False,False,False,1854404.0,807264.2290090579,False,False,False,False,70875.3589022362,False,False,False,False
2025-05-19 15:00:00+00:00,13.415,13.535,13.415,13.535,9636.0,,,,,,,,,,,,,,,,,,,,,,,,,13.374067331053801,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.864474672537876,12.88544438535557,0.7513876754046501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.46141042609963,4.873741028971494,False,True,False,True,False,9.528240967521473,0,1.0095108695652175,0.9377717391304344,False,False,False,False,0.18921426983319847,0.20914216331206067,False,False,False,False,1864040.0,823648.3494895375,False,False,False,False,69925.91147739532,False,False,False,False
2025-05-19 16:00:00+00:00,13.535,13.545,13.475,13.515,19867.0,,,,,,,,,,,,,,,,,,,,,,,,,13.374749917579988,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8590779836440874,12.885651321786806,0.7325862031099739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.85804187742884,3.3360792280363754,False,True,False,True,False,9.183630967120418,0,1.0102869518137525,0.933405522468868,False,False,False,False,0.1996083448773406,0.20437525409470064,False,False,False,False,1844173.0,839470.4370943509,False,False,False,False,69149.80432270702,False,False,False,False
2025-05-19 17:00:00+00:00,13.515,13.555,13.445,13.45,8129.0,,,,,,,,,,,,,,,,,,,,,,,,,13.374969870170993,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8578892124866183,12.885671957410398,0.6578099297389213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.65659044632226,1.1377037645669859,False,True,False,True,False,8.060634029187714,0,1.0086114101184074,0.9332615715823462,False,False,False,False,0.1966343577805429,0.20050480593762177,False,False,False,False,1836044.0,854921.1900076169,False,False,False,False,68203.74534095962,False,False,False,False
2025-05-19 18:00:00+00:00,13.455,13.495,13.435,13.465,8984.0,,,,,,,,,,,,,,,,,,,,,,,,,13.375170971483717,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8545204808851932,12.885649152662808,0.6779835712504466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.583421706381465,-0.08542401482172579,False,True,False,True,False,8.270248977164435,0,1.0080472103004294,0.9366952789699567,False,False,False,False,0.1862520343464541,0.19337842014203793,False,False,False,False,1845028.0,870271.6831857933,False,False,False,False,67285.60975427806,False,False,False,False
2025-05-19 19:00:00+00:00,13.465,13.55,13.465,13.55,20436.0,,,,,,,,,,,,,,,,,,,,,,,,,13.375911559976208,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8502925410736092,12.886154219003807,0.7807263370298406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.056535704892795,-0.08542401482172579,False,True,False,True,False,9.457024014448855,0,1.009612817089453,0.9340453938584776,False,False,False,False,0.19886452332069515,0.19612147173136654,False,False,False,False,1865464.0,885701.0214309748,False,False,False,False,66559.25921545204,False,False,False,False
2025-05-20 14:00:00+00:00,13.41,13.435,13.36,13.36,34709.0,,,,,,,,,,,,,,,,,,,,,,,,,13.37598893034213,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8450015086078604,12.885360734114803,0.5617022704103385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.51957153885698,-1.4718776273703398,False,True,False,True,False,6.164538874933633,0,1.0010573618821046,0.9347079037800684,False,False,False,False,0.16633853612119973,0.18123000392628313,False,False,False,False,1830755.0,900353.0210987116,False,False,False,False,66065.45674699542,False,False,False,False
2025-05-20 15:00:00+00:00,13.365,13.38,13.285,13.315,19383.0,,,,,,,,,,,,,,,,,,,,,,,,,13.375755559049027,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8399637594069924,12.88464292588923,0.5123519548207632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13732389112134,-3.933487272308426,False,True,False,True,False,5.406983029754194,0,0.997106785902157,0.9379274066280902,False,False,False,False,0.14728552712546364,0.1642577655258734,False,False,False,False,1811372.0,914477.3463529951,False,False,False,False,65341.697727662155,False,False,False,False
2025-05-20 16:00:00+00:00,13.315,13.315,13.235,13.25,48875.0,,,,,,,,,,,,,,,,,,,,,,,,,13.374469384484543,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8327727592017402,12.882256815583695,0.441588873258544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.57606757473594,-6.526577188727671,False,True,False,True,False,4.31583667813797,0,0.9992027637523256,0.9407387722561783,False,False,False,False,0.13051942642685005,0.14738859597636172,False,False,False,False,1762497.0,927624.937882406,False,False,False,False,65086.400088473594,False,False,False,False
2025-05-20 17:00:00+00:00,13.255,13.325,13.255,13.285,22718.0,,,,,,,,,,,,,,,,,,,,,,,,,13.37399990771235,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8258947209481978,12.881543016395117,0.48850897502006063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.940593323948505,-7.35477172791947,False,True,False,True,False,4.838971699955579,0,1.0045369629036565,0.9386175607152385,False,False,False,False,0.13488578799997872,0.1411371919881702,False,False,False,False,1785215.0,940920.9078377176,False,False,False,False,64429.525668497256,False,False,False,False
2025-05-20 18:00:00+00:00,13.285,13.305,13.215,13.245,38442.0,,,,,,,,,,,,,,,,,,,,,,,,,13.372912419440487,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8172384999287402,12.880156360491936,0.4464347183103535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.83107100688796,-8.70486819577804,False,True,False,True,False,4.155783749096592,0,1.0026688017080334,0.9359487590072054,False,False,False,False,0.12615800794926854,0.1336475999687194,False,False,False,False,1746773.0,953414.7387239544,False,False,False,False,64026.61829379187,False,False,False,False
2025-05-20 19:00:00+00:00,13.245,13.315,13.23,13.29,121163.0,,,,,,,,,,,,,,,,,,,,,,,,,13.370264499973663,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8094343036293336,12.878334339846253,0.5085844006214262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.597081864573425,-8.70486819577804,False,True,False,True,False,4.844929017445196,0,1.0034629728289828,0.9334043686734145,False,False,False,False,0.1297921847908567,0.13171989237978804,False,False,False,False,1867936.0,967593.3629297846,False,False,False,False,64912.453669081915,False,False,False,False
2025-05-21 14:00:00+00:00,13.295,13.385,13.235,13.35,57783.0,,,,,,,,,,,,,,,,,,,,,,,,,13.369646140761125,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.8024822526173263,12.87882207015887,0.5871505921836461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.01769224324522,-8.70486819577804,False,True,False,True,True,5.7612929531707735,0,1.0058370920668616,0.929158928097638,False,False,False,False,0.14071559565640687,0.13621774401809744,False,False,False,False,1925719.0,982448.0239696328,False,False,False,False,64801.91950366979,False,False,False,False
2025-05-21 15:00:00+00:00,13.345,13.385,13.295,13.345,35344.0,,,,,,,,,,,,,,,,,,,,,,,,,13.369422449724519,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7943828699966768,12.87941752309188,0.5860932989530213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.505595790608986,-8.70486819577804,False,True,False,True,True,5.671689911324904,0,1.0053134962805528,0.9349096705632304,False,False,False,False,0.14947828507438918,0.1428480145462433,False,False,False,False,1890375.0,996524.4111949097,False,False,False,False,64345.207573380336,False,False,False,False
2025-05-21 16:00:00+00:00,13.345,13.48,13.315,13.46,271435.0,,,,,,,,,,,,,,,,,,,,,,,,,13.372251796242951,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7861758852334101,12.890679720777802,0.7241640069552265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9291236815241,-10.08614728522901,False,True,False,True,True,7.431104032682672,0,1.0013326226012798,0.9360341151385926,False,False,False,False,0.16633853612119973,0.15459327533372152,False,False,False,False,2161810.0,1014590.8544321979,False,False,False,False,67555.902029607,False,False,False,False
2025-05-21 17:00:00+00:00,13.465,13.575,13.335,13.485,87673.0,,,,,,,,,,,,,,,,,,,,,,,,,13.373952961390742,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7727400178165675,12.923882266091942,0.7261403848263687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53525029087848,-6.73702587611001,False,True,False,False,True,7.809357004644124,0,0.9970860927152322,0.9380132450331125,False,False,False,False,0.18329302673199502,0.16894315103285829,False,False,False,False,2249483.0,1033736.4690921638,False,False,False,False,67867.79502139603,False,False,False,False
2025-05-21 18:00:00+00:00,13.485,13.505,13.415,13.425,34658.0,,,,,,,,,,,,,,,,,,,,,,,,,13.374488387292196,"rgba(239, 83, 80, 1.0)",0.0,0.0,0.7586100376275043,12.925284928024855,0.6587245715044414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.020543792690844,-6.253854005949989,False,True,False,False,True,6.689438036037405,0,0.9960243837794861,0.9456665783196392,False,False,False,False,0.18477213062620312,0.1768576408295307,False,False,False,False,2214825.0,1052047.919183758,False,False,False,False,67352.91447842865,False,False,False,False
