date,Open,High,Low,Close,Volume,aVWAP_peak_881,aVWAP_peak_880,aVWAP_peak_867,aVWAP_peak_866,aVWAP_peak_865,aVWAP_peak_864,aVWAP_peak_863,aVWAP_peak_837,aVWAP_peak_836,aVWAP_peak_835,aVWAP_valley_875,aVWAP_valley_874,aVWAP_valley_873,aVWAP_valley_872,aVWAP_valley_871,aVWAP_valley_870,aVWAP_valley_869,aVWAP_valley_843,aVWAP_valley_842,aVWAP_valley_829,aVWAP_valley_828,aVWAP_valley_791,aVWAP_valley_790,aVWAP_valley_789,aVWAP_valley_788,aVWAP_valley_775,aVWAP_valley_774,aVWAP_valley_773,aVWAP_valley_772,aVWAP_valley_771,aVWAP_valley_770,aVWAP_valley_769,aVWAP_valley_768,aVWAP_valley_767,aVWAP_valley_766,aVWAP_valley_765,aVWAP_valley_764,aVWAP_valley_763,aVWAP_valley_762,aVWAP_valley_761,aVWAP_valley_743,aVWAP_valley_742,aVWAP_valley_741,aVWAP_valley_740,aVWAP_valley_739,aVWAP_valley_738,aVWAP_valley_737,aVWAP_valley_736,aVWAP_valley_735,aVWAP_valley_734,aVWAP_valley_733,aVWAP_valley_732,aVWAP_valley_731,aVWAP_valley_730,aVWAP_valley_729,aVWAP_valley_728,aVWAP_valley_727,aVWAP_valley_726,aVWAP_valley_725,aVWAP_valley_724,aVWAP_valley_723,aVWAP_valley_722,aVWAP_valley_721,aVWAP_valley_667,aVWAP_valley_654,aVWAP_valley_653,aVWAP_valley_631,aVWAP_valley_630,aVWAP_valley_629,aVWAP_valley_577,aVWAP_valley_525,aVWAP_valley_524,aVWAP_valley_485,aVWAP_valley_484,aVWAP_valley_483,aVWAP_valley_467,aVWAP_valley_463,aVWAP_valley_413,aVWAP_valley_412,aVWAP_valley_411,aVWAP_valley_410,aVWAP_valley_409,aVWAP_valley_408,aVWAP_valley_407,aVWAP_valley_377,aVWAP_valley_360,aVWAP_valley_359,aVWAP_valley_335,aVWAP_valley_334,aVWAP_valley_333,aVWAP_valley_314,aVWAP_valley_313,aVWAP_valley_299,aVWAP_valley_264,aVWAP_valley_263,aVWAP_valley_262,aVWAP_valley_261,aVWAP_valley_260,aVWAP_valley_259,aVWAP_valley_234,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_195,aVWAP_valley_162,aVWAP_valley_161,aVWAP_valley_160,aVWAP_valley_159,aVWAP_valley_158,aVWAP_OB_bull_775,aVWAP_OB_bull_485,aVWAP_OB_bull_202,aVWAP_OB_bear_867,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-07-15 16:00:00+00:00,7.68,7.68,7.67,7.67,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66980930391654,7.669368751059143,7.612427297968726,7.612427297968726,7.610111863267559,7.565640304968664,7.550683141953737,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.5393441079210755,7.529930729378893,7.527749541994824,7.527386613330328,7.526516857047798,7.526516857047798,7.5261776221462435,7.526198526342534,7.526212385046525,7.529756219665346,7.540612792888608,7.540601759938148,7.540601759938148,7.540601759938148,7.540601759938148,7.540601063899481,7.540677728089876,7.540008223167994,7.539776386852626,7.537587160138497,7.535948814877188,7.535948814877188,7.535948814877188,7.535948814877188,7.534779766246242,,7.612427297968726,7.540008223167994,,,7.555883271520678,"rgba(38, 166, 154, 0.75)",0.06647948948750035,7.6448958427981495,0.37762259300397594,64.42746108367615,12.719046364199592,True,False,True,False,False,20.0,0.0,0.0,0.0,0.0,0,1.2444444444444442,0.6962962962962952,False,False,False,False,0.34282792523441113,0.33864074945861966,False,False,False,False,-12564.0,-14373.259837118821,False,False,False,False,97.09952058361324,False,False,False,False
2025-07-15 17:00:00+00:00,7.67,7.67,7.67,7.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66980930391654,7.669368751059143,7.612427297968726,7.612427297968726,7.610111863267559,7.565640304968664,7.550683141953737,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.5393441079210755,7.529930729378893,7.527749541994824,7.527386613330328,7.526516857047798,7.526516857047798,7.5261776221462435,7.526198526342534,7.526212385046525,7.529756219665346,7.540612792888608,7.540601759938148,7.540601759938148,7.540601759938148,7.540601759938148,7.540601063899481,7.540677728089876,7.540008223167994,7.539776386852626,7.537587160138497,7.535948814877188,7.535948814877188,7.535948814877188,7.535948814877188,7.534779766246242,,7.612427297968726,7.540008223167994,,,7.555883271520678,"rgba(38, 166, 154, 0.75)",0.06448011076821121,7.6448958427981495,0.3893317939867254,63.089232956222574,12.719046364199592,True,False,True,False,False,20.0,0.0,0.0,0.0,0.0,0,1.2444444444444442,0.7111111111111097,False,False,False,False,0.3264563295639693,0.3325485395112945,False,False,False,False,-12564.0,-14345.20929700845,False,False,False,False,95.59410165983628,False,False,False,False
2025-07-15 18:00:00+00:00,7.67,7.67,7.67,7.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66980930391654,7.669368751059143,7.612427297968726,7.612427297968726,7.610111863267559,7.565640304968664,7.550683141953737,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.539934969027623,7.5393441079210755,7.529930729378893,7.527749541994824,7.527386613330328,7.526516857047798,7.526516857047798,7.5261776221462435,7.526198526342534,7.526212385046525,7.529756219665346,7.540612792888608,7.540601759938148,7.540601759938148,7.540601759938148,7.540601759938148,7.540601063899481,7.540677728089876,7.540008223167994,7.539776386852626,7.537587160138497,7.535948814877188,7.535948814877188,7.535948814877188,7.535948814877188,7.534779766246242,,7.612427297968726,7.540008223167994,,,7.555883271520678,"rgba(38, 166, 154, 0.75)",0.06228928443120063,7.6448958427981495,0.4030252944963323,62.19708087125352,16.450628029436118,True,False,True,False,False,20.0,0.0,0.0,0.0,0.0,0,1.2444444444444442,0.7111111111111097,False,False,False,False,0.3264563295639693,0.3295024345376319,False,False,False,False,-12564.0,-14317.593648992815,False,False,False,False,94.11202256433495,False,False,False,False
2025-07-15 19:00:00+00:00,7.67,7.69,7.67,7.69,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.671613309619091,7.6712167328334075,7.615405291894161,7.615405291894161,7.613144645404758,7.568965593018146,7.55391378470531,7.542724639560774,7.542724639560774,7.542724639560774,7.542724639560774,7.542724639560774,7.542724639560774,7.542127225479459,7.532563647805938,7.530349973071851,7.529978669178347,7.529082851532671,7.529082851532671,7.5287352175328195,7.528723862073891,7.528736146062001,7.532066576404911,7.541451125513154,7.541438519010677,7.541438519010677,7.541438519010677,7.541438519010677,7.541437679913512,7.54149441189754,7.540813390260042,7.54058134898384,7.53838941793117,7.536736728620561,7.536736728620561,7.536736728620561,7.536736728620561,7.535568364801019,,7.615405291894161,7.540813390260042,,,7.558413966077283,"rgba(38, 166, 154, 1.0)",0.06016396515106626,7.647275820131169,0.7101290575106719,66.57740803029411,12.033452711279608,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.2374100719424457,0.6906474820143866,False,False,False,False,0.3428279323905184,0.33616518346407515,False,False,False,False,-12264.0,-14285.754987768121,False,False,False,False,97.30408423000416,False,False,False,False
2025-07-16 14:00:00+00:00,7.695,7.7,7.695,7.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6720572802798435,7.671663774403472,7.6158441257020835,7.6158441257020835,7.613589250560819,7.569426926926927,7.554357936764866,7.54310714362723,7.54310714362723,7.54310714362723,7.54310714362723,7.54310714362723,7.54310714362723,7.54250873020974,7.532923255504175,7.5307048609180685,7.530332375002303,7.529432923289062,7.529432923289062,7.5290841092825165,7.529068430900828,7.529080505833109,7.532382799466135,7.541567764277748,7.541554939368496,7.541554939368496,7.541554939368496,7.541554939368496,7.541554080437331,7.541608061122662,7.540925399201599,7.540693313410536,7.538500858712727,7.536846080788295,7.536846080788295,7.536846080788295,7.536846080788295,7.535677736320608,,7.6158441257020835,7.540925399201599,,,7.558779995977789,"rgba(38, 166, 154, 1.0)",0.057967605119059434,7.654165035391843,0.7906996418778524,70.93598239975194,15.952066633619822,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.2624113475177308,0.6879432624113457,False,False,False,False,0.3428279551599426,0.3394965693120089,False,False,False,False,-12226.0,-14253.82080191125,False,False,False,False,96.3846410636475,False,True,False,False
2025-07-16 15:00:00+00:00,7.7,7.7,7.7,7.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.673227901131128,7.672841995841996,7.616999954218742,7.616999954218742,7.61475996929052,7.570640882608157,7.5555271890387505,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.543514485812207,7.533871639136439,7.531640865446636,7.531265281061563,7.5303563050382545,7.5303563050382545,7.530004397300594,7.529977399627757,7.529988927274337,7.5332175464807465,7.541877135771612,7.541863732922766,7.541863732922766,7.541863732922766,7.541863732922766,7.541862821512082,7.541909524625217,7.541222512763046,7.540990305741985,7.538796433560889,7.53713610642017,7.53713610642017,7.53713610642017,7.53713610642017,7.535967796979166,,7.616999954218742,7.541222512763046,,,7.559744998837164,"rgba(38, 166, 154, 1.0)",0.05549799119808695,7.660251846009935,0.7162088776906149,73.84169864605715,18.484993199784526,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.2733812949640289,0.697841726618703,False,False,False,False,0.34282795815249567,0.3411622637322523,False,False,False,False,-12226.0,-14222.381719711075,False,False,False,False,96.4406931401801,False,True,False,False
2025-07-16 16:00:00+00:00,7.7,7.7,7.7,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.673227901131128,7.672841995841996,7.616999954218742,7.616999954218742,7.61475996929052,7.570640882608157,7.5555271890387505,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.543514485812207,7.533871639136439,7.531640865446636,7.531265281061563,7.5303563050382545,7.5303563050382545,7.530004397300594,7.529977399627757,7.529988927274337,7.5332175464807465,7.541877135771612,7.541863732922766,7.541863732922766,7.541863732922766,7.541863732922766,7.541862821512082,7.541909524625217,7.541222512763046,7.540990305741985,7.538796433560889,7.53713610642017,7.53713610642017,7.53713610642017,7.53713610642017,7.535967796979166,,7.616999954218742,7.541222512763046,,,7.559744998837164,"rgba(38, 166, 154, 1.0)",0.05271673409886,7.660251846009935,0.7539950011987757,75.77884281026063,20.20410577012862,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.258992805755396,0.697841726618703,False,False,False,False,0.34282795815249567,0.341995110942374,False,False,False,False,-12226.0,-14191.43006514191,False,False,False,False,94.9454885953711,False,True,False,False
2025-07-16 17:00:00+00:00,7.7,7.7,7.7,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.673227901131128,7.672841995841996,7.616999954218742,7.616999954218742,7.61475996929052,7.570640882608157,7.5555271890387505,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.543514485812207,7.533871639136439,7.531640865446636,7.531265281061563,7.5303563050382545,7.5303563050382545,7.530004397300594,7.529977399627757,7.529988927274337,7.5332175464807465,7.541877135771612,7.541863732922766,7.541863732922766,7.541863732922766,7.541863732922766,7.541862821512082,7.541909524625217,7.541222512763046,7.540990305741985,7.538796433560889,7.53713610642017,7.53713610642017,7.53713610642017,7.53713610642017,7.535967796979166,,7.616999954218742,7.541222512763046,,,7.559744998837164,"rgba(38, 166, 154, 1.0)",0.05002224730278542,7.660251846009935,0.7946095214289215,77.07027225306294,21.449841530185992,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.2962962962962958,0.688888888888887,False,False,False,False,0.34282795815249567,0.34241153454743484,False,False,False,False,-12226.0,-14160.958281186222,False,False,False,False,93.4734655163731,False,True,False,False
2025-07-16 18:00:00+00:00,7.7,7.7,7.7,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.673227901131128,7.672841995841996,7.616999954218742,7.616999954218742,7.61475996929052,7.570640882608157,7.5555271890387505,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.543514485812207,7.533871639136439,7.531640865446636,7.531265281061563,7.5303563050382545,7.5303563050382545,7.530004397300594,7.529977399627757,7.529988927274337,7.5332175464807465,7.541877135771612,7.541863732922766,7.541863732922766,7.541863732922766,7.541863732922766,7.541862821512082,7.541909524625217,7.541222512763046,7.540990305741985,7.538796433560889,7.53713610642017,7.53713610642017,7.53713610642017,7.53713610642017,7.535967796979166,,7.616999954218742,7.541222512763046,,,7.559744998837164,"rgba(38, 166, 154, 1.0)",0.048048680269820385,7.660251846009935,0.8272475698990529,77.93122521493115,22.420272467825683,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.2962962962962958,0.6592592592592581,False,False,False,False,0.34282795815249567,0.3426197463499653,False,False,False,False,-12226.0,-14130.958927989535,False,False,False,False,92.02426450061537,False,True,False,False
2025-07-16 19:00:00+00:00,7.7,7.7,7.655,7.655,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.673227901131128,7.672841995841996,7.616999954218742,7.616999954218742,7.61475996929052,7.570640882608157,7.5555271890387505,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.5441155172783185,7.543514485812207,7.533871639136439,7.531640865446636,7.531265281061563,7.5303563050382545,7.5303563050382545,7.530004397300594,7.529977399627757,7.529988927274337,7.5332175464807465,7.541877135771612,7.541863732922766,7.541863732922766,7.541863732922766,7.541863732922766,7.541862821512082,7.541909524625217,7.541222512763046,7.540990305741985,7.538796433560889,7.53713610642017,7.53713610642017,7.53713610642017,7.53713610642017,7.535967796979166,,7.616999954218742,7.541222512763046,,,7.559744998837164,"rgba(38, 166, 154, 0.75)",0.045274637412004826,7.660251846009935,-0.11599973650019536,62.930884331937996,19.651367152964795,True,False,True,False,False,11.51431423047146,0.0,0.0,0.0,0.0,0,1.2152777777777777,0.6805555555555544,False,False,False,False,0.2775108560077336,0.31006530117884945,False,False,False,False,-12226.0,-14101.42468104396,False,False,False,False,90.59753171766009,False,False,False,False
2025-07-17 14:00:00+00:00,7.655,7.685,7.655,7.675,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67295751068006,7.672639701663798,7.62051278755944,7.62051278755944,7.618370342173159,7.575128524046435,7.560009262117938,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.547479835798421,7.537674559805707,7.535407632574738,7.535021940386364,7.534080487033522,7.534080487033522,7.5337182781040255,7.533647155313822,7.533656484597462,7.53658122772919,7.543132086661123,7.543116390985184,7.543116390985184,7.543116390985184,7.543116390985184,7.543115270809213,7.543132702374895,7.542429434986432,7.542197143208965,7.540001299745493,7.538321293278125,7.538321293278125,7.538321293278125,7.538321293278125,7.53715499291351,,7.62051278755944,7.542429434986432,,,7.563049942413852,"rgba(38, 166, 154, 0.5)",0.04238125966942045,7.67010664812408,0.11546027451964277,58.000646337141134,15.719432892116217,False,True,True,False,False,15.73040825801067,0.0,0.0,0.0,0.0,0,1.2066666666666668,0.7133333333333327,False,False,False,False,0.2562660795930443,0.28316569038594686,False,False,False,False,-11726.0,-14064.59639141537,False,False,False,False,96.94485680730877,False,False,False,False
2025-07-17 15:00:00+00:00,7.675,7.675,7.675,7.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67295751068006,7.672639701663798,7.62051278755944,7.62051278755944,7.618370342173159,7.575128524046435,7.560009262117938,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.548086846420492,7.547479835798421,7.537674559805707,7.535407632574738,7.535021940386364,7.534080487033522,7.534080487033522,7.5337182781040255,7.533647155313822,7.533656484597462,7.53658122772919,7.543132086661123,7.543116390985184,7.543116390985184,7.543116390985184,7.543116390985184,7.543115270809213,7.543132702374895,7.542429434986432,7.542197143208965,7.540001299745493,7.538321293278125,7.538321293278125,7.538321293278125,7.538321293278125,7.53715499291351,,7.62051278755944,7.542429434986432,,,7.563049942413852,"rgba(38, 166, 154, 0.5)",0.039126383347678685,7.67010664812408,0.12506527456005886,54.713821007276565,13.09145302276599,False,True,True,False,False,15.73040825801067,0.0,0.0,0.0,0.0,0,1.2333333333333327,0.7266666666666657,False,False,False,False,0.27040297258869633,0.2767843314873216,False,False,False,False,-11726.0,-14028.339083021334,False,False,False,False,95.44183577153653,False,False,False,False
