date,Open,High,Low,Close,Volume,aVWAP_peak_399,aVWAP_peak_382,aVWAP_peak_274,aVWAP_peak_230,aVWAP_valley_322,aVWAP_OB_bull_322,aVWAP_OB_bear_230,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-27 17:00:00+00:00,49.93,50.005,49.665,49.675,30478.0,,,50.641583820231496,52.239912471836625,,,52.239912471836625,51.44074814603406,,"rgba(239, 83, 80, 0.5)",2.1875867076767053,51.74414517139586,-0.9458574437917323,38.25683142952296,-7.1702224639916,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8445717440817168,0.8854303264545517,False,False,False,False,-0.29295619690685976,-0.26922686937636187,False,False,False,False,450259.0,415190.9002551275,False,False,False,False,21239.1354246484,False,False,False,False
2025-02-28 17:00:00+00:00,49.6,49.71,49.155,49.6,36139.0,,,50.568107616300736,52.16835027765565,,,52.16835027765565,51.36822894697819,,"rgba(239, 83, 80, 0.5)",2.220209463781123,51.68472059043686,-0.9389747338913151,36.46204075575692,-8.903006648653239,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8393016702178838,0.8923637363392668,False,False,False,False,-0.3310520773294619,-0.3001394733529119,False,False,False,False,414120.0,415174.29715039686,False,False,False,False,21470.141076979435,False,False,False,False
2025-03-03 17:00:00+00:00,50.31,50.355,48.895,49.355,27686.0,,,50.520028556236156,52.11690726862669,,,52.11690726862669,51.31846791243142,,"rgba(239, 83, 80, 1.0)",2.2432567119426774,51.64400273985541,-1.0203926851836402,34.404578324433814,-10.900436787640807,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8339020062781489,0.8903371093216866,False,False,False,False,-0.31272274788033927,-0.3064311106166256,False,False,False,False,386434.0,414728.7111480651,False,False,False,False,21566.5109827627,False,False,False,False
2025-03-04 17:00:00+00:00,48.05,48.66,48.045,48.49,35920.0,,,50.399217031689574,52.024989343890596,,,52.024989343890596,51.212103187790085,,"rgba(239, 83, 80, 1.0)",2.267302129392141,51.55939339950871,-1.3537646173038276,30.631474440714886,-14.44560901141012,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8233706652273644,0.904331399271353,False,False,False,False,-0.34282825441539394,-0.32462968251600977,False,False,False,False,350514.0,413733.13423104084,False,False,False,False,21789.04569620824,False,False,False,False
2025-03-05 17:00:00+00:00,48.56,48.915,48.4,48.59,50216.0,,,50.2691345077068,51.91175616430522,,,51.91175616430522,51.09044533600601,,"rgba(239, 83, 80, 1.0)",2.2813568745791115,51.46204902033969,-1.2589214131040123,28.885373142157153,-16.06814057965932,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8346275913295966,0.8981700317374566,False,False,False,False,-0.3168778637241217,-0.3207537731200657,False,False,False,False,400730.0,413531.53525071463,False,False,False,False,22229.77366991044,False,False,False,False
2025-03-06 17:00:00+00:00,48.35,48.425,47.95,48.14,32530.0,,,50.173516353361165,51.83254210498104,,,51.83254210498104,51.003029229171105,,"rgba(239, 83, 80, 1.0)",2.3031437621627893,51.39238366093233,-1.4121496514304208,26.605079765100747,-18.24317944273997,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8202262412788724,0.9052360631307996,False,False,False,False,-0.34282825441539394,-0.3317910137677298,False,False,False,False,368200.0,412828.72075070353,False,False,False,False,22389.467101384693,False,False,False,False
2025-03-07 17:00:00+00:00,47.85,48.425,47.67,48.35,39998.0,,,50.06602394329939,51.73903306954774,,,51.73903306954774,50.902528506423565,,"rgba(239, 83, 80, 1.0)",2.3085398996917164,51.31181418541581,-1.2829815875442887,26.767437085664305,-18.24317944273997,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8205647885420887,0.9067017970544518,False,False,False,False,-0.34282825441539394,-0.3373096340915619,False,False,False,False,408198.0,412756.9266305376,False,False,False,False,22662.467611440745,False,False,False,False
2025-03-10 17:00:00+00:00,48.01,48.01,47.46,47.855,36841.0,,,49.95923975187656,51.648479873614846,,,51.648479873614846,50.8038598127457,,"rgba(239, 83, 80, 1.0)",2.31975301574418,51.23271156899126,-1.4560651698981375,25.552291644697142,-19.576476267830074,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8099307003969585,0.9123999192625982,False,False,False,False,-0.34282825441539394,-0.3400689442534779,False,False,False,False,371357.0,412115.0673029323,False,False,False,False,22882.289819015306,False,False,False,False
2025-03-11 17:00:00+00:00,47.1,47.64,47.025,47.57,46543.0,,,49.81756958748928,51.529637120808076,,,51.529637120808076,50.67360335414868,,"rgba(239, 83, 80, 1.0)",2.3392928842277003,50.89492791122545,-1.4213388728035015,24.074039028865467,-21.202897029738118,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7985587509174615,0.914592646960699,False,False,False,False,-0.34282825441539394,-0.34144859933443594,False,False,False,False,324814.0,410761.56238350703,False,False,False,False,23249.122534999562,False,False,False,False
2025-03-12 17:00:00+00:00,47.49,47.835,47.445,47.57,36961.0,,,49.724485721565486,51.44437395676493,,,51.44437395676493,50.58442983916521,,"rgba(239, 83, 80, 1.0)",2.341009998016018,50.83007604396871,-1.3925938149480739,23.088537284977686,-22.37359877038185,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.801627534685165,0.9156216648879398,False,False,False,False,-0.31941112386864917,-0.33042986160154253,False,False,False,False,324814.0,409429.0420364759,False,False,False,False,23461.70978251895,False,False,False,False
2025-03-13 17:00:00+00:00,47.345,47.365,47.03,47.235,22235.0,,,49.6620972093276,51.38958644097123,,,51.38958644097123,50.52584182514941,,"rgba(239, 83, 80, 1.0)",2.3451594617213214,50.78001657526376,-1.5116313551922629,21.627419216989573,-23.98864758728058,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7923015236567759,0.9228815824645812,False,False,False,False,-0.34282825441539394,-0.3366290580084682,False,False,False,False,302579.0,407772.45223746076,False,False,False,False,23442.691026200824,False,False,False,False
