date,Open,High,Low,Close,Volume,aVWAP_peak_414,aVWAP_peak_386,aVWAP_peak_326,aVWAP_peak_283,aVWAP_peak_240,aVWAP_valley_403,aVWAP_valley_336,aVWAP_OB_bear_240,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-06 17:00:00+00:00,6.265,6.415,6.255,6.4,112764.0,,,5.316296215031701,5.4194289364622055,5.8664390926548755,,5.484979155760441,5.8664390926548755,5.534054748049594,5.484979155760441,"rgba(38, 166, 154, 0.75)",0.6052285920614331,5.762863737590706,1.05272003135077,66.28370792693933,22.723247047158168,True,False,True,False,False,7.575485547174495,0.0,0.0,0.0,0.0,0,0.8369242199108472,0.9257057949479942,False,False,False,False,0.04326835136291701,0.0389897547249466,False,False,False,False,632358.0,-229162.75387697513,False,False,False,False,162923.88634866595,False,False,False,False
2025-06-09 17:00:00+00:00,6.605,6.645,6.55,6.555,335164.0,,,5.359775420780482,5.441405855011591,5.87722202030046,,5.532675481483393,5.87722202030046,5.559467765364178,5.532675481483393,"rgba(38, 166, 154, 0.75)",0.6246198699865364,5.791695704901157,1.2220301206801119,67.7675257699985,22.723247047158168,True,False,True,False,False,9.069958225245262,0.0,0.0,0.0,0.0,0,0.8393187708256205,0.9274342835986671,False,False,False,False,0.11148143624423566,0.07523559548459113,False,False,False,False,967522.0,-210609.50187888247,False,False,False,False,165594.27570760137,False,False,False,False
2025-06-10 17:00:00+00:00,6.345,6.37,6.295,6.355,68588.0,,,5.366610908594387,5.444864682935128,5.878642092230198,,5.539786619401866,5.878642092230198,5.563372561253238,5.539786619401866,"rgba(38, 166, 154, 0.75)",0.6387364215513562,5.7949687947799555,0.8767798207903145,65.05975290537124,20.820306933022962,True,False,True,False,False,6.686046065803467,0.0,0.0,0.0,0.0,0,0.8459825570606794,0.9283726108740026,False,False,False,False,0.09781615851479153,0.08652587699969133,False,False,False,False,898934.0,-193407.27704355094,False,False,False,False,164090.30244081686,False,False,False,False
2025-06-11 17:00:00+00:00,6.565,6.66,6.525,6.645,97714.0,,,5.378842032276997,5.451219094716393,5.881825423400141,,5.55304999466674,5.881825423400141,5.570628850131176,5.55304999466674,"rgba(38, 166, 154, 0.75)",0.6598064690320882,5.802862083667387,1.2763407997014609,65.99442676890253,20.820306933022962,True,False,True,False,False,9.436798440031723,0.0,0.0,0.0,0.0,0,0.854730983302412,0.9170686456400744,False,False,False,False,0.15216433901104728,0.11934510800536931,False,False,False,False,996648.0,-174956.80763202303,False,False,False,False,163061.2124804941,False,False,False,False
2025-06-12 17:00:00+00:00,6.685,6.735,6.62,6.7,253729.0,,,5.411374307102921,5.468447424899003,5.890801657133551,,5.588341360077955,5.890801657133551,5.590207796378492,5.588341360077955,"rgba(38, 166, 154, 0.75)",0.6816239749621916,5.824400502364734,1.2845784916585927,67.06367051106102,20.820306933022962,True,False,True,False,False,9.943753766653884,0.0,0.0,0.0,0.0,0,0.8619472315124489,0.9095131921218877,False,False,False,False,0.16886022316440907,0.14410266558488918,False,False,False,False,1250377.0,-152858.60906408468,False,False,False,False,164466.91461257945,False,False,False,False
2025-06-13 17:00:00+00:00,6.665,6.665,6.57,6.62,151268.0,,,5.4290341488151554,5.477941143032236,5.895617019947182,,5.60713685308854,5.895617019947182,5.600864103931524,5.60713685308854,"rgba(38, 166, 154, 0.5)",0.7000383065451817,5.835231268058821,1.1210368412753837,66.30475766241541,20.820306933022962,False,False,True,False,False,8.979954931920318,0.0,0.0,0.0,0.0,0,0.8636617619668469,0.9079903147699757,False,False,False,False,0.1570657545525374,0.1505842100687133,False,False,False,False,1099109.0,-133448.25853595935,False,False,False,False,164262.28027750071,False,False,False,False
2025-06-16 17:00:00+00:00,7.165,7.195,6.97,6.985,222073.0,,7.049999999999999,5.4631209925198965,5.496767519544715,5.906726049206813,,5.644782277244968,5.906726049206813,5.979153640317856,5.644782277244968,"rgba(38, 166, 154, 1.0)",0.7256648582413933,5.912986824666128,1.4772841252528526,68.69444105044825,20.820306933022962,True,False,True,False,True,12.292423501966748,0.0,0.0,0.0,0.0,0,0.8733098721985555,0.9029449898129283,False,False,False,False,0.249882082592519,0.20023314633061617,False,False,False,False,1321182.0,-110895.85142687471,False,False,False,False,165158.5705057565,False,False,False,False
2025-06-17 17:00:00+00:00,6.845,6.915,6.83,6.89,248230.0,,6.9593928453217035,5.4956224482337825,5.515017106933127,5.917066245339528,,5.679737988883514,5.917066245339528,5.971774661457035,5.679737988883514,"rgba(38, 166, 154, 1.0)",0.7467452681440372,5.929018617427216,1.286893166341997,68.6376366458603,20.820306933022962,True,False,True,False,True,11.144512462980092,0.0,0.0,0.0,0.0,0,0.870442346844346,0.8993151952618916,False,False,False,False,0.20753383291949254,0.20388348962505437,False,False,False,False,1072952.0,-92541.62117219449,False,False,False,False,166446.49964520213,False,False,False,False
2025-06-18 17:00:00+00:00,6.835,6.86,6.755,6.835,163612.0,,6.922555547668062,5.515321020754503,5.526252069374951,5.923332568839955,,5.7005837786889675,5.923332568839955,5.971865301659367,5.7005837786889675,"rgba(38, 166, 154, 0.5)",0.7659781299067943,5.939187558581713,1.1695013296623642,67.63966605578364,20.820306933022962,False,False,True,False,True,10.4804461191315,0.0,0.0,0.0,0.0,0,0.867233727810651,0.8988535502958581,False,False,False,False,0.1945800321556702,0.1992317608903623,False,False,False,False,909340.0,-77008.57278192791,False,False,False,False,166402.55391426873,False,False,False,False
2025-06-19 17:00:00+00:00,6.835,6.835,6.835,6.835,0.0,,6.922555547668062,5.515321020754503,5.526252069374951,5.923332568839955,,5.7005837786889675,5.923332568839955,5.971865301659367,5.7005837786889675,"rgba(38, 166, 154, 0.5)",0.7838018801887384,5.939187558581713,1.1429067268919753,66.97435232906587,20.820306933022962,False,False,True,False,True,10.4804461191315,0.0,0.0,0.0,0.0,0,0.8707167994072978,0.8962770883496943,False,False,False,False,0.20005237619287242,0.19964206854161737,False,False,False,False,909340.0,-61716.34684732438,False,False,False,False,163822.66935745836,False,False,False,False
