date,Open,High,Low,Close,Volume,aVWAP_peak_831,aVWAP_peak_803,aVWAP_peak_760,aVWAP_peak_708,aVWAP_peak_679,aVWAP_peak_649,aVWAP_peak_611,aVWAP_peak_585,aVWAP_peak_533,aVWAP_peak_463,aVWAP_peak_432,aVWAP_peak_328,aVWAP_peak_315,aVWAP_peak_282,aVWAP_peak_272,aVWAP_peak_214,aVWAP_peak_178,aVWAP_peak_144,aVWAP_peak_126,aVWAP_peak_84,aVWAP_peak_70,aVWAP_peak_29,aVWAP_valley_863,aVWAP_OB_bear_831,aVWAP_OB_bear_708,aVWAP_OB_bear_533,aVWAP_OB_bear_214,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-09-16 17:00:00+00:00,52.625,52.705,52.38,52.48,679.0,,,,54.72467158027843,55.09462449501726,55.510951160671745,55.846607320413405,56.18333922351777,55.72932574158024,56.08160041810164,56.079342348000964,55.33634959159276,55.35577541837322,55.451044504403,55.53241377620077,56.274479342328604,56.990996215798,57.283969649909025,57.40113587446704,57.51653880668827,57.57755230952846,57.95370843212291,,,54.72467158027843,55.72932574158024,56.274479342328604,56.206548747841765,,"rgba(239, 83, 80, 0.75)",1.4027617001413029,55.41791951582644,-2.0943824710430157,32.33082057916533,-22.630683096027266,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.9104108232964854,1.0126216795908263,False,False,False,False,-0.28816027059390636,-0.3004111386127829,False,False,False,False,-108301.0,-109949.35653525763,False,False,False,False,2602.4247665678977,False,False,False,False
2025-09-16 18:00:00+00:00,52.48,52.83,52.45,52.81,1078.0,,,,54.699393916619464,55.07964212299656,55.49922089471443,55.837661148039544,56.17615048293006,55.725207896677084,56.07793640776312,56.075942496446196,55.33445854668337,55.353922853957634,55.44928489195786,55.53065887843759,56.27251663038314,56.98886662802456,57.281801247778496,57.39896219977816,57.51442194328688,57.575441512333036,57.951556737211725,,,54.699393916619464,55.725207896677084,56.27251663038314,56.201213022948366,,"rgba(239, 83, 80, 0.75)",1.4074127531231084,55.41136946957205,-1.8483344447458643,36.70189511327238,-18.528369175433493,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.9152374670184693,1.0087401055408969,False,False,False,False,-0.2756420351435372,-0.2880265868781601,False,False,False,False,-107223.0,-109907.08744168773,False,False,False,False,2578.790274062969,False,False,False,False
2025-09-16 19:00:00+00:00,52.815,53.18,52.67,53.015,7441.0,,,,54.56120258779776,54.99180055414489,55.4280686546072,55.78223567026009,56.13095156244398,55.69948500431981,56.05477583215147,56.054439681047924,55.322750121345905,55.34244177902012,55.438334208523884,55.519703333055126,56.260001850425795,56.97510562207237,57.267729528395,57.384834094479544,57.500641441355874,57.561690033302106,57.937480149648025,,,54.56120258779776,55.69948500431981,56.260001850425795,56.169140616231424,,"rgba(239, 83, 80, 0.5)",1.408335008260246,55.375312603949325,-1.6759596190576007,41.32994317590375,-14.325922140165524,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.9237734606519588,0.9991768192295026,False,False,False,False,-0.23951328361777746,-0.26376993524796877,False,False,False,False,-99782.0,-109750.1093418166,False,False,False,False,2654.1733705891243,False,False,False,False
2025-09-17 14:00:00+00:00,53.96,54.38,53.96,54.23,1302.0,,,,54.55612744583291,54.98604178274006,55.42203975345302,55.77689686312685,56.12619770200131,55.69703644363606,56.05235909559196,56.05219469149859,55.32177566950422,55.341477502911175,55.437375973098625,55.518714422558425,56.25863640623949,56.97344415843694,57.26597910431072,57.38305786106802,57.498891524313215,57.559935073605416,57.93563372516852,,,54.55612744583291,55.69703644363606,56.25863640623949,56.16651658942608,,"rgba(38, 166, 154, 1.0)",1.393190427602575,55.37871461061626,-0.8245208895046651,50.77184942605578,-5.8743565598985015,True,False,True,False,True,0.0,0.0,0.0,0.0,0.0,0,0.9322020202020197,0.9853737373737371,False,False,False,False,-0.08747060751297861,-0.1756202713804737,False,False,False,False,-98480.0,-109575.37896442409,False,False,False,False,2633.209442362936,False,False,False,False
2025-09-17 15:00:00+00:00,54.34,54.34,53.965,54.06,403.0,,,,54.55429661657936,54.98412445921996,55.42008270594325,55.77518077790841,56.12467922064574,55.69624587306691,56.051584926805454,56.051475450679504,55.3214562029516,55.341161670642535,55.437063442757776,55.51839290286264,56.258200184815244,56.97291768230718,57.265425682668486,57.38249671754928,57.498339080256876,57.55938123480047,57.93505216188428,,,54.55429661657936,55.69624587306691,56.258200184815244,56.1656608944392,,"rgba(38, 166, 154, 1.0)",1.3801760300301331,55.37943409898314,-0.9559897217997116,55.73679124719193,-1.7738787101642046,True,False,True,False,True,0.0,0.0,0.0,0.0,0.0,0,0.9363180863100045,0.9844027800226278,False,False,False,False,-0.08956426555055888,-0.1325922684655163,False,False,False,False,-98883.0,-109409.60564714619,False,False,False,False,2598.6325517836653,False,False,False,False
2025-09-17 16:00:00+00:00,54.06,54.15,53.725,53.79,499.0,,,,54.55083974812411,54.98112304978749,55.4172336035784,55.772761668139744,56.12258354538537,55.69512317939698,56.0505114083321,56.050478029764726,55.320983987163316,55.34069604745113,55.43660806085929,55.51792852494018,56.25760133446566,56.972212736171656,57.264689858168246,57.38175247027749,57.497608035838994,57.558649181769184,57.934288261756436,,,54.55083974812411,55.69512317939698,56.25760133446566,56.16440382796686,,"rgba(38, 166, 154, 1.0)",1.360032763249829,55.379506257299525,-1.1687264456051518,57.01491744502363,-0.8763952755186182,True,False,True,False,True,0.0,0.0,0.0,0.0,0.0,0,0.9268392930538426,1.001890669954788,False,False,False,False,-0.11535609952133852,-0.12397418399342741,False,False,False,False,-99382.0,-109254.13889292686,False,False,False,False,2566.0801091203525,False,False,False,False
2025-09-17 17:00:00+00:00,53.79,53.79,53.56,53.77,734.0,,,,54.54444304503129,54.97600892035464,55.41256626482136,55.7688725930181,56.1192579892191,55.693308504011654,56.04880174757433,56.04888942036737,55.320201943401635,55.33992608244783,55.43586016844081,55.517169837503396,56.25665351021731,56.9711153369649,57.263549880280586,57.380601402240906,57.49647915238267,57.55751963311397,57.93311470364181,,,54.54444304503129,55.693308504011654,56.25665351021731,56.16233369131756,,"rgba(38, 166, 154, 1.0)",1.3383626947500193,55.37866150201982,-1.2019622994051558,57.71457813032083,-0.17465951836854998,True,False,True,False,True,0.0,0.0,0.0,0.0,0.0,0,0.9258400926998837,1.0033934779010096,False,False,False,False,-0.14705820606943465,-0.13551619503143103,False,False,False,False,-100116.0,-109112.4623209435,False,False,False,False,2537.6757663432927,False,False,False,False
2025-09-17 18:00:00+00:00,53.77,54.975,52.87,53.2,1841.0,,,53.68166666666667,54.52835126519227,54.963111455108375,55.400801132238,55.75906475012953,56.11087103868026,55.68871442683502,56.04447891867838,56.04487194106793,55.31821343102711,55.337968552793704,55.43396008663755,55.515243472915394,56.25425602092689,56.96834505633919,57.26067375407063,57.37769786855683,57.49363201310036,57.55467106666538,57.93015668556317,,,54.52835126519227,55.68871442683502,56.25425602092689,56.03333748015963,,"rgba(38, 166, 154, 0.75)",1.321788503067967,55.25765141616732,-1.556717592407075,54.28926560871187,-0.17465951836854998,True,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0,0.9171749598715886,0.9772070626003208,False,False,False,False,-0.11716085043901824,-0.12633852273522464,False,False,False,False,-101957.0,-109001.52492061879,False,False,False,False,2526.8745916713033,False,False,False,False
2025-09-17 19:00:00+00:00,53.2,53.2,52.74,52.755,1869.0,,,53.287044025157236,54.498060703680146,54.94243324849298,55.3836512001975,55.74548243118287,56.09968870144774,55.68225995182353,56.03865688232422,56.039459969833715,55.31523568866176,55.33504832905729,55.43117487414662,55.51245821645061,56.25108690002748,56.96486824865181,57.257120570040165,57.37413108983467,57.4901528415797,57.55119942311446,57.92660496988339,,,54.498060703680146,55.68225995182353,56.25108690002748,56.00629091327939,,#000000,1.3104873173765537,55.22648654442436,-1.8859293879867476,49.66820559233804,7.744993657081217,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0,0.9184277937880239,1.00392251040666,False,False,False,False,-0.23386665934583903,-0.18010259104053183,False,False,False,False,-103826.0,-108921.28422417509,False,False,False,False,2516.6749855988796,False,False,False,False
2025-09-18 14:00:00+00:00,53.535,54.04,53.535,53.65,659.0,,,53.35561722743572,54.49313687624505,54.938208086827146,55.379693062353205,55.74213351474682,56.09679818377297,55.680678507242476,56.03715910215312,56.03806730635404,55.31455324501995,55.33437612070627,55.43052077850156,55.5117939275673,56.25025162059698,56.963897698910486,57.256111245202675,57.373111523875394,57.4891524311742,57.550198215081245,57.92556368417985,,,54.49313687624505,55.680678507242476,56.25025162059698,56.008051117897324,,#000000,1.2838673558367142,55.229012874151024,-1.229887859499287,51.564698463754475,7.744993657081217,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0,0.9239190359927537,0.9843270063794595,False,False,False,False,-0.13343928921001702,-0.15677094012527443,False,False,False,False,-103167.0,-108832.07051527315,False,False,False,False,2487.8738230314552,False,False,False,False
