date,Open,High,Low,Close,Volume,aVWAP_peak_849,aVWAP_valley_887,aVWAP_valley_870,aVWAP_valley_829,aVWAP_valley_788,aVWAP_valley_763,aVWAP_valley_744,aVWAP_valley_726,aVWAP_valley_696,aVWAP_valley_668,aVWAP_valley_613,aVWAP_valley_543,aVWAP_valley_507,aVWAP_valley_462,aVWAP_valley_401,aVWAP_valley_368,aVWAP_valley_324,aVWAP_valley_274,aVWAP_valley_247,aVWAP_valley_234,aVWAP_OB_bull_829,aVWAP_OB_bull_726,aVWAP_OB_bull_613,aVWAP_OB_bull_543,aVWAP_OB_bull_401,aVWAP_OB_bull_234,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-21 15:00:00+00:00,24.53,24.84,24.53,24.795,3434.0,,,,,,,,,,,,23.172428705701112,23.405836690065993,23.427365447272052,22.950352038745244,22.583913000583976,22.30356392700818,21.700058376174447,21.376951133473213,21.251722351022128,,,,23.172428705701112,22.950352038745244,21.251722351022128,,22.463576852227373,"rgba(38, 166, 154, 1.0)",0.6169256675478427,22.878002618990287,3.1073393146850243,88.42917703260312,34.02124296279044,True,False,True,False,True,16.76726094888449,0.0,0.0,0.0,0.0,0,1.0464396284829718,0.8694226916772899,False,False,False,False,0.34282822093934545,0.33750499536697987,False,False,False,False,367979.0,278564.8121904829,False,False,False,False,5695.629496494095,False,False,False,False
2025-05-21 16:00:00+00:00,24.795,24.88,24.77,24.85,3753.0,,,,,,,,,,,,23.19723371601769,23.419091269330757,23.435522707936876,22.956152842191653,22.589818320787593,22.309169793592385,21.705627889544207,21.382474349214053,21.25722854467373,,,,23.19723371601769,22.956152842191653,21.25722854467373,,22.472479937032105,"rgba(38, 166, 154, 1.0)",0.6333619860754803,22.887450272563264,3.098622542216881,89.72703535232668,35.45107566198402,True,False,True,False,True,17.28217437341533,0.0,0.0,0.0,0.0,0,1.049570148161697,0.8725077739162245,False,False,False,False,0.34282822293154375,0.3401666091492618,False,False,False,False,371732.0,280009.26471466146,False,False,False,False,5665.511209726745,False,False,False,False
2025-05-21 17:00:00+00:00,24.85,24.935,24.78,24.86,3569.0,,,,,,,,,,,,23.22049500256345,23.431688489090433,23.443329892009583,22.961709215249268,22.59546768517612,22.31453039196507,21.71094819560297,21.387748358781543,21.262485597551155,,,,23.22049500256345,22.961709215249268,21.262485597551155,,22.4809336475544,"rgba(38, 166, 154, 1.0)",0.6509339651816441,22.896411743895573,3.0165705910836653,90.62148456249109,36.511581941606494,True,False,True,False,True,17.37670582209833,0.0,0.0,0.0,0.0,0,1.0517526151587444,0.8689667828959441,False,False,False,False,0.34282822336056895,0.34149741625491536,False,False,False,False,375301.0,281486.6559593954,False,False,False,False,5633.0071599635385,False,False,False,False
2025-05-21 18:00:00+00:00,24.855,25.07,24.795,25.06,5347.0,,,,,,,,,,,,23.256547814401895,23.451664104786165,23.45581868781214,22.970481513231825,22.604312644697732,22.322885872217896,21.719179663475895,21.395884493200203,21.27058754753495,,,,23.256547814401895,22.970481513231825,21.27058754753495,,22.494151371262078,"rgba(38, 166, 154, 1.0)",0.6731587366177125,22.910470461775326,3.1931986042771854,91.73474649120615,37.78419030673861,True,False,True,False,True,19.240463421557354,0.0,0.0,0.0,0.0,0,1.0651291512915126,0.8571955719557193,False,False,False,False,0.34282822430736226,0.3421628202811388,False,False,False,False,380648.0,283024.0411383195,False,False,False,False,5628.57294042922,False,False,False,False
2025-05-21 19:00:00+00:00,25.06,25.14,25.02,25.03,46164.0,,,,,,,,,,,,23.52879080647354,23.613662002038016,23.56153913659165,23.046356904075648,22.680773867618253,22.395230928293703,21.790439594576902,21.466319987940718,21.340726904811902,,,,23.52879080647354,23.046356904075648,21.340726904811902,,22.602648903602258,"rgba(38, 166, 154, 1.0)",0.6931164118388987,23.024827801169714,2.8929804064376277,91.43290193850017,37.78419030673861,True,False,True,False,True,18.776216284510493,0.0,0.0,0.0,0.0,0,1.0739025745508424,0.8466382663456193,False,False,False,False,0.3428282260105012,0.34249552314582,False,False,False,False,334484.0,283821.8699578804,False,False,False,False,6257.029173910937,False,False,False,False
2025-05-22 14:00:00+00:00,24.59,24.92,24.495,24.9,5226.0,,,,,,,,,,,,23.549635634459875,23.62669054549213,23.570482065713104,23.05340897595932,22.68810803397415,22.402311746940715,21.7976138003568,21.473490782660893,21.3478945890722,,,,23.549635634459875,23.05340897595932,21.3478945890722,,22.61218179718102,"rgba(38, 166, 154, 0.75)",0.7087579034944405,23.03455339023579,2.6319940850985404,86.99946905868225,40.86763506548887,True,False,True,False,False,16.777081453951517,0.0,0.0,0.0,0.0,0,1.0585766423357659,0.8478102189781019,False,False,False,False,0.24023135704592744,0.2913634400958737,False,False,False,False,329258.0,284526.30608256446,False,False,False,False,6241.044225478209,False,False,False,False
2025-05-22 15:00:00+00:00,24.87,25.03,24.805,24.97,5116.0,,,,,,,,,,,,23.572013732554083,23.640943338571688,23.580282795694405,23.060907947409188,22.69579709960736,22.40967780812883,21.804987509015675,21.48082671849729,21.3552158139827,,,,23.572013732554083,23.060907947409188,21.3552158139827,,22.62229475149569,"rgba(38, 166, 154, 0.75)",0.7253127812404099,23.0449781126701,2.6540575833198172,84.61288938752108,38.65934149477417,True,False,True,False,False,17.451166230564812,0.0,0.0,0.0,0.0,0,1.0728464760517205,0.8424694955381532,False,False,False,False,0.2973314443175479,0.29434744220671083,False,False,False,False,334374.0,285299.13854640065,False,False,False,False,6223.601679346764,False,False,False,False
2025-05-22 16:00:00+00:00,24.975,25.13,24.94,25.025,2319.0,,,,,,,,,,,,23.58262361718844,23.647777120904887,23.58499278617409,23.06446177435662,22.69941483694334,22.413129901031237,21.808421360944894,21.484234520405636,21.358613920494612,,,,23.58262361718844,23.06446177435662,21.358613920494612,,22.62707442649375,"rgba(38, 166, 154, 0.75)",0.7423956716828303,23.049929522048295,2.6604013914503297,83.45562760081972,37.57005090673856,True,False,True,False,False,17.980443154032464,0.0,0.0,0.0,0.0,0,1.098575920103569,0.8320695394858515,False,False,False,False,0.33009902738274416,0.31222323479472747,False,False,False,False,336693.0,286095.9425999448,False,False,False,False,6163.065219201852,False,False,False,False
2025-05-22 17:00:00+00:00,25.025,25.025,24.895,25.005,1262.0,,,,,,,,,,,,23.58810969264039,23.651316793288192,23.587443243250803,23.066334832132178,22.701331184401514,22.414964141570582,21.81025419531078,21.48605671922159,21.36043204333761,,,,23.58810969264039,23.066334832132178,21.36043204333761,,22.629582538350405,"rgba(38, 166, 154, 0.75)",0.7582239798395131,23.052516295195982,2.5750751185913203,81.98825394781363,36.1283392539424,True,False,True,False,False,17.66421559457586,0.0,0.0,0.0,0.0,0,1.0898415657036342,0.8374650512581545,False,False,False,False,0.3091087256816255,0.3106659802381765,False,False,False,False,335431.0,286860.8272107984,False,False,False,False,6087.079711927405,False,False,False,False
2025-05-22 18:00:00+00:00,25.005,25.09,24.955,24.975,2782.0,,,,,,,,,,,,23.600324702859968,23.659238569650785,23.59293731203026,23.070519217178845,22.705602951598408,22.41904824928099,21.814327432944637,21.490103328773472,21.364468588037862,,,,23.600324702859968,23.070519217178845,21.364468588037862,,22.635174483595023,"rgba(38, 166, 154, 0.75)",0.7725275994370415,23.058291284261102,2.481087688175346,79.91354681273548,34.111923100261265,True,False,True,False,False,17.184338048435894,0.0,0.0,0.0,0.0,0,1.0859273066169612,0.8335507921714816,False,False,False,False,0.3265815426361421,0.3186237614371593,False,False,False,False,332649.0,287570.72136256896,False,False,False,False,6035.8381660060495,False,False,False,False
