date,Open,High,Low,Close,Volume,aVWAP_peak_424,aVWAP_valley_431,aVWAP_valley_349,aVWAP_valley_328,aVWAP_valley_270,aVWAP_OB_bull_270,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-09 17:00:00+00:00,62.34,62.345,61.935,61.995,38358.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,63.98105015662285,,56.14406387498491,11.054641032900058,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,183826.0,48426.73131898974,False,False,False,False,63100.14061312521,False,False,False,False
2024-01-10 17:00:00+00:00,62.05,62.07,61.195,61.21,43575.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,63.492956611861544,,48.472159573323665,4.456128792092493,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,140251.0,49850.36339156354,False,False,False,False,62797.42525478218,False,False,False,False
2024-01-11 17:00:00+00:00,59.88,60.355,59.87,60.31,147728.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,62.16943668405547,,41.91034015280479,-1.00189653617889,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7477.0,48961.56705991139,False,False,False,False,64114.17835160727,False,False,False,False
2024-01-12 17:00:00+00:00,60.24,60.265,59.89,60.065,18015.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,62.07210997847856,,37.16552970007949,-4.849308257033925,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-25492.0,47807.24819076547,False,False,False,False,63399.462408171494,False,False,False,False
2024-01-15 17:00:00+00:00,60.065,60.065,60.065,60.065,0.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,62.07210997847856,,34.00232273159595,-7.441265821987599,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-25492.0,46670.82573819547,False,False,False,False,62416.52500649441,False,False,False,False
2024-01-16 17:00:00+00:00,59.83,59.86,59.435,59.6,26243.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,61.91749813709681,,31.110959936740343,-10.020149176955194,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51735.0,45145.15402132422,False,False,False,False,61855.695161432486,False,False,False,False
2024-01-17 17:00:00+00:00,58.83,59.205,58.685,59.15,23175.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.388479798187646,,28.469597188384036,-12.552144444399715,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-74910.0,43283.83380393935,False,False,False,False,61255.994461255235,False,False,False,False
2024-01-18 17:00:00+00:00,59.225,59.485,59.06,59.445,42441.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.38326710261332,,28.211461298855646,-13.07360189188038,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32469.0,42109.37126434339,False,False,False,False,60964.289120770656,False,False,False,False
2024-01-19 17:00:00+00:00,59.815,60.48,59.74,60.415,39325.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.51879308011628,,32.33866480964247,-13.07360189188038,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6856.0,41562.80736877218,False,False,False,False,60628.79626618506,False,False,False,False
2024-01-22 17:00:00+00:00,60.32,60.675,60.19,60.635,55155.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.62998852788192,,35.95219929565128,-13.07360189188038,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62011.0,41879.83361111679,False,False,False,False,60543.931207794594,False,False,False,False
2024-01-23 17:00:00+00:00,60.365,60.595,60.275,60.555,21579.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.647956552436526,,38.10937811982675,-20.292635058160577,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,40432.0,41857.3865783863,False,False,False,False,59939.82374720863,False,False,False,False
2024-01-24 17:00:00+00:00,61.05,61.14,60.625,60.825,78208.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.755388202817244,,40.74311289799803,-17.484666870304956,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,118640.0,43047.81469345008,False,False,False,False,60223.0512860116,False,False,False,False
2024-01-25 17:00:00+00:00,60.96,61.28,60.785,61.27,27431.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.79388852442936,,44.362447997060016,-13.786644708219072,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,146071.0,44645.07338037333,False,False,False,False,59714.647390104445,False,False,False,False
2024-01-26 17:00:00+00:00,61.195,61.27,60.945,61.2,52707.0,,,,,,,,,"rgba(239, 83, 80, 0.5)",,60.852654341855924,,46.46581932546823,-11.517287084105213,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,93364.0,45400.40557602646,False,False,False,False,59606.001694133825,False,False,False,False
2024-01-29 17:00:00+00:00,61.16,61.775,61.095,61.755,28477.0,,,,,,,,,#000000,,60.900053562975955,,50.142199232534956,-7.7829896821106175,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,121841.0,46585.53107097179,False,False,False,False,59123.38151282942,False,False,False,False
