date,Open,High,Low,Close,Volume,aVWAP_OB_bull_851,aVWAP_OB_bull_786,aVWAP_OB_bear_716,aVWAP_OB_bear_503,aVWAP_OB_bear_60,aVWAP_OB_bear_31,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-13 16:00:00+00:00,73.96,74.25,73.81,74.19,728.0,,,,,,75.23498350737155,0.0,0.0,0.0,0.0,#000000,,74.84152807946073,,45.411524126636316,-11.163078698290235,False,False,False,True,True,0.0,75.21374999999999,72.06875000000001,-1,0,,,False,False,False,False,,,False,False,False,False,4439.0,2981.8018953497995,False,False,False,False,745.6645064372553,False,False,False,False
2024-12-13 17:00:00+00:00,74.205,74.31,73.76,73.815,2252.0,,,,,,75.16114332801152,0.0,0.0,0.0,0.0,#000000,,74.79565223769266,,44.55082434162577,-11.163078698290235,False,False,False,True,True,0.0,75.21374999999999,72.079375,-1,0,,,False,False,False,False,,,False,False,False,False,2187.0,2969.479385344376,False,False,False,False,769.0185450971428,False,False,False,False
2024-12-13 18:00:00+00:00,73.815,74.01,73.77,73.77,942.0,,,,,,75.13009201528558,0.0,0.0,0.0,0.0,#000000,,74.77445971792203,,43.77151668330637,-11.163078698290235,False,False,False,True,True,0.0,75.21374999999999,72.065625,-1,0,,,False,False,False,False,,,False,False,False,False,1245.0,2942.7432708429133,False,False,False,False,771.7004281188924,False,False,False,False
2024-12-13 19:00:00+00:00,73.75,73.91,73.65,73.91,1153.0,,,,,,75.09327966315651,0.0,0.0,0.0,0.0,#000000,,74.7489636676855,,43.95310497475741,-11.163078698290235,False,False,False,True,True,0.0,75.21374999999999,72.0878125,-1,0,,,False,False,False,False,,,False,False,False,False,2398.0,2934.2976387368217,False,False,False,False,777.6120493883669,False,False,False,False
2024-12-13 20:00:00+00:00,73.91,74.6,73.545,74.595,4704.0,,,,,,75.00600800590215,0.0,0.0,0.0,0.0,#000000,,74.71269522542023,,47.147142465694756,-8.16678366733126,True,False,False,False,True,0.0,75.21374999999999,72.21249999999999,-1,0,,,False,False,False,False,,,False,False,False,False,7102.0,2998.913179221522,False,False,False,False,838.4862811807953,False,False,False,False
2024-12-16 15:00:00+00:00,74.665,75.19,74.615,75.185,609.0,,,,,74.99666666666667,75.00588498190677,-1.0,75.19,74.615,0.0,#000000,,74.75979430997977,,51.409665483158804,-4.001344133382744,True,False,True,False,True,2.3246156105522466,75.21374999999999,73.06125,-1,0,,,False,False,False,False,,,False,False,False,False,7711.0,3071.968788845995,False,False,False,False,834.928354340783,False,False,False,False
2024-12-16 16:00:00+00:00,75.185,75.185,74.73,74.83,982.0,,,,,74.94626021370208,75.00399507312665,0.0,0.0,0.0,0.0,#000000,,74.76067294451968,,52.80883757653251,-2.6358829775498123,True,False,True,False,True,0.1574948253048909,75.21374999999999,73.16125000000001,-1,0,,,False,False,False,False,,,False,False,False,False,6729.0,3128.66694715846,False,False,False,False,837.208534893639,False,False,False,False
2024-12-16 17:00:00+00:00,74.79,74.95,74.685,74.93,1370.0,,,,,74.90403579871665,74.99979448765964,0.0,0.0,0.0,0.0,#000000,,74.76308278721658,,54.15715235013577,-1.2720959040923105,True,False,True,False,True,0.7555959849008289,75.21374999999999,73.0015625,-1,0,,,False,False,False,False,,,False,False,False,False,8099.0,3205.726374334298,False,False,False,False,845.4688676859856,False,False,False,False
2024-12-16 18:00:00+00:00,74.93,75.125,74.89,75.125,687.0,,,,,74.93089638157895,75.00044790757762,0.0,0.0,0.0,0.0,#000000,,74.77351409676812,,55.80657486984483,0.40143184315723346,True,False,True,False,True,1.9177054499276451,75.21374999999999,73.239375,-1,0,,,False,False,False,False,,,False,False,False,False,8786.0,3292.2422444996573,False,False,False,False,843.0119860164355,False,False,False,False
2024-12-16 19:00:00+00:00,75.125,75.125,74.79,75.03,1370.0,,,,,74.94475753952437,74.9999399156318,0.0,0.0,0.0,0.0,#000000,,74.78591718297979,,56.48100672281077,1.1865436449093352,True,False,True,False,True,1.3238150545496303,75.21374999999999,73.41531250000001,-1,0,,,False,False,False,False,,,False,False,False,False,7416.0,3356.1764732671045,False,False,False,False,851.1823428223821,False,False,False,False
2024-12-16 20:00:00+00:00,74.915,74.95,74.15,74.385,2505.0,,,,,74.79499778457175,74.97614439887626,0.0,0.0,0.0,0.0,#000000,,74.75822938207429,,53.969099972669895,1.1865436449093352,True,False,True,False,False,0.0,75.21374999999999,72.91031250000002,-1,0,,,False,False,False,False,,,False,False,False,False,4911.0,3380.2822643792424,False,False,False,False,876.8229266545933,False,False,False,False
2024-12-17 15:00:00+00:00,74.115,74.115,73.1,73.1,576.0,,,,,74.69851195620858,74.9596592657386,0.0,0.0,0.0,0.0,#000000,,74.73173577429631,,48.318477735991394,3.912417695010774,True,False,False,False,False,0.0,75.21374999999999,71.8890625,-1,0,,,False,False,False,False,,,False,False,False,False,4335.0,3395.084089737704,False,False,False,False,872.1590053111112,False,False,False,False
2024-12-17 16:00:00+00:00,73.1,73.405,72.93,73.14,892.0,,,,,74.5457103399696,74.93024394039249,0.0,0.0,0.0,0.0,#000000,,74.68630829591666,,44.462787470902384,0.44075940661110735,False,False,False,True,False,0.0,74.87375,71.46125,-1,0,,,False,False,False,False,,,False,False,False,False,5227.0,3423.4858867960343,False,False,False,False,872.4666176318691,False,False,False,False
2024-12-17 17:00:00+00:00,73.14,73.59,72.995,73.58,635.0,,,,,74.46936145162408,74.912525320159,0.0,0.0,0.0,0.0,#000000,,74.66175378727482,,43.64639433765869,-0.20696686881991866,False,False,False,True,False,0.0,74.87375,71.53843750000001,-1,0,,,False,False,False,False,,,False,False,False,False,5862.0,3461.2923071557852,False,False,False,False,868.7849646453285,False,False,False,False
